accession,cik,ticker,form,filing_time_utc,effective_trading_day,split
0001157523-10-000006,37996,F,8-K,2010-01-04 19:18:06+00:00,2010-01-04,train
0001193125-10-000332,906107,EQR,8-K,2010-01-04 18:11:33+00:00,2010-01-04,train
0000895126-10-000002,895126,CHK,8-K,2010-01-04 13:09:17+00:00,2010-01-04,train
0001104659-10-000094,732485,GENZ,8-K,2010-01-04 15:03:00+00:00,2010-01-04,train
0001193125-10-001173,109380,ZION,8-K,2010-01-05 20:01:25+00:00,2010-01-05,train
0000950123-10-000369,315852,RRC,8-K,2010-01-05 20:11:04+00:00,2010-01-05,train
0000950123-10-000358,2969,APD,8-K,2010-01-05 19:51:21+00:00,2010-01-05,train
0001104659-10-000165,315189,DE,8-K,2010-01-04 21:51:03+00:00,2010-01-05,train
0000104207-10-000005,104207,WAG,10-Q,2010-01-05 13:59:56+00:00,2010-01-05,train
0000092230-10-000003,92230,BBT,8-K,2010-01-05 19:21:56+00:00,2010-01-05,train
0001299933-10-000005,23217,CAG,8-K,2010-01-04 22:26:14+00:00,2010-01-05,train
0000950123-10-000185,1050915,PWR,8-K,2010-01-04 22:03:39+00:00,2010-01-05,train
0000950123-10-000178,1060391,RSG,8-K,2010-01-04 21:55:18+00:00,2010-01-05,train
0000020520-10-000002,20520,FTR,8-K,2010-01-05 11:51:58+00:00,2010-01-05,train
0000950123-10-000166,875045,BIIB,8-K,2010-01-04 21:39:49+00:00,2010-01-05,train
0001157523-10-000018,216228,ITT,8-K,2010-01-05 18:52:06+00:00,2010-01-05,train
0001193125-10-001329,800240,ODP,8-K,2010-01-05 17:16:37+00:00,2010-01-05,train
0001157523-10-000025,37996,F,8-K,2010-01-05 20:18:57+00:00,2010-01-05,train
0000950159-10-000002,59558,LNC,8-K,2010-01-04 21:56:22+00:00,2010-01-05,train
0001193125-10-001362,9892,BCR,8-K,2010-01-05 18:07:31+00:00,2010-01-05,train
0001193125-10-002052,1457543,CFN,8-K,2010-01-06 16:39:20+00:00,2010-01-06,train
0001193125-10-001894,34408,FDO,10-Q,2010-01-06 13:33:37+00:00,2010-01-06,train
0000037748-10-000004,37748,MEE,8-K,2010-01-06 16:58:00+00:00,2010-01-06,train
0000065011-10-000003,65011,MDP,8-K,2010-01-06 10:49:28+00:00,2010-01-06,train
0001157523-10-000049,34408,FDO,8-K,2010-01-06 16:06:44+00:00,2010-01-06,train
0001031296-10-000002,1031296,FE,8-K,2010-01-06 18:47:31+00:00,2010-01-06,train
0001299933-10-000047,750556,STI,8-K,2010-01-06 16:34:01+00:00,2010-01-06,train
0000950123-10-000485,1060391,RSG,8-K,2010-01-06 01:21:29+00:00,2010-01-06,train
0001193125-10-001594,80661,PGR,8-K,2010-01-06 12:45:37+00:00,2010-01-06,train
0001104659-10-000571,1037949,Q,8-K,2010-01-06 17:15:38+00:00,2010-01-06,train
0001193125-10-001282,1103982,KFT,8-K,2010-01-05 21:46:48+00:00,2010-01-06,train
0000950123-10-000727,945764,DNR,8-K,2010-01-06 17:13:36+00:00,2010-01-06,train
0000310764-10-000002,310764,SYK,8-K,2010-01-05 21:11:08+00:00,2010-01-06,train
0000950123-10-000650,1368007,NYX,8-K,2010-01-06 14:38:03+00:00,2010-01-06,train
0001437749-10-000017,353944,IGT,8-K,2010-01-06 12:29:48+00:00,2010-01-06,train
0001193125-10-001635,731766,UNH,8-K,2010-01-06 14:20:36+00:00,2010-01-06,train
0001110783-10-000002,1110783,MON,8-K,2010-01-06 08:26:38+00:00,2010-01-06,train
0000007332-10-000001,7332,SWN,8-K,2010-01-06 08:01:28+00:00,2010-01-06,train
0000950123-10-000565,1038357,PXD,8-K,2010-01-06 08:57:12+00:00,2010-01-06,train
0000950123-10-000408,23217,CAG,10-Q,2010-01-05 21:24:44+00:00,2010-01-06,train
0000920148-10-000004,920148,LH,8-K,2010-01-05 22:09:11+00:00,2010-01-06,train
0000950123-10-000685,816284,CELG,8-K,2010-01-06 16:05:45+00:00,2010-01-06,train
0000920148-10-000002,920148,LH,8-K,2010-01-05 21:29:48+00:00,2010-01-06,train
0001104659-10-000562,886158,BBBY,8-K,2010-01-06 16:45:41+00:00,2010-01-06,train
0001104659-10-000569,886158,BBBY,10-Q,2010-01-06 17:12:12+00:00,2010-01-06,train
0000950123-10-000400,1021860,NOV,8-K,2010-01-05 21:13:42+00:00,2010-01-06,train
0001193125-10-002084,940944,DRI,10-Q,2010-01-06 22:06:36+00:00,2010-01-07,train
0001341004-10-000026,1174922,WYNN,8-K,2010-01-06 21:18:07+00:00,2010-01-07,train
0000950123-10-000976,929887,APOL,10-Q,2010-01-07 16:08:53+00:00,2010-01-07,train
0001193125-10-002479,920760,LEN,8-K,2010-01-07 17:26:16+00:00,2010-01-07,train
0001104659-10-000735,873364,CEPH,8-K,2010-01-07 16:59:47+00:00,2010-01-07,train
0000950123-10-000987,1377013,TWC,8-K,2010-01-07 16:21:17+00:00,2010-01-07,train
0000070530-10-000003,70530,NSM,10-Q,2010-01-07 11:16:31+00:00,2010-01-07,train
0000920148-10-000006,920148,LH,8-K,2010-01-06 22:00:39+00:00,2010-01-07,train
0000950123-10-000979,929887,APOL,8-K,2010-01-07 16:10:27+00:00,2010-01-07,train
0001144204-10-000804,16918,STZ,8-K,2010-01-07 13:29:47+00:00,2010-01-07,train
0000930413-10-000050,773840,HON,8-K,2010-01-07 15:49:57+00:00,2010-01-07,train
0001144204-10-001008,203527,VAR,8-K,2010-01-07 18:13:51+00:00,2010-01-07,train
0000950159-10-000005,59558,LNC,8-K,2010-01-07 20:04:50+00:00,2010-01-07,train
0001181431-10-002046,885639,KSS,8-K,2010-01-07 13:39:01+00:00,2010-01-07,train
0001465112-10-000002,1465112,DTV,8-K,2010-01-07 17:19:34+00:00,2010-01-07,train
0001104659-10-000635,732485,GENZ,8-K,2010-01-07 08:46:36+00:00,2010-01-07,train
0000950123-10-000827,72333,JWN,8-K,2010-01-07 08:37:01+00:00,2010-01-07,train
0001104659-10-000661,27419,TGT,8-K,2010-01-07 16:13:08+00:00,2010-01-07,train
0001144204-10-000846,831001,C,8-K,2010-01-07 16:52:30+00:00,2010-01-07,train
0000950123-10-000860,1020416,MWW,8-K,2010-01-07 11:39:25+00:00,2010-01-07,train
0001193125-10-002092,320187,NKE,10-Q,2010-01-06 22:17:10+00:00,2010-01-07,train
0001104659-10-000633,1065865,JNS,8-K,2010-01-07 08:06:35+00:00,2010-01-07,train
0001181431-10-002068,39911,GPS,8-K,2010-01-07 18:26:23+00:00,2010-01-07,train
0001193125-10-002085,1103982,KFT,8-K,2010-01-06 22:07:06+00:00,2010-01-07,train
0000004904-10-000004,4904,AEP,8-K,2010-01-07 14:11:57+00:00,2010-01-07,train
0001104659-10-000905,873364,CEPH,8-K,2010-01-08 16:49:58+00:00,2010-01-08,train
0001104659-10-000775,764478,BBY,8-K,2010-01-08 13:40:33+00:00,2010-01-08,train
0001181431-10-002180,1048286,MAR,8-K,2010-01-07 22:03:19+00:00,2010-01-08,train
0001104659-10-000733,764478,BBY,10-Q,2010-01-07 21:47:21+00:00,2010-01-08,train
0001299933-10-000082,874766,HIG,8-K,2010-01-07 21:35:42+00:00,2010-01-08,train
0000950123-10-001034,898293,JBL,10-Q,2010-01-07 22:22:10+00:00,2010-01-08,train
0001193125-10-003414,1452575,MJN,8-K,2010-01-08 14:20:34+00:00,2010-01-08,train
0001104659-10-000781,1037949,Q,8-K,2010-01-08 09:00:16+00:00,2010-01-08,train
0000950123-10-000970,1018840,ANF,8-K,2010-01-07 21:00:28+00:00,2010-01-08,train
0001104659-10-000866,723254,CTAS,10-Q,2010-01-08 19:51:42+00:00,2010-01-08,train
0000950123-10-001245,315852,RRC,8-K,2010-01-08 18:57:14+00:00,2010-01-08,train
0001104659-10-000772,28412,CMA,8-K,2010-01-08 08:00:27+00:00,2010-01-08,train
0000092380-10-000002,92380,LUV,8-K,2010-01-08 13:54:05+00:00,2010-01-08,train
