disc,model,h,DM,p,holm,bh
long_form,B1_bow_ridge,5,19.123418708286597,0.0,0.0,0.0
long_form,B1_bow_ridge,10,17.3854456074585,0.0,0.0,0.0
long_form,B1_bow_ridge,20,16.145980879205187,0.0,0.0,0.0
long_form,B2_tfidf_ridge,5,17.43185146869835,0.0,0.0,0.0
long_form,B2_tfidf_ridge,10,16.35606490277294,0.0,0.0,0.0
long_form,B2_tfidf_ridge,20,14.822960626348571,0.0,0.0,0.0
long_form,B3_lm_linear,5,18.851184158546225,0.0,0.0,0.0
long_form,B3_lm_linear,10,18.410168924186816,0.0,0.0,0.0
long_form,B3_lm_linear,20,16.112700334756052,0.0,0.0,0.0
long_form,B4_lm_features,5,20.941141815553358,0.0,0.0,0.0
long_form,B4_lm_features,10,19.02517661649221,0.0,0.0,0.0
long_form,B4_lm_features,20,17.202997538678027,0.0,0.0,0.0
long_form,C1_bert_s1,5,31.541268923488495,0.0,0.0,0.0
long_form,C1_bert_s1,10,28.882302452888407,0.0,0.0,0.0
long_form,C1_bert_s1,20,24.056649693384674,0.0,0.0,0.0
long_form,C2_finbert_s1,5,22.72490594199377,0.0,0.0,0.0
long_form,C2_finbert_s1,10,16.890145162829388,0.0,0.0,0.0
long_form,C2_finbert_s1,20,23.65919164629647,0.0,0.0,0.0
long_form,C2_finbert_s2,5,15.394795604849998,0.0,0.0,0.0
long_form,C2_finbert_s2,10,23.577722527034485,0.0,0.0,0.0
long_form,C2_finbert_s2,20,17.262180708505447,0.0,0.0,0.0
long_form,C2_finbert_s3,5,24.85754023774455,0.0,0.0,0.0
long_form,C2_finbert_s3,10,15.987845914261557,0.0,0.0,0.0
long_form,C2_finbert_s3,20,20.085588228163964,0.0,0.0,0.0
long_form,C2_finbert_s4,5,26.498959140907573,0.0,0.0,0.0
long_form,C2_finbert_s4,10,20.806834003107813,0.0,0.0,0.0
long_form,C2_finbert_s4,20,17.459252072426487,0.0,0.0,0.0
long_form,C3_roberta_s1,5,20.82889824778358,0.0,0.0,0.0
long_form,C3_roberta_s1,10,21.730218912296152,0.0,0.0,0.0
long_form,C3_roberta_s1,20,16.857525247123608,0.0,0.0,0.0
long_form,C4_longformer,5,15.300854242063668,0.0,0.0,0.0
long_form,C4_longformer,10,15.865818737840794,0.0,0.0,0.0
long_form,C4_longformer,20,17.463716195269285,0.0,0.0,0.0
long_form,D1_concat_mlp,5,1.442808729663605,0.14907435934504165,0.2981487186900833,0.1517364014762031
long_form,D1_concat_mlp,10,6.978751755431409,2.97806224125452e-12,8.93418672376356e-12,3.0863554136637752e-12
long_form,D1_concat_mlp,20,18.20092965098851,0.0,0.0,0.0
long_form,D2_gated_fusion,5,0.06816416695991112,0.9456549512237382,0.9456549512237382,0.9456549512237382
long_form,D2_gated_fusion,10,20.249988834339682,0.0,0.0,0.0
long_form,D2_gated_fusion,20,18.919291353626573,0.0,0.0,0.0
event_driven,B1_bow_ridge,5,32.838302431906214,0.0,0.0,0.0
event_driven,B1_bow_ridge,10,32.21480383262507,0.0,0.0,0.0
event_driven,B1_bow_ridge,20,29.214054380209877,0.0,0.0,0.0
event_driven,B2_tfidf_ridge,5,38.02069830423259,0.0,0.0,0.0
event_driven,B2_tfidf_ridge,10,35.69838912059714,0.0,0.0,0.0
event_driven,B2_tfidf_ridge,20,32.50912749179151,0.0,0.0,0.0
event_driven,B3_lm_linear,5,35.77939659885771,0.0,0.0,0.0
event_driven,B3_lm_linear,10,33.16787112122873,0.0,0.0,0.0
event_driven,B3_lm_linear,20,30.264319253228127,0.0,0.0,0.0
event_driven,B4_lm_features,5,35.056791634282874,0.0,0.0,0.0
event_driven,B4_lm_features,10,32.32256601693448,0.0,0.0,0.0
event_driven,B4_lm_features,20,29.586309164782083,0.0,0.0,0.0
event_driven,C2_finbert_s1,5,23.885961531541568,0.0,0.0,0.0
event_driven,C2_finbert_s1,10,28.510708630639353,0.0,0.0,0.0
event_driven,C2_finbert_s1,20,24.701004760179245,0.0,0.0,0.0
event_driven,D2_gated_fusion,5,21.302015444180967,0.0,0.0,0.0
event_driven,D2_gated_fusion,10,18.80918495427513,0.0,0.0,0.0
event_driven,D2_gated_fusion,20,34.02612858692917,0.0,0.0,0.0
