disc,model,h,DM,p,holm,bh
long_form,B1_bow_ridge,5,5.119549274138197,3.0626674374367724e-07,1.5313337187183862e-06,3.2938121496961514e-07
long_form,B1_bow_ridge,10,4.3767238099219,1.2047647646840076e-05,4.8190590587360305e-05,1.2716961404997859e-05
long_form,B1_bow_ridge,20,4.295995886573706,1.7391080694206806e-05,5.217324208262042e-05,1.80234836285416e-05
long_form,B2_tfidf_ridge,5,13.015013797287244,0.0,0.0,0.0
long_form,B2_tfidf_ridge,10,13.32040142201842,0.0,0.0,0.0
long_form,B2_tfidf_ridge,20,12.114449555040181,0.0,0.0,0.0
long_form,B3_lm_linear,5,15.516437336911732,0.0,0.0,0.0
long_form,B3_lm_linear,10,15.894996113011608,0.0,0.0,0.0
long_form,B3_lm_linear,20,13.856550049623866,0.0,0.0,0.0
long_form,B4_lm_features,5,17.10619963080941,0.0,0.0,0.0
long_form,B4_lm_features,10,16.41293592737039,0.0,0.0,0.0
long_form,B4_lm_features,20,14.563121143352456,0.0,0.0,0.0
long_form,C1_bert_s1,5,22.986180274902306,0.0,0.0,0.0
long_form,C1_bert_s1,10,22.646478571881065,0.0,0.0,0.0
long_form,C1_bert_s1,20,19.651483314713566,0.0,0.0,0.0
long_form,C2_finbert_s1,5,17.381303390919058,0.0,0.0,0.0
long_form,C2_finbert_s1,10,14.357641356038883,0.0,0.0,0.0
long_form,C2_finbert_s1,20,18.442887320088026,0.0,0.0,0.0
long_form,C2_finbert_s2,5,15.383199878544012,0.0,0.0,0.0
long_form,C2_finbert_s2,10,18.93756237194649,0.0,0.0,0.0
long_form,C2_finbert_s2,20,14.042333787981384,0.0,0.0,0.0
long_form,C2_finbert_s3,5,18.8050055121915,0.0,0.0,0.0
long_form,C2_finbert_s3,10,13.15387500376033,0.0,0.0,0.0
long_form,C2_finbert_s3,20,15.658067079482372,0.0,0.0,0.0
long_form,C2_finbert_s4,5,20.115835512534264,0.0,0.0,0.0
long_form,C2_finbert_s4,10,18.81723289987155,0.0,0.0,0.0
long_form,C2_finbert_s4,20,14.717164044129813,0.0,0.0,0.0
long_form,C3_roberta_s1,5,16.581213228480447,0.0,0.0,0.0
long_form,C3_roberta_s1,10,16.941086067730662,0.0,0.0,0.0
long_form,C3_roberta_s1,20,14.496881577187166,0.0,0.0,0.0
long_form,C4_longformer,5,12.222004314381332,0.0,0.0,0.0
long_form,C4_longformer,10,12.682480008164179,0.0,0.0,0.0
long_form,C4_longformer,20,13.982706668710815,0.0,0.0,0.0
long_form,D1_concat_mlp,5,3.307189893487181,0.00094236986627938,0.00188473973255876,0.0009591978996057975
long_form,D1_concat_mlp,10,5.512526123035345,3.5371966911057484e-08,2.122318014663449e-07,3.877311757558224e-08
long_form,D1_concat_mlp,20,13.215737961348374,0.0,0.0,0.0
long_form,D2_gated_fusion,5,-0.7887731280171364,0.43024461799905134,0.43024461799905134,0.43024461799905134
long_form,D2_gated_fusion,10,15.356482007795867,0.0,0.0,0.0
long_form,D2_gated_fusion,20,14.166058301104991,0.0,0.0,0.0
event_driven,B1_bow_ridge,5,7.326333792416136,2.3647750424515834e-13,1.6553425297161084e-12,2.642983870975299e-13
event_driven,B1_bow_ridge,10,7.530786943840799,5.040412531798211e-14,4.0323300254385686e-13,5.74607028624996e-14
event_driven,B1_bow_ridge,20,8.557138849344462,0.0,0.0,0.0
event_driven,B2_tfidf_ridge,5,30.670710562980812,0.0,0.0,0.0
event_driven,B2_tfidf_ridge,10,29.367824425782807,0.0,0.0,0.0
event_driven,B2_tfidf_ridge,20,28.163794342559456,0.0,0.0,0.0
event_driven,B3_lm_linear,5,30.12792350319442,0.0,0.0,0.0
event_driven,B3_lm_linear,10,28.12477105898397,0.0,0.0,0.0
event_driven,B3_lm_linear,20,26.72672335961435,0.0,0.0,0.0
event_driven,B4_lm_features,5,29.642999402135498,0.0,0.0,0.0
event_driven,B4_lm_features,10,27.49947471030763,0.0,0.0,0.0
event_driven,B4_lm_features,20,26.183701420086948,0.0,0.0,0.0
event_driven,C2_finbert_s1,5,21.840779563022632,0.0,0.0,0.0
event_driven,C2_finbert_s1,10,23.08822228633425,0.0,0.0,0.0
event_driven,C2_finbert_s1,20,22.79945166897002,0.0,0.0,0.0
event_driven,D2_gated_fusion,5,16.270076814494335,0.0,0.0,0.0
event_driven,D2_gated_fusion,10,15.947879832004444,0.0,0.0,0.0
event_driven,D2_gated_fusion,20,27.614359025528277,0.0,0.0,0.0
