permno,cik,link_start,link_end
10001,0000043350,1986-01-09,2017-08-31
10002,0000783739,1986-01-10,2013-02-28
10005,0000766822,1986-01-15,1991-07-31
10006,0000910627,1950-05-01,1962-01-30
10006,0000910627,1962-01-31,1984-06-28
10008,0000784955,1986-01-16,1988-11-21
10009,0000846753,1986-01-17,2000-11-30
10010,0000719073,1986-01-17,1995-08-31
10011,0000828828,1988-06-08,1998-02-27
10012,0000784770,1986-01-22,2005-08-02
10015,0000723576,1983-09-20,1986-07-31
10016,0000720032,1986-01-24,2001-05-31
10017,0000785541,1986-02-28,1988-09-27
10018,0000779338,1986-01-24,1995-11-10
10019,0000785546,1986-01-24,2002-06-28
10020,0000723648,1986-01-27,1993-04-30
10023,0001306124,1972-12-14,1973-06-05
10024,0000768841,1986-01-29,1992-05-11
10025,0000785787,1986-01-30,2017-01-31
10026,0000785956,1986-02-04,
10027,0000786160,1986-02-04,1990-03-30
10028,0000701719,1986-02-05,
10029,0000785929,1986-02-05,1986-02-27
10029,0000785929,1986-02-28,1990-08-29
10030,0000001866,1964-01-01,1967-01-30
10030,0000001866,1967-01-31,1967-12-29
10031,0000730052,1983-12-07,1989-08-16
10032,0000785786,1986-02-05,
10035,0000785931,1986-02-06,2003-12-31
10036,0000758953,1986-02-06,1991-03-06
10037,0001199025,1986-02-06,2004-05-28
10038,0000777623,1986-03-31,1991-01-29
10039,0000782995,1986-02-07,2001-06-26
10040,0000761047,1986-02-07,1989-06-30
10041,0000783483,1986-02-07,1990-05-16
10042,0000739460,1986-02-07,2008-03-31
10043,0000310876,1986-02-11,1999-06-30
10044,0001616262,1986-02-11,
10045,0000784683,1986-03-31,1987-04-30
10047,0000785962,1986-02-11,1986-02-27
10047,0000785962,1986-02-28,1995-01-20
10048,0000785080,1986-02-12,1999-10-29
10048,0000785080,1999-10-30,1999-11-30
10051,0000722723,1986-02-14,1989-04-28
10051,0000722723,1989-04-29,1989-08-13
10051,0000722723,1989-08-14,2016-02-28
10051,0000722723,2018-09-12,2022-10-31
10052,0000766427,1986-02-14,1988-03-30
10055,0000103317,1986-02-14,1995-08-23
10056,0000807524,1986-02-14,2006-10-31
10057,0000869676,1964-01-01,1967-01-30
10057,0000869676,1967-01-31,1967-12-29
10057,0000869676,1968-01-01,1996-07-02
10058,0000001882,1973-10-01,1979-01-30
10058,0000001882,1979-01-31,1984-09-28
10059,0000789029,1986-02-24,1994-04-15
10060,0000110306,1986-02-24,1998-06-30
10062,0000106752,1986-02-19,1999-09-01
10063,0000712194,1986-02-19,1993-07-15
10064,0000786130,1986-02-20,1997-03-27
10065,0000002230,1982-01-01,1982-01-28
10065,0000002230,1982-01-29,
10066,0000722572,1983-08-25,1987-02-26
10066,0000722572,1987-03-01,1990-01-29
10066,0000722572,1999-03-18,2002-08-25
10066,0000722572,2021-03-29,
10068,0000750012,1986-02-21,1986-11-28
10070,0000785790,1986-02-27,1990-11-20
10071,0000787977,1986-02-28,1997-08-29
10072,0000777517,1986-02-28,1992-09-30
10074,0000313368,1982-01-18,1996-03-13
10075,0000788043,1986-03-03,1999-07-30
10076,0000779999,1986-03-03,1990-06-29
10077,0000093109,1986-04-10,1994-01-10
10078,0000709519,1986-03-04,2010-01-29
10079,0000788306,1986-03-04,1995-03-31
10080,0000788951,1986-03-05,2003-10-31
10082,0000702511,1983-03-21,1995-09-28
10083,0000716214,1986-03-05,1989-02-26
10083,0000716214,1989-02-27,1993-09-09
10084,0000785939,1986-03-05,1994-03-03
10085,0000773660,1986-03-06,2006-04-28
10086,0000742263,1986-03-06,1994-07-29
10087,0000788330,1986-03-06,2000-10-31
10088,0000766075,1986-03-06,1988-05-23
10089,0000710807,1986-03-07,2005-02-28
10090,0000714593,1986-03-07,1995-08-31
10092,0000058592,1986-03-07,2010-05-28
10093,0000703570,1986-03-07,1990-05-03
10094,0000878726,1986-03-07,1997-12-26
10095,0000730358,1986-03-07,1994-12-30
10097,0000780261,1986-03-10,1988-04-25
10097,0000780261,1991-08-06,1996-04-25
10098,0000768121,1986-03-11,1989-04-28
10099,0000769498,1986-03-11,1987-07-09
10100,0000774517,1986-03-11,2013-12-31
10102,0000003010,1950-01-01,1962-01-30
10102,0000003010,1962-01-31,1978-04-28
10103,0000002134,1978-01-31,1989-12-29
10104,0001341439,1986-03-12,
10105,0001495766,1986-03-12,1986-03-30
10105,0001495766,1986-03-31,1987-08-26
10107,0000789019,1986-03-13,
10108,0000789388,1986-03-13,2005-08-31
10112,0000730078,1986-03-13,1988-06-30
10114,0000804888,1988-06-22,2004-08-27
10116,0000786947,1986-03-14,2017-02-22
10117,0000788341,1986-03-17,1987-10-30
10119,0000100331,1986-03-18,2007-09-27
10120,0001230245,1986-03-18,1998-05-01
10123,0000319120,1989-09-07,2002-06-14
10124,0000779311,1986-03-19,1987-12-31
10125,0000760487,1986-03-20,1991-09-30
10126,0000351616,1986-03-20,2000-07-31
10127,0000789660,1986-03-25,2002-04-17
10128,0000718660,1993-12-31,2001-02-23
10130,0000036172,1986-03-25,1999-07-30
10133,0000789754,1986-03-27,1990-10-31
10134,0000922404,1986-04-01,1988-11-02
10136,0000789869,1986-04-01,1996-03-29
10137,0000003673,1951-01-01,1962-01-30
10137,0000003673,1962-01-31,2011-02-28
10138,0001113169,1986-04-02,
10140,0000712964,1986-04-02,1998-06-30
10142,0000730045,1986-04-03,2000-04-28
10143,0000729922,1986-04-03,2010-06-08
10145,0000773840,1950-01-01,1962-01-30
10145,0000773840,1962-01-31,
10146,0000317539,1973-11-01,1977-11-29
10146,0000317539,1977-11-30,1988-04-26
10147,0000790070,1986-04-04,2016-09-06
10148,0000789605,1986-04-04,1991-04-22
10149,0000783604,1986-04-04,2002-07-31
10152,0000770034,1986-04-08,1990-05-24
10153,0000003982,1950-01-01,1962-01-30
10153,0000003982,1962-01-31,1988-12-02
10154,0000004911,1972-12-14,1996-02-29
10155,0000785819,1986-04-08,2001-06-13
10157,0000936263,1986-04-08,1996-12-31
10158,0001488139,2010-07-22,
10159,0000751314,1986-04-09,1990-06-26
10160,0000755465,1986-04-10,2003-06-30
10161,0000004363,1950-01-01,1962-01-30
10161,0000004363,1962-01-31,1993-10-29
10162,0000002638,1973-07-01,1979-01-30
10162,0000002638,1979-01-31,1981-03-04
10163,0000790818,1986-04-10,2012-05-31
10164,0000789758,1986-04-10,1989-09-29
10166,0000790044,1986-04-11,1986-04-29
10166,0000790044,1986-04-30,1992-10-05
10168,0000742814,1986-04-14,1986-04-29
10168,0000742814,1986-04-30,1989-04-21
10169,0000729830,1986-04-14,1987-09-30
10173,0000861095,1986-04-16,1996-02-29
10175,0000790360,1986-04-17,1986-04-29
10175,0000790360,1986-04-30,1997-07-11
10176,0001050260,1986-04-18,1992-06-29
10177,0000746425,1986-06-05,1986-06-29
10177,0000746425,1986-06-30,2003-07-02
10178,0000790706,1986-04-22,1999-02-16
10179,0000840068,1986-04-22,1997-10-31
10180,0000003116,1988-04-08,2020-10-05
10181,0000790812,1986-04-22,1990-03-30
10182,0000790703,1986-04-23,2020-06-30
10184,0000820600,1988-02-29,1992-04-21
10185,0000790406,1986-05-30,1999-11-30
10186,0000217222,1986-04-24,1990-04-03
10187,0000770506,1986-04-24,1998-03-16
10188,0000004368,1950-01-01,1962-01-30
10188,0000004368,1962-01-31,1978-06-30
10189,0000002668,1972-12-14,1988-02-09
10190,0000789990,1986-04-25,1992-01-31
10191,0000729519,1986-04-25,1990-03-02
10192,0000790372,1986-04-25,2001-06-29
10193,0000892072,1986-04-28,1994-08-16
10195,0000310433,1986-05-30,2003-09-30
10198,0000786767,1986-04-28,1991-10-31
10199,0000791048,1986-04-29,1998-04-30
10200,0000730272,1986-04-29,
10201,0001419242,2010-07-23,2021-05-28
10202,0000790813,1986-04-29,1988-08-23
10203,0000830751,1986-04-30,1993-09-30
10204,0000873537,1986-05-01,1987-05-06
10205,0001143848,1986-05-02,2010-11-30
10206,0000031647,1986-05-02,1990-05-31
10207,0000825202,1988-06-07,
10208,0000770183,1986-05-05,1992-05-01
10211,0000813461,1986-05-05,2006-03-31
10212,0000748618,1986-05-06,1996-06-27
10213,0000790928,1986-05-06,1996-12-31
10216,0000721176,1986-05-07,2001-04-30
10217,0000004579,1950-01-01,1962-01-30
10217,0000004579,1962-01-31,1970-01-16
10218,0000319126,1980-10-14,1999-03-19
10219,0000790607,1986-05-07,1987-04-30
10220,0001486957,2010-08-02,
10221,0000777432,1986-05-07,1988-06-30
10222,0000790815,1986-05-07,1996-02-26
10223,0001487295,2010-07-21,2014-03-31
10224,0000765881,1986-05-07,1993-05-28
10225,0000789073,1950-01-01,1962-01-30
10225,0000789073,1962-01-31,2014-04-30
10227,0000811562,1986-05-07,1988-10-31
10228,0000791902,1986-05-07,1990-06-29
10230,0000810589,1986-05-08,2001-11-30
10231,0000776815,1986-05-08,1997-08-29
10232,0000877808,1986-05-08,2022-05-31
10233,0000897584,1950-01-01,1962-01-30
10233,0000897584,1962-01-31,1986-01-31
10234,0000002801,1973-07-01,1976-08-30
10234,0000002801,1976-08-31,1983-07-28
10235,0000791050,1986-05-08,1986-05-29
10235,0000791050,1986-05-30,2001-08-21
10236,0000790984,1986-05-08,1990-10-31
10238,0000840387,1986-05-09,2006-04-28
10238,0000840387,2006-05-01,2008-02-15
10239,0000009346,1986-05-09,1993-08-31
10239,0000009346,1993-09-01,2021-06-30
10241,0001475922,1950-01-01,1962-01-30
10241,0001475922,1962-01-31,1988-12-15
10242,0000704469,1986-06-30,1998-08-31
10243,0000832770,1986-05-12,1995-04-28
10244,0000763950,1986-05-12,1986-05-29
10244,0000763950,1986-05-30,2002-06-18
10245,0000790940,1986-05-13,1992-11-09
10246,0000791254,1986-05-13,1996-03-29
10247,0000791182,1986-05-13,1999-12-29
10248,0000791243,1986-05-13,1996-02-29
10249,0000791450,1986-05-13,1988-10-13
10250,0000717192,1986-05-13,1997-12-03
10252,0000776901,1986-05-14,
10253,0000771999,1986-05-14,1986-09-15
10253,0000771999,2004-04-22,2013-07-30
10253,0000771999,2013-07-31,
10254,0000791162,1986-05-14,1987-08-31
10255,0000725823,1986-05-15,1988-08-31
10257,0000785557,1986-05-15,
10258,0000744218,1986-05-15,2008-03-09
10258,0000744218,2008-03-10,
10259,0000790715,1986-05-15,2020-08-31
10260,0000778595,1986-05-15,1990-08-31
10261,0000722202,1986-05-15,1993-12-31
10262,0000739371,1986-05-16,1990-12-31
10264,0000790936,1986-05-16,1989-03-17
10266,0000810962,1986-05-16,1994-08-15
10269,0001749211,1983-07-21,1984-09-28
10271,0000799166,1986-05-28,2008-09-03
10272,0000790705,1986-05-16,2012-01-31
10274,0000792183,1986-05-19,1989-09-19
10276,0000004828,1973-01-31,1973-02-28
10277,0000002886,1972-12-14,1978-05-31
10278,0000790159,1988-01-01,1989-01-30
10278,0000790159,1989-01-31,1998-03-31
10279,0000731336,1986-05-20,1992-01-16
10280,0000789565,1986-05-20,1987-07-31
10281,0000351017,1986-05-20,1998-07-21
10282,0000791851,1986-05-21,1997-01-16
10283,0000775502,1986-05-21,1987-12-31
10285,0000354173,1981-10-29,1992-01-31
10286,0000739169,1987-03-31,1997-01-06
10287,0000737276,1986-05-20,1992-05-29
10289,0000811317,1988-04-05,1990-07-30
10290,0000792013,1986-05-23,
