ticker,permno,cik,member_from,member_to,source
A,87432,0001090872,2010-01-04,,crsp_wrds_2010_2025
AA,24643,0000004281,2010-01-04,2016-10-31,crsp_wrds_2010_2025
AA,16347,0001675149,2016-11-01,2016-11-01,crsp_wrds_2010_2025
AAL,21020,0000006201,2015-03-23,2024-09-20,crsp_wrds_2010_2025
AAP,89217,0001158449,2015-07-09,2023-08-24,crsp_wrds_2010_2025
AAPL,14593,0000320193,2010-01-04,,crsp_wrds_2010_2025
ABBV,13721,0001551152,2013-01-02,,crsp_wrds_2010_2025
ABC,81540,0001140859,2010-01-04,2023-08-29,crsp_wrds_2010_2025
ABMD,75107,0000815094,2018-05-31,2022-12-21,crsp_wrds_2010_2025
ABNB,20190,0001559720,2023-09-18,,crsp_wrds_2010_2025
ABT,20482,0000001800,2010-01-04,,crsp_wrds_2010_2025
ACE,79057,0000896159,2010-07-15,2016-01-14,crsp_wrds_2010_2025
ACGL,82276,0000947484,2022-11-01,,crsp_wrds_2010_2025
ACN,89071,0001467373,2011-07-06,,crsp_wrds_2010_2025
ACS,80913,0000002135,2010-01-04,2010-02-05,crsp_wrds_2010_2025
ADBE,75510,0000796343,2010-01-04,,crsp_wrds_2010_2025
ADI,60871,0000006281,2010-01-04,,crsp_wrds_2010_2025
ADM,10516,0000007084,2010-01-04,,crsp_wrds_2010_2025
ADNT,16342,0001670541,2016-10-31,2016-10-31,crsp_wrds_2010_2025
ADP,44644,0000008670,2010-01-04,,crsp_wrds_2010_2025
ADS,89002,0001101215,2013-12-23,2020-06-19,crsp_wrds_2010_2025
ADSK,85631,0000769397,2010-01-04,,crsp_wrds_2010_2025
ADT,13567,0001546640,2012-10-01,2016-04-29,crsp_wrds_2010_2025
AEE,24985,0001002910,2010-01-04,,crsp_wrds_2010_2025
AEP,24109,0000004904,2010-01-04,,crsp_wrds_2010_2025
AES,76712,0000874761,2010-01-04,,crsp_wrds_2010_2025
AET,88845,0001122304,2010-01-04,2018-11-28,crsp_wrds_2010_2025
AFL,57904,0000004977,2010-01-04,,crsp_wrds_2010_2025
AGL,15553,0001004155,2011-12-13,2011-12-15,crsp_wrds_2010_2025
AGN,75646,0000850693,2010-01-04,2015-03-16,crsp_wrds_2010_2025
AIG,66800,0000005272,2010-01-04,,crsp_wrds_2010_2025
AIRC,20191,0001820877,2020-12-15,2020-12-18,crsp_wrds_2010_2025
AIV,80711,0000922864,2010-01-04,2020-12-18,crsp_wrds_2010_2025
