model,run,basis,seeds,h,n_test,n_days,qlike_vol_alone,qlike_var_alone,r2_alone,pred_sd,n_unique_2dp,qlike_R,qlike_U,rel_impr_pct,g_log,dm_q_clu,p_q_clu,boot_lo_daily,boot_hi_daily,placebo_dm_clu,dmq_holm_clu,genuine
"C5_qwen3 (ens, PRIMARY)",C5_qwen3,ens,2026+2027+2028,5,7951,809,0.15402099956116466,0.6822471150955858,-0.013293876028399598,0.023995314798402608,15,0.12086879176314268,0.12210665983754461,-1.0241420108076265,0.571743316140305,2.6383932822013114,0.008490306035233472,0.0003805962837808869,0.0026313353443335446,0.4678688624569903,0.016002782540029813,False
"C5_qwen3 (ens, PRIMARY)",C5_qwen3,ens,2026+2027+2028,10,7933,803,0.12070552727785848,0.5958032138133662,-0.0065144587106298335,0.024863077237184797,15,0.08729339051016716,0.09000023992367498,-3.100864106306597,1.1220782899190873,3.6243820362555885,0.00030791600658122264,0.0020820464366215876,0.0069759944621453065,0.45167025880264566,0.0012316640263248906,False
"C5_qwen3 (ens, PRIMARY)",C5_qwen3,ens,2026+2027+2028,20,7902,794,0.09369697507331123,0.38867905661246765,-0.0038285200385175244,0.02491566492851844,15,0.07008297694567736,0.07456068019182414,-6.389145326428607,1.7947318264879824,5.379419080943338,9.842168332599665e-08,0.006845895125024655,0.01465346762319828,0.4199591245705374,5.905300999559799e-07,False
C5_qwen3 (seed2026),C5_qwen3,s26,2026,5,7951,809,0.15484486774528256,0.6499576316689867,-0.021428305634226597,0.02496579688819356,16,0.12086879176314268,0.12211940827605865,-1.034689347575102,0.5727176018958469,2.658618071355564,0.008001391270014906,0.00038791196703398886,0.002633690664924461,0.4698623823231469,0.016002782540029813,False
C5_qwen3 (seed2026),C5_qwen3,s26,2026,10,7933,803,0.12405245309546613,0.5607657919983653,-0.031789397146794185,0.026068028832638424,17,0.08729339051016716,0.09002969991894635,-3.134612360440389,1.144631467892894,3.7039596273783557,0.0002268095409562138,0.002163716831893,0.006993763652154774,0.45009773761544336,0.001134047704781069,False
C5_qwen3 (seed2026),C5_qwen3,s26,2026,20,7902,794,0.09430142336155774,0.3875864956799949,-0.01057298957606978,0.025545175524008177,16,0.07008297694567736,0.07474118134257929,-6.64669881319766,1.7891158078409388,5.449977780908459,6.729109914560534e-08,0.007004815475430436,0.014832611603037766,0.4186796342728597,4.7103769401923735e-07,False
C5x_qwen3exc (input-parity),C5x_qwen3exc,s26,2026,5,7951,809,0.1584071869716309,0.8478669858654586,-0.007400412101889797,0.04215573604555616,32,0.12086879176314268,0.12126123302271435,-0.32468369530880564,-0.02730102775543286,5.663402269134373,2.0628397497971625e-08,0.0003341566458168238,0.0006740390774195275,0.3191485178415622,1.65027179983773e-07,False
C5x_qwen3exc (input-parity),C5x_qwen3exc,s26,2026,10,7933,803,0.1287733310021193,0.7807979345110142,-0.01961782321503769,0.040853551728450975,29,0.08729339051016716,0.09055785924550762,-3.739651669229465,-0.155383841779823,8.604519141302791,4.0073397055609854e-17,0.0034202511129636363,0.0052994516392747635,-0.5839603810911431,4.408073676117084e-16,False
C5x_qwen3exc (input-parity),C5x_qwen3exc,s26,2026,20,7902,794,0.09723681987530772,0.49798901062646733,0.03579330664612401,0.05395058803645223,38,0.07008297694567736,0.07297099175344464,-4.120850645379737,-0.10145182013705888,9.306905494376144,1.2582075180517627e-19,0.0027619242407153077,0.0042127862049199305,1.5844787431313618,1.5098490216621153e-18,False
C6_llmtext (prompted),C6_llmtext,s26,2026,5,7951,809,0.2072271361575837,1.2258739191605483,-0.17412155768748283,0.027424803243745046,8,0.12086879176314268,0.11870011808317309,1.7942379073494623,0.25380183655738886,-6.307719290334438,4.65979133798706e-10,-0.0040632585748664775,-0.002176712450429631,0.8313169697407741,4.1938122041883545e-09,True
C6_llmtext (prompted),C6_llmtext,s26,2026,10,7933,803,0.1778223964200529,1.0949984296873068,-0.20133484917756594,0.017056147321225637,13,0.08729339051016716,0.085327926668655,2.2515608914093357,0.33330197238689624,-7.9155647324090745,8.17898705293215e-15,-0.003327769234482735,-0.0020203912709668864,-1.4455065815319224,8.178987052932151e-14,True
C6_llmtext (prompted),C6_llmtext,s26,2026,20,7902,794,0.16009386502167042,0.9257728979799517,-0.3445754388617166,0.0239347791231967,16,0.07008297694567736,0.0698903875209033,0.2748020035212486,0.07796998798708187,-3.232306764547454,0.0012786846389931377,-0.00048573502385912995,-0.00012526645810327378,-1.4440091348479065,0.0038360539169794133,True
