model,block,gpu_hours_total,gpu_hours_per_run,qlike_long_form_h5,qlike_long_form_h10,qlike_long_form_h20,best_qlike,on_pareto_frontier
A3_garch,A,0.000,0.000,0.4829,0.3750,0.2686,0.2686,yes
A5_arima,A,0.000,0.000,0.5317,0.4067,0.2732,0.2732,no
A2_har_rv,A,0.000,0.000,0.5564,0.4618,0.2970,0.2970,no
A4_egarch,A,0.000,0.000,0.4631,0.3541,0.3180,0.3180,no
A1_hv,A,0.000,0.000,1.1458,0.5600,0.3219,0.3219,no
D3_gteqwen2,D,0.202,0.022,0.6698,0.5321,0.3270,0.3270,no
D3_e5mistral,D,0.206,0.023,0.7127,0.5688,0.3400,0.3400,no
D3_qwen3,D,0.203,0.023,0.7486,0.6232,0.3594,0.3594,no
C5_gteqwen2,C,5.718,0.635,0.6538,0.5714,0.3916,0.3916,no
C5_qwen3,C,4.445,0.494,0.6866,0.6045,0.3940,0.3940,no
D1_concat_mlp,D,11.434,1.270,0.6408,0.6445,0.4374,0.4374,no
C5_e5mistral,C,8.937,0.993,0.8467,0.6480,0.4375,0.4375,no
D2_gated_fusion,D,11.596,1.288,0.7964,0.6022,0.4410,0.4410,no
C2_finbert_s2,C,71.273,7.919,1.4870,1.1952,0.5720,0.5720,no
C2_finbert_s4,C,62.427,6.936,1.4320,1.0943,0.6032,0.6032,no
C4_longformer,C,254.715,28.302,1.2351,1.0637,0.6051,0.6051,no
C2_finbert_s3,C,67.800,7.533,1.2430,1.2546,0.6731,0.6731,no
C1_bert_s2,C,51.730,5.748,1.4557,1.0372,0.6905,0.6905,no
B3_lm_linear,B,0.000,0.000,1.2937,1.0649,0.6918,0.6918,no
C1_bert_s1,C,13.711,1.523,1.6444,1.1968,0.6995,0.6995,no
B2_tfidf_ridge,B,0.000,0.000,1.2371,1.0522,0.7083,0.7083,no
B4_lm_features,B,0.000,0.000,1.4166,1.1223,0.7231,0.7231,no
C2_finbert_s1,C,12.651,1.406,1.3428,1.2440,0.7262,0.7262,no
C3_roberta_s1,C,13.313,1.479,1.6303,1.0863,0.7518,0.7518,no
B1_bow_ridge,B,0.000,0.000,2.2844,1.5916,1.0668,1.0668,no
