disclosure,horizon,challenger,baseline,dm_stat,p_raw,p_holm,better
long_form,5,A2_har_rv,A3_garch,-7.0977756961158684,1.3769837921164441e-12,2.2857930949132973e-10,True
long_form,5,A2_har_rv,A4_egarch,-3.4647923767134867,0.0005334412990719417,0.05974542549605748,False
long_form,5,A2_har_rv,A5_arima,-6.354647127964788,2.204113405989394e-10,3.4384169133434546e-08,True
long_form,5,A2_har_rv,B2_tfidf_ridge,-13.64436729719308,6.452686268682271e-42,1.8970897629925876e-39,True
long_form,5,A2_har_rv,C1_bert_s1,-16.545254055893146,1.7639147484828202e-60,6.491206274416778e-58,True
long_form,5,A2_har_rv,C1_bert_s2,-15.443203704951541,4.913714976421731e-53,1.660835662030545e-50,True
long_form,5,A2_har_rv,C2_finbert_s1,-14.451907056757713,9.511110872168199e-47,3.0245332573494873e-44,True
long_form,5,A2_har_rv,C2_finbert_s2,-16.13191972590675,1.2435115958905844e-57,4.4269012813704806e-55,True
long_form,5,A2_har_rv,C2_finbert_s3,-13.251951504219983,1.1558374184501074e-39,3.259461520029303e-37,True
long_form,5,A2_har_rv,C2_finbert_s4,-14.810530795708884,5.6096488938357825e-49,1.8175262416027936e-46,True
long_form,5,A2_har_rv,C3_roberta_s1,-16.26453068879756,1.5422293375668767e-58,5.582870201992094e-56,True
long_form,5,A2_har_rv,C4_longformer,-12.570395067593815,6.732981355769347e-36,1.844836891480801e-33,True
long_form,5,A2_har_rv,C5_qwen3,-11.047717980718124,3.602390171997812e-28,8.501640805914836e-26,True
long_form,5,A2_har_rv,C5_gteqwen2,-11.709524968707727,2.0612137275197256e-31,5.194258593349709e-29,True
long_form,5,A2_har_rv,C5_e5mistral,-11.040249883314255,3.909792061933268e-28,9.148913424923847e-26,True
long_form,5,A2_har_rv,D1_concat_mlp,-5.9391598533593895,2.9853596967542177e-09,4.239210769390989e-07,True
long_form,5,A2_har_rv,D2_gated_fusion,-9.803638080097063,1.4574138801261817e-22,3.060569148264982e-20,True
long_form,5,A2_har_rv,D3_qwen3,-10.523720493198523,9.91106592516415e-26,2.2200787672367694e-23,True
long_form,5,A2_har_rv,D3_gteqwen2,-6.115230260836779,1.0097259970315223e-09,1.4741999556660227e-07,True
long_form,5,A2_har_rv,D3_e5mistral,-9.93654268736383,3.9365682343209483e-23,8.34552465676041e-21,True
long_form,5,A3_garch,A2_har_rv,7.0977756961158684,1.3769837921164441e-12,2.2857930949132973e-10,False
long_form,5,A3_garch,A4_egarch,-0.5815083394108067,0.5609143861849968,1.0,False
long_form,5,A3_garch,A5_arima,2.628806638380722,0.008584989664596828,0.7211391318261335,False
long_form,5,A3_garch,B2_tfidf_ridge,1.5952539290737073,0.11069521259074848,1.0,False
long_form,5,A3_garch,C1_bert_s1,-0.2704986630873609,0.7867836671391515,1.0,False
long_form,5,A3_garch,C1_bert_s2,0.07885814085663698,0.937147442965523,1.0,False
long_form,5,A3_garch,C2_finbert_s1,0.8775752337900055,0.38020079340677637,1.0,False
long_form,5,A3_garch,C2_finbert_s2,-0.19360273305262488,0.846491904071569,1.0,False
long_form,5,A3_garch,C2_finbert_s3,1.4580915306439612,0.14485481737495504,1.0,False
long_form,5,A3_garch,C2_finbert_s4,0.592531829930554,0.5535113652426138,1.0,False
long_form,5,A3_garch,C3_roberta_s1,-0.2730182356357212,0.7848462893211067,1.0,False
long_form,5,A3_garch,C4_longformer,1.5305866852517493,0.125911362101174,1.0,False
long_form,5,A3_garch,C5_qwen3,3.401481969933706,0.0006735174309830765,0.07408691740813841,False
long_form,5,A3_garch,C5_gteqwen2,3.285913911523242,0.0010209254637008514,0.11025995007969194,False
long_form,5,A3_garch,C5_e5mistral,2.713205557275042,0.006677929452895714,0.5743019329490314,False
long_form,5,A3_garch,D1_concat_mlp,6.322652646212349,2.709881452488127e-10,4.119019807781953e-08,False
long_form,5,A3_garch,D2_gated_fusion,5.225244976164141,1.7834164759508505e-07,2.2827730892170886e-05,False
long_form,5,A3_garch,D3_qwen3,5.491903702692395,4.098987584253876e-08,5.410663611215116e-06,False
long_form,5,A3_garch,D3_gteqwen2,6.120481668844341,9.771535693816174e-10,1.4461872826847937e-07,False
long_form,5,A3_garch,D3_e5mistral,5.778111462902569,7.839315439958428e-09,1.081825530714263e-06,False
long_form,5,A4_egarch,A2_har_rv,3.4647923767134867,0.0005334412990719417,0.05974542549605748,False
long_form,5,A4_egarch,A3_garch,0.5815083394108067,0.5609143861849968,1.0,False
long_form,5,A4_egarch,A5_arima,1.668043347551451,0.09534650395421373,1.0,False
long_form,5,A4_egarch,B2_tfidf_ridge,1.2973239309574864,0.19455739859084667,1.0,False
long_form,5,A4_egarch,C1_bert_s1,0.43426598604492284,0.6641070860716091,1.0,False
long_form,5,A4_egarch,C1_bert_s2,0.5986772238646567,0.5494052051675673,1.0,False
long_form,5,A4_egarch,C2_finbert_s1,0.9726978035120528,0.33073311098740066,1.0,False
long_form,5,A4_egarch,C2_finbert_s2,0.47016999407071186,0.6382464672013453,1.0,False
long_form,5,A4_egarch,C2_finbert_s3,1.2401497906781915,0.21495659652941057,1.0,False
long_form,5,A4_egarch,C2_finbert_s4,0.8406277784267417,0.4005817732091323,1.0,False
long_form,5,A4_egarch,C3_roberta_s1,0.43159852494751355,0.6660449343601638,1.0,False
long_form,5,A4_egarch,C4_longformer,1.2777706121577037,0.20136762852970697,1.0,False
long_form,5,A4_egarch,C5_qwen3,2.0860998748740553,0.03700137528204282,1.0,False
long_form,5,A4_egarch,C5_gteqwen2,2.0274846073222603,0.04264617015489904,1.0,False
long_form,5,A4_egarch,C5_e5mistral,1.807474392456853,0.07072612698837263,1.0,False
long_form,5,A4_egarch,D1_concat_mlp,3.2198464081559512,0.0012877483520991244,0.13392582861830893,False
long_form,5,A4_egarch,D2_gated_fusion,2.814104048964393,0.004903356654730436,0.43149538561627837,False
long_form,5,A4_egarch,D3_qwen3,2.888351692130248,0.003883121844873589,0.35724720972837015,False
long_form,5,A4_egarch,D3_gteqwen2,3.150864691077755,0.0016339198952405047,0.1666598293145315,False
long_form,5,A4_egarch,D3_e5mistral,2.9936345588455215,0.0027652385791359945,0.27652385791359946,False
long_form,5,A5_arima,A2_har_rv,6.354647127964788,2.204113405989394e-10,3.4384169133434546e-08,False
long_form,5,A5_arima,A3_garch,-2.628806638380722,0.008584989664596828,0.7211391318261335,False
long_form,5,A5_arima,A4_egarch,-1.668043347551451,0.09534650395421373,1.0,False
long_form,5,A5_arima,B2_tfidf_ridge,-0.7727496648114209,0.439693520814335,1.0,False
long_form,5,A5_arima,C1_bert_s1,-2.936258589723909,0.0033314944705014914,0.32648645810914617,False
long_form,5,A5_arima,C1_bert_s2,-2.4912855684349493,0.012748410464018116,1.0,False
long_form,5,A5_arima,C2_finbert_s1,-1.5820686064397644,0.11367368863142216,1.0,False
long_form,5,A5_arima,C2_finbert_s2,-2.8233075533286156,0.004764911484504186,0.42884203360537676,False
long_form,5,A5_arima,C2_finbert_s3,-0.9021064635184999,0.3670276452903319,1.0,False
long_form,5,A5_arima,C2_finbert_s4,-1.9065367549627015,0.056616618703172285,1.0,False
long_form,5,A5_arima,C3_roberta_s1,-2.9124691516084833,0.0035958144861914934,0.3451981906743834,False
long_form,5,A5_arima,C4_longformer,-0.7855629215195034,0.4321470050098527,1.0,False
long_form,5,A5_arima,C5_qwen3,1.3860968145201744,0.16575621761642695,1.0,False
long_form,5,A5_arima,C5_gteqwen2,1.22442309602708,0.2208289423390741,1.0,False
long_form,5,A5_arima,C5_e5mistral,0.5985325876735132,0.5495016736500242,1.0,False
long_form,5,A5_arima,D1_concat_mlp,5.192784765164238,2.1230631275702759e-07,2.6750595407385477e-05,False
long_form,5,A5_arima,D2_gated_fusion,3.7267695532098775,0.00019529487375572713,0.022263615608152893,False
long_form,5,A5_arima,D3_qwen3,4.1066408655920785,4.0547701534933474e-05,0.004703533378052283,False
long_form,5,A5_arima,D3_gteqwen2,4.9123666428960435,9.177997861685541e-07,0.00011197157391256361,False
long_form,5,A5_arima,D3_e5mistral,4.485882674652989,7.36330473815969e-06,0.0008688699591028433,False
long_form,5,B2_tfidf_ridge,A2_har_rv,13.64436729719308,6.452686268682271e-42,1.8970897629925876e-39,False
long_form,5,B2_tfidf_ridge,A3_garch,-1.5952539290737073,0.11069521259074848,1.0,False
long_form,5,B2_tfidf_ridge,A4_egarch,-1.2973239309574864,0.19455739859084667,1.0,False
long_form,5,B2_tfidf_ridge,A5_arima,0.7727496648114209,0.439693520814335,1.0,False
long_form,5,B2_tfidf_ridge,C1_bert_s1,-14.135681350013533,7.968110114325339e-45,2.438241694983554e-42,True
long_form,5,B2_tfidf_ridge,C1_bert_s2,-11.606727464478096,6.753909265415259e-31,1.6884773163538147e-28,True
long_form,5,B2_tfidf_ridge,C2_finbert_s1,-5.512021782753199,3.658442262340659e-08,4.902312631536483e-06,True
long_form,5,B2_tfidf_ridge,C2_finbert_s2,-13.891370311206398,2.289284979910684e-43,6.867854939732052e-41,True
long_form,5,B2_tfidf_ridge,C2_finbert_s3,-1.0728199250742987,0.2833844825499845,1.0,False
long_form,5,B2_tfidf_ridge,C2_finbert_s4,-8.297534995838886,1.2380378729209353e-16,2.377032716008196e-14,True
long_form,5,B2_tfidf_ridge,C3_roberta_s1,-13.815640965558442,6.410317404206243e-43,1.9102745864534605e-40,True
long_form,5,B2_tfidf_ridge,C4_longformer,-0.25484933046463804,0.7988460646238715,1.0,False
long_form,5,B2_tfidf_ridge,C5_qwen3,7.605228278852482,3.169289724701934e-14,5.704721504463481e-12,False
long_form,5,B2_tfidf_ridge,C5_gteqwen2,6.140795708279234,8.605316546883178e-10,1.2907974820324767e-07,False
long_form,5,B2_tfidf_ridge,C5_e5mistral,7.180048560908432,7.597696480405962e-13,1.2764130087082017e-10,False
long_form,5,B2_tfidf_ridge,D1_concat_mlp,14.863921538941264,2.5862089283002463e-49,8.431041106258803e-47,False
long_form,5,B2_tfidf_ridge,D2_gated_fusion,14.242953960868642,1.7925135124546444e-45,5.592642158858491e-43,False
long_form,5,B2_tfidf_ridge,D3_qwen3,11.710853570727833,2.029705464049903e-31,5.155451878686754e-29,False
long_form,5,B2_tfidf_ridge,D3_gteqwen2,14.950298365242098,7.349097054934457e-50,2.410503834018502e-47,False
long_form,5,B2_tfidf_ridge,D3_e5mistral,12.3389581613328,1.1585210960502935e-34,3.1280069593357926e-32,False
long_form,5,C1_bert_s1,A2_har_rv,16.545254055893146,1.7639147484828202e-60,6.491206274416778e-58,False
long_form,5,C1_bert_s1,A3_garch,0.2704986630873609,0.7867836671391515,1.0,False
long_form,5,C1_bert_s1,A4_egarch,-0.43426598604492284,0.6641070860716091,1.0,False
long_form,5,C1_bert_s1,A5_arima,2.936258589723909,0.0033314944705014914,0.32648645810914617,False
long_form,5,C1_bert_s1,B2_tfidf_ridge,14.135681350013533,7.968110114325339e-45,2.438241694983554e-42,False
long_form,5,C1_bert_s1,C1_bert_s2,5.446876303690917,5.279414541098235e-08,6.863238903427706e-06,False
long_form,5,C1_bert_s1,C2_finbert_s1,18.68266749152956,2.8957088590393724e-76,1.1756577967699853e-73,False
long_form,5,C1_bert_s1,C2_finbert_s2,1.2832904916419485,0.19942772893414842,1.0,False
long_form,5,C1_bert_s1,C2_finbert_s3,17.92553427851607,1.7952896781819155e-70,6.9657239513458325e-68,False
long_form,5,C1_bert_s1,C2_finbert_s4,11.996367187786824,7.128779636039536e-33,1.8819978239144376e-30,False
long_form,5,C1_bert_s1,C3_roberta_s1,-0.06511458301296381,0.9480844067063827,1.0,False
long_form,5,C1_bert_s1,C4_longformer,19.111272736955293,1.2192891156120076e-79,4.999085374009231e-77,False
long_form,5,C1_bert_s1,C5_qwen3,14.545514444467816,2.5193644529071943e-47,8.061966249303021e-45,False
long_form,5,C1_bert_s1,C5_gteqwen2,12.205254204005588,5.859235130729625e-34,1.5702750150355396e-31,False
long_form,5,C1_bert_s1,C5_e5mistral,20.49139608853261,5.588864559490666e-91,2.324967656748117e-88,False
long_form,5,C1_bert_s1,D1_concat_mlp,18.0566091979555,1.8494227015504284e-71,7.249736990077679e-69,False
long_form,5,C1_bert_s1,D2_gated_fusion,18.328789796995828,1.5714353529436416e-73,6.317170118833439e-71,False
long_form,5,C1_bert_s1,D3_qwen3,15.530369499962529,1.3181475958560866e-53,4.508064777827816e-51,False
long_form,5,C1_bert_s1,D3_gteqwen2,18.2840681651789,3.4552581857977885e-73,1.3821032743191153e-70,False
long_form,5,C1_bert_s1,D3_e5mistral,15.981601299401948,1.2997352244970969e-56,4.575067990229781e-54,False
long_form,5,C1_bert_s2,A2_har_rv,15.443203704951541,4.913714976421731e-53,1.660835662030545e-50,False
long_form,5,C1_bert_s2,A3_garch,-0.07885814085663698,0.937147442965523,1.0,False
long_form,5,C1_bert_s2,A4_egarch,-0.5986772238646567,0.5494052051675673,1.0,False
long_form,5,C1_bert_s2,A5_arima,2.4912855684349493,0.012748410464018116,1.0,False
long_form,5,C1_bert_s2,B2_tfidf_ridge,11.606727464478096,6.753909265415259e-31,1.6884773163538147e-28,False
long_form,5,C1_bert_s2,C1_bert_s1,-5.446876303690917,5.279414541098235e-08,6.863238903427706e-06,True
long_form,5,C1_bert_s2,C2_finbert_s1,13.251824382185175,1.1577547821593519e-39,3.259461520029303e-37,False
long_form,5,C1_bert_s2,C2_finbert_s2,-8.27767445556411,1.4608594622019882e-16,2.7464157889397378e-14,True
long_form,5,C1_bert_s2,C2_finbert_s3,15.848014922611215,1.0283999428757329e-55,3.599399800065065e-53,False
long_form,5,C1_bert_s2,C2_finbert_s4,10.412745254220065,3.149543276890136e-25,6.866004343620497e-23,False
long_form,5,C1_bert_s2,C3_roberta_s1,-5.682468045873655,1.3745273233856037e-08,1.869357159804421e-06,True
long_form,5,C1_bert_s2,C4_longformer,18.617565757914885,9.298141798053338e-76,3.756449286413548e-73,False
long_form,5,C1_bert_s2,C5_qwen3,13.288052190003908,7.214578475947157e-40,2.063369444120887e-37,False
long_form,5,C1_bert_s2,C5_gteqwen2,11.031190718911002,4.317798800498957e-28,1.001729321715758e-25,False
long_form,5,C1_bert_s2,C5_e5mistral,19.320624690180168,2.5824822893503864e-81,1.0639827032123592e-78,False
long_form,5,C1_bert_s2,D1_concat_mlp,16.83211620650856,1.7004907692411919e-62,6.29181584619241e-60,False
long_form,5,C1_bert_s2,D2_gated_fusion,16.86214445084652,1.0415988905734196e-62,3.874747872933121e-60,False
long_form,5,C1_bert_s2,D3_qwen3,14.172677146762513,4.7690622916569615e-45,1.468871185830344e-42,False
long_form,5,C1_bert_s2,D3_gteqwen2,16.898232586404028,5.773027526056416e-63,2.1591122947450995e-60,False
long_form,5,C1_bert_s2,D3_e5mistral,14.675276663051061,3.942133168404819e-48,1.2693668802263517e-45,False
long_form,5,C2_finbert_s1,A2_har_rv,14.451907056757713,9.511110872168199e-47,3.0245332573494873e-44,False
long_form,5,C2_finbert_s1,A3_garch,-0.8775752337900055,0.38020079340677637,1.0,False
