disclosure,horizon,challenger,baseline,n_obs,n_days,dm_clust,p_clust,p_holm_clust,dm_obs,p_obs,p_holm_obs,better_obs,better_clust,better_clust_raw,sig_worse_clust,sig_worse_obs
long_form,5,A3_garch,A2_har_rv,7951,809,5.2226187643376445,2.2459732209740075e-07,1.6700147191315716e-06,7.0977756961158684,1.3769837921164441e-12,2.285793094913297e-10,False,False,False,True,True
long_form,5,A4_egarch,A2_har_rv,7951,809,2.7407164459708273,0.006265877878346907,0.018797633635040722,3.4647923767134867,0.0005334412990719,0.0597454254960574,False,False,False,True,False
long_form,5,A5_arima,A2_har_rv,7951,809,5.841019892959481,7.516809074837339e-09,6.765128167353605e-08,6.354647127964788,2.2041134059893937e-10,3.4384169133434546e-08,False,False,False,True,True
long_form,5,B2_tfidf_ridge,A2_har_rv,7951,809,6.354028074272517,3.500856713726321e-10,4.201028056471585e-09,13.64436729719308,6.452686268682271e-42,1.8970897629925876e-39,False,False,False,True,True
long_form,5,C1_bert_s1,A2_har_rv,7951,809,7.641800605610794,6.069583724847054e-14,1.1532209077209403e-12,16.545254055893146,1.7639147484828202e-60,6.491206274416778e-58,False,False,False,True,True
long_form,5,C1_bert_s2,A2_har_rv,7951,809,7.211976524457862,1.2693393762002917e-12,2.157876939540496e-11,15.44320370495154,4.913714976421732e-53,1.660835662030545e-50,False,False,False,True,True
long_form,5,C2_finbert_s1,A2_har_rv,7951,809,6.678893522302775,4.4777243930012705e-11,6.268814150201778e-10,14.451907056757712,9.5111108721682e-47,3.0245332573494873e-44,False,False,False,True,True
long_form,5,C2_finbert_s2,A2_har_rv,7951,809,7.631129147117028,6.557148470294042e-14,1.1802867246529276e-12,16.13191972590675,1.2435115958905844e-57,4.4269012813704806e-55,False,False,False,True,True
long_form,5,C2_finbert_s3,A2_har_rv,7951,809,6.6770881307093415,4.530290290215986e-11,6.268814150201778e-10,13.251951504219983,1.1558374184501074e-39,3.259461520029303e-37,False,False,False,True,True
long_form,5,C2_finbert_s4,A2_har_rv,7951,809,7.066150357864702,3.4427359167304904e-12,5.508377466768785e-11,14.810530795708884,5.6096488938357825e-49,1.8175262416027936e-46,False,False,False,True,True
long_form,5,C3_roberta_s1,A2_har_rv,7951,809,7.68014723688616,4.5946935347140115e-14,9.189387069428023e-13,16.26453068879756,1.5422293375668769e-58,5.582870201992094e-56,False,False,False,True,True
long_form,5,C4_longformer,A2_har_rv,7951,809,6.062261999410395,2.0584214291388566e-09,2.264263572052742e-08,12.570395067593816,6.732981355769347e-36,1.844836891480801e-33,False,False,False,True,True
long_form,5,C5_qwen3,A2_har_rv,7951,809,5.9220766395603786,4.699517285927356e-09,4.699517285927356e-08,11.047717980718124,3.602390171997812e-28,8.501640805914836e-26,False,False,False,True,True
long_form,5,C5_gteqwen2,A2_har_rv,7951,809,6.7125647726934785,3.60006287718993e-11,5.400094315784895e-10,11.709524968707727,2.0612137275197256e-31,5.194258593349709e-29,False,False,False,True,True
long_form,5,C5_e5mistral,A2_har_rv,7951,809,5.236604031492522,2.0875183989144645e-07,1.6700147191315716e-06,11.040249883314257,3.909792061933268e-28,9.148913424923848e-26,False,False,False,True,True
long_form,5,D1_concat_mlp,A2_har_rv,7951,809,1.610227891746848,0.10773868490300485,0.11413210678481403,5.9391598533593895,2.9853596967542173e-09,4.239210769390989e-07,False,False,False,False,True
long_form,5,D2_gated_fusion,A2_har_rv,7951,809,3.533831819711406,0.0004328451850820265,0.0021642259254101323,9.803638080097064,1.4574138801261817e-22,3.060569148264982e-20,False,False,False,True,True
long_form,5,D3_qwen3,A2_har_rv,7951,809,3.8084936448851887,0.00015040801135805018,0.000902448068148301,10.523720493198525,9.91106592516415e-26,2.2200787672367697e-23,False,False,False,True,True
long_form,5,D3_gteqwen2,A2_har_rv,7951,809,1.9055287591465297,0.057066053392407015,0.11413210678481403,6.115230260836779,1.0097259970315223e-09,1.474199955666023e-07,False,False,False,False,True
long_form,5,D3_e5mistral,A2_har_rv,7951,809,3.1872243685955826,0.0014917048308394159,0.0059668193233576635,9.93654268736383,3.9365682343209483e-23,8.34552465676041e-21,False,False,False,True,True
long_form,10,A3_garch,A2_har_rv,7933,803,4.725847847889358,2.7058037077357997e-06,2.9763840785093796e-05,6.46990941645437,1.0387988748309112e-10,2.0152698171719676e-08,False,False,False,True,True
long_form,10,A4_egarch,A2_har_rv,7933,803,2.385164730025463,0.017302799782073712,0.06921119912829485,2.7619515695687076,0.0057589250375952,0.6219639040602822,False,False,False,False,False
long_form,10,A5_arima,A2_har_rv,7933,803,4.208280190969247,2.86398514638966e-05,0.0002004789602472762,4.643828106974281,3.4751644274407426e-06,0.0005282249929709,False,False,False,True,True
long_form,10,B2_tfidf_ridge,A2_har_rv,7933,803,4.921873963473886,1.0406898420470015e-06,1.352896794661102e-05,13.452132283469256,8.361113312364123e-41,2.67555625995652e-38,False,False,False,True,True
long_form,10,C1_bert_s1,A2_har_rv,7933,803,4.655303777158192,3.784694372043083e-06,3.784694372043083e-05,13.537576209968757,2.6920299009992656e-41,8.776017477257606e-39,False,False,False,True,True
long_form,10,C1_bert_s2,A2_har_rv,7933,803,4.416066377862168,1.1429088359728543e-05,9.143270687782834e-05,13.091045713339712,9.326046809895435e-39,2.8537703238280032e-36,False,False,False,True,True
long_form,10,C2_finbert_s1,A2_har_rv,7933,803,5.533988084505331,4.240770195219512e-08,6.785232312351219e-07,15.457406894562512,3.983049136785201e-53,1.5533891633462284e-50,False,False,False,True,True
