disc,model,h,DM,p,holm,bh
long_form,B1_bow_ridge,5,20.17010374061194,2.821388604045755e-88,8.746304672541842e-87,5.956264830763261e-88
long_form,B1_bow_ridge,10,18.304786590082667,2.4174778090053935e-73,5.318451179811865e-72,3.8276731975918727e-73
long_form,B1_bow_ridge,20,16.38893422898782,2.174605111368057e-59,2.392065622504863e-58,2.637287049957005e-59
long_form,B2_tfidf_ridge,5,19.87018282041199,8.692860883980859e-86,2.520929656354449e-84,1.708596794437617e-85
long_form,B2_tfidf_ridge,10,17.2759965872312,1.1242024565101083e-65,1.911144176067184e-64,1.5629156102701506e-65
long_form,B2_tfidf_ridge,20,15.096111439908153,8.73677982799984e-51,6.115745879599888e-50,9.764636278352762e-51
long_form,B3_lm_linear,5,20.964832000867343,4.9497918217942635e-95,1.5839333829741643e-93,1.085146668624127e-94
long_form,B3_lm_linear,10,19.169423066566527,4.2337984661851e-80,1.0584496165462751e-78,7.312924623410628e-80
long_form,B3_lm_linear,20,16.564867470372672,1.3055874095584927e-60,1.6972636324260406e-59,1.653744052107424e-60
long_form,B4_lm_features,5,22.315468612495724,4.8113554603802404e-107,1.780201520340689e-105,1.3059393392460653e-106
long_form,B4_lm_features,10,19.471562293908956,1.5814122074048203e-82,4.427954180733497e-81,3.004683194069159e-82
long_form,B4_lm_features,20,17.337378607506142,4.0686127201798546e-66,7.323502896323738e-65,5.797773126256293e-66
long_form,C1_bert_s1,5,25.933993665626936,2.0322744946706532e-142,8.129097978682613e-141,6.435535899790402e-142
long_form,C1_bert_s1,10,16.90112719019011,5.536733022632474e-63,7.751426231685464e-62,7.172585961137524e-63
long_form,C1_bert_s1,20,17.529196958664354,1.608349089815109e-67,3.216698179630218e-66,2.4125236347226635e-67
long_form,C2_finbert_s1,5,14.927448466362454,1.0258256693348952e-49,6.1549540160093714e-49,1.124462752924789e-49
long_form,C2_finbert_s1,10,19.308758276782687,3.246696506909706e-81,8.766080568656206e-80,5.969732286898492e-81
long_form,C2_finbert_s1,20,19.19369583717807,2.753374965876571e-80,7.158774911279084e-79,4.904449157967642e-80
long_form,C2_finbert_s2,5,22.47268166839506,1.7423884752911382e-108,6.621076206106326e-107,4.965807154579744e-108
long_form,C2_finbert_s2,10,16.1257495583899,1.3762045955831774e-57,1.3762045955831774e-56,1.6342429572550233e-57
long_form,C2_finbert_s2,20,17.033917972356456,6.310832779835514e-64,9.466249169753271e-63,8.365522522107541e-64
long_form,C2_finbert_s3,5,22.056123059716125,1.0969098436659072e-104,3.9488754371972657e-103,2.8419936858616685e-104
long_form,C2_finbert_s3,10,18.502230221822487,7.336167057281914e-75,1.6873184231748403e-73,1.194747206471626e-74
long_form,C2_finbert_s3,20,13.127512117157513,5.846361241265798e-39,1.7539083723797392e-38,6.058956195493645e-39
long_form,C2_finbert_s4,5,21.98008228987368,5.332290853663703e-104,1.812978890245659e-102,1.2664190777451294e-103
long_form,C2_finbert_s4,10,21.994638567963264,4.002618317847257e-104,1.4009164112465401e-102,9.919532352925812e-104
long_form,C2_finbert_s4,20,13.649113905424722,6.095190856095423e-42,3.0475954280477114e-41,6.55520526032904e-42
