disc,model,h,DM,p,holm,bh
long_form,B1_bow_ridge,5,5.783148108729483,7.609035621249797e-09,3.043614248499919e-08,8.03175982243034e-09
long_form,B1_bow_ridge,10,4.9076446885388965,9.401415708744205e-07,1.880283141748841e-06,9.569298132114638e-07
long_form,B1_bow_ridge,20,4.630580390392557,3.704692050026434e-06,3.704692050026434e-06,3.704692050026434e-06
long_form,B2_tfidf_ridge,5,13.642436896083911,6.621804891259387e-42,1.5892331739022529e-40,1.1101261141228973e-41
long_form,B2_tfidf_ridge,10,13.451277001025074,8.456213295623171e-41,1.8603669250370977e-39,1.3389004384736687e-40
long_form,B2_tfidf_ridge,20,11.859987495749372,3.577316219776814e-32,5.365974329665221e-31,4.7420238262157765e-32
long_form,B3_lm_linear,5,15.264141970043058,7.176084681755269e-52,2.296347098161686e-50,1.5732185648463472e-51
long_form,B3_lm_linear,10,15.425830937172446,6.406867245192988e-53,2.1142661909136862e-51,1.4607657319040013e-52
long_form,B3_lm_linear,20,13.35262104729494,3.114906017792184e-40,6.541302637363586e-39,4.798639000382554e-40
long_form,B4_lm_features,5,16.42155702393632,1.275985728293947e-59,4.976344340346393e-58,3.827957184881841e-59
long_form,B4_lm_features,10,15.774056395769035,3.2235644326158407e-55,1.096011907089386e-53,7.655965527462622e-55
long_form,B4_lm_features,20,13.900699418213657,2.0302361872319836e-43,5.481637705526356e-42,3.733014924910421e-43
long_form,C1_bert_s1,5,19.010443053464943,7.699882339696018e-79,3.387948229466248e-77,3.1349520954476645e-78
long_form,C1_bert_s1,10,15.974932969606336,1.448147844949737e-56,5.213332241819053e-55,3.7520194164606825e-56
long_form,C1_bert_s1,20,13.876562265238023,2.820950248919911e-43,7.052375622299777e-42,4.872550429952574e-43
long_form,C2_finbert_s1,5,10.853335663888132,2.9837250909492212e-27,2.983725090949221e-26,3.5431735455022e-27
long_form,C2_finbert_s1,10,14.453250653899499,9.360386678884682e-47,2.620908270087711e-45,1.7784734689880895e-46
long_form,C2_finbert_s1,20,15.791471197544357,2.4852650983277384e-55,8.698427844147084e-54,6.159135243681787e-55
long_form,C2_finbert_s2,5,16.081234065462038,2.74982592939124e-57,1.0174355938747587e-55,7.46381323691908e-57
long_form,C2_finbert_s2,10,12.792232982499616,4.208623788799118e-37,7.154660440958502e-36,5.8510135600377986e-37
long_form,C2_finbert_s2,20,13.885290837756804,2.5047527249921456e-43,6.512357084979578e-42,4.461590791392259e-43
long_form,C2_finbert_s3,5,15.10765472479607,7.297287817926597e-51,2.262159223557245e-49,1.5405385393400594e-50
long_form,C2_finbert_s3,10,14.75226289082119,1.3063513480426459e-48,3.788418909323673e-47,2.5676560978769245e-48
long_form,C2_finbert_s3,20,11.128264980349533,1.4888906698517255e-28,1.7866688038220704e-27,1.8449297430771382e-28
long_form,C2_finbert_s4,5,16.192752754746333,4.782594305687037e-58,1.817385836161074e-56,1.3630393771208055e-57
long_form,C2_finbert_s4,10,17.46401842878863,4.785672387173166e-67,2.0099824026127297e-65,1.7048957879304404e-66
long_form,C2_finbert_s4,20,10.91264656310929,1.5756109935858722e-27,1.7331720929444595e-26,1.9108473751998875e-27
long_form,C3_roberta_s1,5,16.723905897442254,9.880524140952543e-62,3.952209656381017e-60,3.1288326446349714e-61
long_form,C3_roberta_s1,10,17.179685621881756,5.594643613652483e-65,2.2938038815975181e-63,1.8758510939893622e-64
long_form,C3_roberta_s1,20,12.92351825148586,8.001669330046161e-38,1.440300479408309e-36,1.140237879531578e-37
long_form,C4_longformer,5,13.228854208306164,1.5616327243774808e-39,3.123265448754962e-38,2.3424490865662212e-39
long_form,C4_longformer,10,14.840772871001711,3.631310260626552e-49,1.0893930781879655e-47,7.392310173418338e-49
long_form,C4_longformer,20,13.492014672811637,4.95040366938844e-41,1.1385928439593412e-39,8.062085975861174e-41
long_form,D1_concat_mlp,5,5.3424103858098615,9.425928126986409e-08,2.8277784380959224e-07,9.768689149785915e-08
long_form,D1_concat_mlp,10,12.216681294428502,5.112646147750667e-34,8.180233836401068e-33,6.938591200518763e-34
long_form,D1_concat_mlp,20,10.40346258568757,3.47544592274439e-25,3.127901330469951e-24,4.04286566523327e-25
long_form,D2_gated_fusion,5,11.381303037988703,8.804092755006005e-30,1.1445320581507807e-28,1.1151850823007606e-29
long_form,D2_gated_fusion,10,11.405555030655707,6.702494072259739e-30,9.383491701163635e-29,8.682776411791027e-30
long_form,D2_gated_fusion,20,8.941738123475082,4.706971727247726e-19,3.2948802090734083e-18,5.260733106923929e-19
event_driven,B1_bow_ridge,5,8.013288809987428,1.1650102941222312e-15,5.825051470611156e-15,1.2529355993390034e-15
event_driven,B1_bow_ridge,10,8.046149258101632,8.920500771818983e-16,5.3523004630913894e-15,9.778241230647732e-16
event_driven,B1_bow_ridge,20,9.090637453096184,1.0565641776806542e-19,8.452513421445234e-19,1.2044831625559458e-19
event_driven,B2_tfidf_ridge,5,29.54512505459338,1.2822906446219993e-188,7.309056674345396e-187,7.309056674345396e-187
event_driven,B2_tfidf_ridge,10,28.038850219017974,2.3628638662267418e-170,1.2759464877624406e-168,3.367081009373107e-169
event_driven,B2_tfidf_ridge,20,26.86765196059125,9.338267756224425e-157,4.855899233236701e-155,8.871354368413205e-156
event_driven,B3_lm_linear,5,28.98760436905815,9.298193776390051e-182,5.206988514778429e-180,2.6499852262711645e-180
event_driven,B3_lm_linear,10,26.962632112674537,7.346065598093277e-158,3.893414766989437e-156,8.374514781826336e-157
event_driven,B3_lm_linear,20,25.565104395119658,2.632014640151031e-142,1.2896871736740053e-140,1.6669426054289864e-141
