variant,disc,model,h,n_test,n_days,cov_firm,cov_obs,qlike_Rfirm,qlike_Ufirm,rel_firm_pct,g_text_firm,dmclu_firm,pclu_firm,qlike_R_a2,rel_zerotext_pct,dmclu_zerotext,pclu_zerotext,pclu_firm_holm,survives_raw,survives_holm,lf_flip_neg,zerotext_beats
valmean,long_form,B1_bow_ridge,5,7550,792,0.6287069988137604,0.9147794994040525,0.12068632633532952,0.12085342975748092,-0.13846094021214841,-0.007692493794306951,2.577260531090889,0.010138707775586564,0.12089601073739074,0.1734419529497081,-2.2597499735426427,0.024108042486087708,0.26360640216525066,False,False,True,True
trainmean,long_form,B1_bow_ridge,5,7550,792,0.8564650059311981,0.8354726322545154,0.11785624594542209,0.1172488270158477,0.5153896806247138,0.047705296828503094,-2.1820164908731874,0.029401905194958614,0.12089601073739074,2.514363189842226,-4.95549541034538,8.827739955379923e-07,0.9996647766285929,True,False,False,True
pit252,long_form,B1_bow_ridge,5,7550,792,0.9869513641755635,0.9908315760520766,0.1201947350855453,0.11866087706627747,1.2761440991372501,0.10851540850680029,-2.4491500227038374,0.014535338565602993,0.12089601073739074,0.5800651713551945,-5.033305400052268,5.972190312471748e-07,0.5959488811897228,True,False,False,True
ebshrink,long_form,B1_bow_ridge,5,7550,792,0.6287069988137604,0.9147794994040525,0.11961591285367523,0.11969463682200515,-0.06581395940707416,-0.003682009861078002,2.641742759655519,0.008410972016984831,0.12089601073739074,1.0588421205196992,-2.9043437320123457,0.003782769608198032,0.22709624445859045,False,False,True,True
valmean,long_form,B1_bow_ridge,10,7167,766,0.6287069988137604,0.9147794994040525,0.08479433414751607,0.08710115865941839,-2.7204936922898173,-0.10558163404256794,1.5442329990067878,0.1229454455828611,0.08626101480499217,1.7002821735772327,-4.079676051722471,4.9830532087682944e-05,1.0,False,False,True,True
trainmean,long_form,B1_bow_ridge,10,7167,766,0.8564650059311981,0.8354726322545154,0.08365949918791239,0.08434474914562798,-0.8190940232338794,-0.04266459260121926,1.4559847835152,0.14580708813018645,0.08626101480499217,3.0158648410999422,-5.943186266298732,4.245423877505841e-09,1.0,False,False,True,True
pit252,long_form,B1_bow_ridge,10,7167,766,0.9869513641755635,0.9908315760520766,0.08730225368122678,0.08644554199195051,0.9813168081598973,0.07476028062402887,-0.8451898176856836,0.3982691245106513,0.08626101480499217,-1.2070793261457817,6.554833693308014,1.0238167481157834e-10,1.0,False,False,False,False
ebshrink,long_form,B1_bow_ridge,10,7167,766,0.6287069988137604,0.9147794994040525,0.08410503426700165,0.08637679592212788,-2.7011006831223026,-0.10174992318311689,1.6409033098793235,0.10122853452619032,0.08626101480499217,2.4993683912303597,-4.495868193479703,8.00193668996532e-06,1.0,False,False,True,True
valmean,long_form,B1_bow_ridge,20,7097,765,0.6287069988137604,0.9147794994040525,0.07216831322662616,0.07576560581457244,-4.984587316943238,-0.14454655811513725,4.2774053810582195,2.130699922492937e-05,0.07117849804596708,-1.3906098159304419,-3.134625208878448,0.0017865621376260818,0.0010866569604713978,False,False,True,True
trainmean,long_form,B1_bow_ridge,20,7097,765,0.8564650059311981,0.8354726322545154,0.06874041209595662,0.06958275133974351,-1.2253916118673345,-0.04398084825612428,4.756575424774682,2.354125525195186e-06,0.07117849804596708,3.425312442580552,-5.519766602079083,4.6523307762380436e-08,0.0001459557825621015,False,False,True,True
pit252,long_form,B1_bow_ridge,20,7097,765,0.9869513641755635,0.9908315760520766,0.07920668633014243,0.0782499426950161,1.2079076646869267,0.1850726217144937,-1.2630313682213656,0.20696322931875558,0.07117849804596708,-11.278951515653977,7.931922659751185,7.664828630594374e-15,1.0,False,False,False,False
