disc,model,h,n,dm,p
long_form,B1_bow_ridge,5,7951,20.174,0.0
long_form,B1_bow_ridge,10,7933,18.306,0.0
long_form,B1_bow_ridge,20,7902,16.389,0.0
long_form,B2_tfidf_ridge,5,7951,19.871,0.0
long_form,B2_tfidf_ridge,10,7933,17.277,0.0
long_form,B2_tfidf_ridge,20,7902,15.096,0.0
long_form,B3_lm_linear,5,7951,20.987,0.0
long_form,B3_lm_linear,10,7933,19.18,0.0
long_form,B3_lm_linear,20,7902,16.567,0.0
long_form,B4_lm_features,5,7951,22.333,0.0
long_form,B4_lm_features,10,7933,19.482,0.0
long_form,B4_lm_features,20,7902,17.339,0.0
long_form,C1_bert_s1,5,7951,25.948,0.0
long_form,C1_bert_s1,10,7933,16.906,0.0
long_form,C1_bert_s1,20,7902,17.529,0.0
long_form,C2_finbert_s1,5,7951,14.931,0.0
long_form,C2_finbert_s1,10,7933,19.317,0.0
long_form,C2_finbert_s1,20,7902,19.195,0.0
long_form,C2_finbert_s2,5,7951,22.473,0.0
long_form,C2_finbert_s2,10,7933,16.127,0.0
long_form,C2_finbert_s2,20,7902,17.035,0.0
long_form,C2_finbert_s3,5,7951,22.054,0.0
long_form,C2_finbert_s3,10,7933,18.504,0.0
long_form,C2_finbert_s3,20,7902,13.127,0.0
long_form,C2_finbert_s4,5,7951,21.991,0.0
long_form,C2_finbert_s4,10,7933,21.996,0.0
long_form,C2_finbert_s4,20,7902,13.649,0.0
long_form,C3_roberta_s1,5,7951,24.152,0.0
long_form,C3_roberta_s1,10,7933,21.848,0.0
long_form,C3_roberta_s1,20,7902,15.881,0.0
long_form,C4_longformer,5,7951,18.572,0.0
long_form,C4_longformer,10,7933,20.01,0.0
long_form,C4_longformer,20,7902,16.428,0.0
long_form,C6_llmtext,5,7951,21.0,0.0
long_form,C6_llmtext,10,7933,20.692,0.0
long_form,C6_llmtext,20,7902,20.174,0.0
long_form,D1_concat_mlp,5,7951,9.422,0.0
long_form,D1_concat_mlp,10,7933,17.242,0.0
long_form,D1_concat_mlp,20,7902,13.476,0.0
long_form,D2_gated_fusion,5,7951,18.002,0.0
long_form,D2_gated_fusion,10,7933,15.476,0.0
long_form,D2_gated_fusion,20,7902,11.303,0.0
long_form,D4_llmfused,5,7951,17.91,0.0
long_form,D4_llmfused,10,7933,11.688,0.0
long_form,D4_llmfused,20,7902,8.343,0.0
event_driven,B1_bow_ridge,5,25109,34.915,0.0
event_driven,B1_bow_ridge,10,25001,32.677,0.0
event_driven,B1_bow_ridge,20,24732,29.307,0.0
event_driven,B2_tfidf_ridge,5,25109,39.156,0.0
event_driven,B2_tfidf_ridge,10,25001,35.478,0.0
event_driven,B2_tfidf_ridge,20,24732,32.009,0.0
event_driven,B3_lm_linear,5,25109,37.614,0.0
event_driven,B3_lm_linear,10,25001,33.508,0.0
event_driven,B3_lm_linear,20,24732,30.068,0.0
event_driven,B4_lm_features,5,25109,37.159,0.0
event_driven,B4_lm_features,10,25001,32.89,0.0
event_driven,B4_lm_features,20,24732,29.541,0.0
event_driven,C2_finbert_s1,5,25109,26.393,0.0
event_driven,C2_finbert_s1,10,25001,33.342,0.0
event_driven,C2_finbert_s1,20,24732,30.137,0.0
event_driven,C6_llmtext,5,25109,33.387,0.0
event_driven,C6_llmtext,10,25001,35.162,0.0
event_driven,C6_llmtext,20,24732,36.47,0.0
event_driven,D2_gated_fusion,5,25109,26.002,0.0
event_driven,D2_gated_fusion,10,25001,31.203,0.0
event_driven,D2_gated_fusion,20,24732,17.322,0.0
event_driven,D4_llmfused,5,25109,25.932,0.0
event_driven,D4_llmfused,10,25001,20.582,0.0
event_driven,D4_llmfused,20,24732,16.621,0.0
