dec,high,low,diff,n_high,n_low
0,0.1919369881664466,0.18485241478391762,0.007084573382528991,1067,1324
1,0.20921370379637239,0.19859096680449093,0.01062273699188146,1144,1259
2,0.22400409540622093,0.20773197921022157,0.01627211619599936,1188,1197
3,0.24160889215581152,0.22563334436687071,0.015975547788940808,1173,1214
4,0.26340404263730877,0.2436710458973888,0.01973299673991996,1225,1157
5,0.268044117605134,0.24714790699855438,0.020896210606579646,1219,1139
6,0.2959191969381667,0.2713457452029566,0.024573451735210083,1337,991
7,0.32045911241331704,0.2915274414121739,0.028931671001143133,1333,976
8,0.3694315554346755,0.32203978051465126,0.04739177492002422,1293,953
9,0.4534071861470568,0.3790222188108888,0.07438496733616795,1410,644
