part,metric,group,value
sanity,n_total,all,431245.0
sanity,n_kept,ret_match_ok=True,393845.0
sanity,n_dropped,ret_match_ok=False,37400.0
sanity,pct_kept,all,91.3274
bias_vol,mean_label_vol,ret_match_ok=True,0.2704386084847376
bias_vol,median_label_vol,ret_match_ok=True,0.22487571473575874
bias_vol,n,ret_match_ok=True,393845.0
bias_vol,mean_label_vol,ret_match_ok=False,0.2073788417323212
bias_vol,median_label_vol,ret_match_ok=False,0.18109606959590718
bias_vol,n,ret_match_ok=False,37400.0
bias_vol,mean_diff_drop_minus_kept,drop-kept,-0.0630597667524164
bias_vol,median_diff_drop_minus_kept,drop-kept,-0.04377964513985155
bias_vol,pct_diff_mean_vs_kept,drop-kept,-23.317590304778992
bias_vol,mannwhitney_U,test,9157377658.0
bias_vol,mannwhitney_p,test,0.0
bias_vol,welch_t_logvol,test,83.55772658429444
bias_vol,welch_p_logvol,test,0.0
bias_vol,cohen_d_logvol_drop_minus_kept,effect_size,-0.3967113976830305
bias_form,n_rows_without_form_map,all,3816.0
bias_form,share_8-K,ret_match_ok=True,0.7816682854572806
bias_form,share_10-Q,ret_match_ok=True,0.1645220894443747
bias_form,share_10-K,ret_match_ok=True,0.053809625098344735
bias_form,share_8-K,ret_match_ok=False,0.7570660934981193
bias_form,share_10-Q,ret_match_ok=False,0.17463729177861365
bias_form,share_10-K,ret_match_ok=False,0.06829661472326706
bias_form,chi2,test,176.89403023153196
bias_form,chi2_p,test,3.872125228651754e-39
bias_form,chi2_dof,test,2.0
bias_year,n_rows_without_year_map,all,3816.0
bias_year,drop_rate,2010,0.07624
bias_year,n,2010,25393.0
bias_year,drop_rate,2011,0.07437
bias_year,n,2011,28129.0
bias_year,drop_rate,2012,0.09948
bias_year,n,2012,28580.0
bias_year,drop_rate,2013,0.09969
bias_year,n,2013,27735.0
bias_year,drop_rate,2014,0.10449
bias_year,n,2014,27831.0
bias_year,drop_rate,2015,0.09499
bias_year,n,2015,28528.0
bias_year,drop_rate,2016,0.09098
bias_year,n,2016,28016.0
bias_year,drop_rate,2017,0.10658
bias_year,n,2017,27201.0
bias_year,drop_rate,2018,0.08758
bias_year,n,2018,26764.0
bias_year,drop_rate,2019,0.09901
bias_year,n,2019,26210.0
bias_year,drop_rate,2020,0.05903
bias_year,n,2020,28276.0
bias_year,drop_rate,2021,0.07858
bias_year,n,2021,26138.0
bias_year,drop_rate,2022,0.07232
bias_year,n,2022,24640.0
bias_year,drop_rate,2023,0.08925
bias_year,n,2023,24639.0
bias_year,drop_rate,2024,0.08179
bias_year,n,2024,24649.0
bias_year,drop_rate,2025,0.07526
bias_year,n,2025,24700.0
bias_year,spearman_droprate_vs_year,test,-0.3382352941176471
bias_year,spearman_p,test,0.20006555877868962
bias_ndays,mean_n_days,ret_match_ok=True,11.525714430803996
bias_ndays,median_n_days,ret_match_ok=True,10.0
bias_ndays,mean_n_days,ret_match_ok=False,12.968716577540107
bias_ndays,median_n_days,ret_match_ok=False,10.0
bias_ndays,mannwhitney_U,test,6367198256.0
bias_ndays,mannwhitney_p,test,0.0
bias_ndays,mean_diff_drop_minus_kept,drop-kept,1.4430021467361112
impact,n_obs,long_form|C2_finbert_s1|h10|ALL_rows,7933.0
impact,n_days,long_form|C2_finbert_s1|h10|ALL_rows,803.0
impact,qlike_R,long_form|C2_finbert_s1|h10|ALL_rows,0.08729339051016716
impact,qlike_U,long_form|C2_finbert_s1|h10|ALL_rows,0.08331446307360785
impact,rel_impr_pct,long_form|C2_finbert_s1|h10|ALL_rows,4.55810848141576
impact,g_log_text_coef,long_form|C2_finbert_s1|h10|ALL_rows,0.24215376083511594
impact,dm_q_clustered,long_form|C2_finbert_s1|h10|ALL_rows,-6.460996408212488
impact,p_q_clustered,long_form|C2_finbert_s1|h10|ALL_rows,1.8031652598861882e-10
impact,genuine_flag,long_form|C2_finbert_s1|h10|ALL_rows,1.0
impact,n_obs,long_form|C2_finbert_s1|h10|ret_match_ok_only,7167.0
impact,n_days,long_form|C2_finbert_s1|h10|ret_match_ok_only,766.0
impact,qlike_R,long_form|C2_finbert_s1|h10|ret_match_ok_only,0.08626101480499217
impact,qlike_U,long_form|C2_finbert_s1|h10|ret_match_ok_only,0.08245420872454627
impact,rel_impr_pct,long_form|C2_finbert_s1|h10|ret_match_ok_only,4.4131246184059325
impact,g_log_text_coef,long_form|C2_finbert_s1|h10|ret_match_ok_only,0.22704578301944395
impact,dm_q_clustered,long_form|C2_finbert_s1|h10|ret_match_ok_only,-5.912222964826319
impact,p_q_clustered,long_form|C2_finbert_s1|h10|ret_match_ok_only,5.083781368351722e-09
impact,genuine_flag,long_form|C2_finbert_s1|h10|ret_match_ok_only,1.0
impact,n_obs,long_form|B2_tfidf_ridge|h20|ALL_rows,7902.0
impact,n_days,long_form|B2_tfidf_ridge|h20|ALL_rows,794.0
impact,qlike_R,long_form|B2_tfidf_ridge|h20|ALL_rows,0.07008297694567736
impact,qlike_U,long_form|B2_tfidf_ridge|h20|ALL_rows,0.06593416311016972
