section,metric,full_ohlcv_rows,crsp_rows,joined_rows,max_abs_diff_adj_close,max_abs_diff_close,max_abs_diff_volume,identical_on_join,n_rows,n_unreconstructed,max_abs_diff,max_rel_diff,bitwise_exact,modelled_rows_checked,max_abs_diff_pred_vs_aligned,passed,disc,h,value,committed,rel_diff,committed_table,n_tickers,n_yahoo_ok,n_no_data,n_mismatch,mismatch_tickers,coverage_raw,coverage_clean,rows_covered,rows_no_public_data,rows_window_incomplete,rows_symbol_mismatch,exit_year,n_firms,firms_no_public_data,firms_symbol_mismatch,year,scope,n,pearson_logRV,spearman_logRV,mean_dlog,sd_dlog,rmse_dlog,split,family,panel,model,n_days,qlike_a2,qlike_text,dm,p,holm,sig,qlike_R,qlike_U,rel_impr_pct,g_log,placebo_dm,genuine,ranking,q_A2_har_rv,q_B2_tfidf_ridge,q_C2_finbert_s1,q_C6_llmtext,panel_vs_A,n_cells,sign_agree,holm_sig_agree,full_agree
provenance,full_ohlcv_vs_crsp,2023428.0,2023494.0,2023428.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate1_crsp_label_reconstruction,,,,,,,,431245.0,0.0,0.0,0.0,True,427429.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate2_qlike_raw,,,,,,,,,,,,,,,,long_form,5.0,0.1226067260656771,0.1226067260656771,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate2_qlike_raw,,,,,,,,,,,,,,,,long_form,10.0,0.08926724489634956,0.0892672448963495,6.218535286455099e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate2_qlike_raw,,,,,,,,,,,,,,,,long_form,20.0,0.06459879310463382,0.0645987931046338,2.1483045024286954e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate2_qlike_raw,,,,,,,,,,,,,,,,event_driven,5.0,0.12354327609218659,0.1235432760921865,6.739883341344624e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate2_qlike_raw,,,,,,,,,,,,,,,,event_driven,10.0,0.08899995246920449,0.0889999524692044,9.355817001778572e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate2_qlike_raw,,,,,,,,,,,,,,,,event_driven,20.0,0.06597702869152462,0.0659770286915246,4.206854441020681e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity_gate,gate2_summary,,,,,,,,,,,9.355817001778572e-16,,,,True,,,,,,results/tables/forecast_combination_grid.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ticker_status,summary,,,,,,,,,,,,,,,,,,,,,,848.0,648.0,200.0,18.0,BBBY;BBT;BMC;CBE;COL;CPWR;EP;FO;GENZ;GR;HAR;KG;MEE;MHP;RSH;SII;TIE;WPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coverage,overall,,,,,,,,431245.0,,,,,,,,,,,,,,,,,,,0.8080371946341407,0.8018736449118251,345804.0,68497.0,13564.0,3380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coverage_by_exit_year,,,,,,,,,524.0,,,,,,,,,,,,,,,,,,,,0.09732824427480916,,,,,2010,16.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
