disclosure,family,strategy,model_id,horizon,n_seeds,qlike_mean,qlike_std,r2_mean,r2_std,dmq_stat_vs_s1,dmq_p_vs_s1,dm_stat_vs_s1,dm_p_vs_s1
long_form,FinBERT,S1_truncation,C2_finbert_s1,5,3,1.3428443625085198,0.3318422855115491,-0.19966639572127862,0.1184998222902296,,,,
long_form,FinBERT,S1_truncation,C2_finbert_s1,10,3,1.2440333595779016,0.17761313510985696,-0.19248699286789392,0.06089386327010604,,,,
long_form,FinBERT,S1_truncation,C2_finbert_s1,20,3,0.7262225714543137,0.2017870371977516,-0.19505610208270566,0.14726913170299288,,,,
long_form,FinBERT,S2_chunk_mean,C2_finbert_s2,5,3,1.486962240706611,0.05616938821516353,-0.25264521590053385,0.022806489032028296,16.648930518221132,3.323525532577316e-61,14.874855142139895,2.206278704211902e-49
long_form,FinBERT,S2_chunk_mean,C2_finbert_s2,10,3,1.1952122582596514,0.26115135745683665,-0.18742039352775955,0.09332106122464291,-6.06689830979413,1.3638677346459453e-09,-1.5076587027822654,0.13168172525947544
long_form,FinBERT,S2_chunk_mean,C2_finbert_s2,20,3,0.5719956677175734,0.12830421466817674,-0.06300285186947226,0.1286224132730356,-4.106748811044547,4.053130805951123e-05,-1.6093661529420886,0.10757625237665396
long_form,FinBERT,S3_chunk_attn,C2_finbert_s3,5,3,1.2429971376519158,0.05042848570338456,-0.15238455076726373,0.010548154323852685,-2.038234371988995,0.0415595258865441,-5.288440584020596,1.266473817433099e-07
long_form,FinBERT,S3_chunk_attn,C2_finbert_s3,10,3,1.254645627801831,0.12434084928322475,-0.1887834948932583,0.022180319853139216,-4.032682982281276,5.566039728661818e-05,-3.610686459249921,0.00030727251730436306
long_form,FinBERT,S3_chunk_attn,C2_finbert_s3,20,3,0.6731348683938316,0.15993378783185527,-0.1100399388532866,0.1010901317522409,4.254318998021857,2.121055073847603e-05,2.6618988897807863,0.007785848927002767
long_form,FinBERT,S4_hierarchical,C2_finbert_s4,5,3,1.432015868017654,0.34912453352183215,-0.22169063970031821,0.09139565464749401,4.242315114163745,2.237351598922643e-05,3.7179700790940093,0.00020221066223022612
long_form,FinBERT,S4_hierarchical,C2_finbert_s4,10,3,1.0942526654290539,0.262756622898017,-0.14515480666218483,0.05773713460454645,-12.59282378239774,5.105823594707299e-36,-7.37667998950715,1.7868933663461872e-13
long_form,FinBERT,S4_hierarchical,C2_finbert_s4,20,3,0.6032133807779622,0.2052772262638359,-0.05384665591743587,0.1283155145918274,-4.97979423255552,6.500017944098881e-07,-5.355193939098606,8.786930764957795e-08
long_form,FinBERT,S5_long_context,C4_longformer,5,3,1.2350942594316288,0.2865414734170732,-0.14673159486035484,0.09403958053585942,-4.103044836715975,4.1181997641415074e-05,-6.164800795105956,7.40149413103058e-10
long_form,FinBERT,S5_long_context,C4_longformer,10,3,1.0636988815032389,0.025434413055591586,-0.11289655191030135,0.014388253680757239,-9.693026856115216,4.279431943845843e-22,-8.985547489821181,3.1732867828096576e-19
long_form,FinBERT,S5_long_context,C4_longformer,20,3,0.6050656295257101,0.10255654536556973,-0.081352814784633,0.1040592815506669,-3.0196729414975216,0.0025385613307217125,-0.7069163382121033,0.4796393175939117
long_form,BERT-base,S1_truncation,C1_bert_s1,5,3,1.6444399211945895,0.21401359212423401,-0.2725261776280276,0.0950962360490463,,,,
long_form,BERT-base,S1_truncation,C1_bert_s1,10,3,1.1968234043746528,0.36351602744480976,-0.21123027797592053,0.09247961772699924,,,,
long_form,BERT-base,S1_truncation,C1_bert_s1,20,3,0.6994908959316807,0.11617447382126209,-0.14535647049713396,0.062243619528901124,,,,
long_form,BERT-base,S2_chunk_mean,C1_bert_s2,5,3,1.4557043770217446,0.17587515500414683,-0.24241759690196737,0.07695078909279077,-8.765059210528728,2.2556021076193663e-18,-4.389962921748313,1.1483607822233136e-05
long_form,BERT-base,S2_chunk_mean,C1_bert_s2,10,3,1.0371914985474777,0.23431563236102387,-0.1397070787168082,0.09232696954780019,-4.676057810783746,2.972761776510911e-06,-4.309284521641304,1.6576064696567468e-05
long_form,BERT-base,S2_chunk_mean,C1_bert_s2,20,3,0.6905153197474275,0.04812261155842999,-0.11559317009307184,0.05029816659699304,0.9400702205704934,0.3472102812585393,-2.0207475288714116,0.0433395730099589
event_driven,FinBERT,S1_truncation,C2_finbert_s1,5,3,0.9762749390746936,0.14431951118597633,-0.031783205687006766,0.046260455140198234,,,,
event_driven,FinBERT,S1_truncation,C2_finbert_s1,10,3,1.1357800021510933,0.07654133860107758,-0.15587967820502024,0.03571545334299274,,,,
event_driven,FinBERT,S1_truncation,C2_finbert_s1,20,3,0.7023862242033405,0.12839189216386007,-0.08357094022212268,0.07359332263474673,,,,
