disc,model,h,n_obs,n_days,qlike_R,qlike_U,rel_impr_pct,g_log,dm_q,p_q,dm_se,p_se,cw_t,cw_p,boot_lo,boot_hi,placebo_dq,placebo_dm,dm_q_clust,p_q_clust,dm_se_clust,p_se_clust,cw_t_clust,cw_p_clust,boot_lo_daily,boot_hi_daily,placebo_dm_clust,dmq_holm,cw_holm,dmq_holm_clust,cw_holm_clust,genuine,genuine_clust
long_form,B1_bow_ridge,5,7951,809,0.12086879176314268,0.11888011745513084,1.6453166106838288,0.10688423823233704,-6.75177697668904,1.563113570718682e-11,-8.568915986928225,1.2420247609292636e-17,10.870626398097576,1.2379014176820927e-27,-0.002560558038353998,-0.0014156091922559455,9.412609573102859e-05,1.435695962496948,-3.8343062389023346,0.00013571202045885167,-4.43367684798002,1.0544300473351347e-05,5.730285917685411,7.074897587381136e-09,-0.0027639579746118184,-0.0008926237679088614,0.4266040577339112,5.470897497515388e-10,5.694346521337626e-26,0.005835616879730622,3.1837039143215113e-07,True,True
long_form,B1_bow_ridge,10,7933,803,0.08729339051016716,0.08603367759089903,1.4430793808168212,0.058530808524301106,-9.179812311390869,5.421606402945204e-20,-9.976017746835506,2.6617775015396864e-23,11.109828182784936,9.106986588164264e-29,-0.0015341894465860054,-0.000988724065731205,8.342185414551007e-05,1.2502927434312592,-4.14759093241594,3.718297815318565e-05,-3.8113650786249083,0.00014878246114681794,4.403102330922889,6.0584456281757435e-06,-0.0015323209305146428,-0.0005582994173320172,0.3876537309612839,2.7650192655020537e-18,4.2802836964372045e-27,0.0016360510387401685,0.00021810404261432678,True,True
long_form,B1_bow_ridge,20,7902,794,0.07008297694567736,0.06799063125332619,2.9855262769060005,0.09846861346054536,-13.075267803903577,1.1468412495968374e-38,-12.656941655990321,2.3049488219995116e-36,14.91948981367223,5.814648138768081e-50,-0.0024126506107762283,-0.0017855605034651474,-3.463015272322789e-05,-0.3421347296578022,-5.446405777397618,6.860604581652476e-08,-4.638445091975773,4.105115041857512e-06,5.787289314991177,5.149118620137087e-09,-0.002547299408650059,-0.0012241286134183234,-0.24844069597837323,6.995731622540708e-37,3.8376677715869333e-48,3.910544611541911e-06,2.36859456526306e-07,True,True
long_form,B2_tfidf_ridge,5,7951,809,0.12086879176314268,0.11684325492956003,3.3305014262665753,0.23683180904696574,-11.338148065949502,1.4314838354283112e-29,-11.107503450651175,1.8666668798745666e-28,13.431066944855518,5.509791854940299e-41,-0.00471202076665601,-0.0033207742347387565,1.9860000922178322e-05,0.41806324078965257,-5.3907848396946605,9.213613664235412e-08,-6.6260376140502935,6.294569909347211e-11,8.27578334308788,2.625555760512926e-16,-0.005294901743750942,-0.0024778481066551417,0.5067196653293575,8.445754629027037e-28,3.30587511296418e-39,5.067487515329477e-06,1.7328668019385314e-14,True,True
long_form,B2_tfidf_ridge,10,7933,803,0.08729339051016716,0.08425354518391244,3.4823316043620314,0.17001060754841513,-15.29925124265144,4.267875395131434e-52,-12.829648637817444,2.6239894191902457e-37,14.440211439612481,5.628004695100357e-47,-0.003444607718358774,-0.0026450694577023768,1.9759102939095885e-05,0.9485485182187372,-8.89254432852136,3.901005011622187e-18,-7.968601070618164,5.501758984035263e-15,8.864272829316425,2.4582593183920408e-18,-0.004264900010891767,-0.0028147069523075468,0.32827969728391804,2.8167977607867463e-50,3.545642957913225e-45,2.613673357786865e-16,1.6470337433226674e-16,True,True
long_form,B2_tfidf_ridge,20,7902,794,0.07008297694567736,0.06593416311016972,5.9198595954670425,0.2044249337080748,-19.616773197113712,1.0655550259870722e-83,-15.846170951407514,1.0707213504155887e-55,17.82728906808283,4.975276930621423e-70,-0.0045637853959816016,-0.0037359526186045975,5.5076893017960705e-05,2.1796973605507795,-9.041621963712146,1.1651051953355876e-18,-8.037208573392757,3.3289084767998782e-15,9.2132015526386,1.3888567191085468e-19,-0.005220555578169524,-0.0034336711942865193,0.29793310268116374,7.352329679310798e-82,3.4329410821287817e-68,7.922715328281996e-17,9.444225689938119e-18,False,True
long_form,B3_lm_linear,5,7951,809,0.12086879176314268,0.12027090153903107,0.49466054503402973,0.6413123812975448,-1.7001812014489934,0.0891359613734039,-4.137760689377793,3.543284069678901e-05,7.19820253122332,3.3287945535723703e-13,-0.0013188755214194115,8.83710923871092e-05,4.464618872254689e-05,0.6524478546964201,-2.583028949055883,0.009968402319951325,-3.451028126991942,0.0005874369309800112,5.093724078815931,2.1863886338698342e-07,-0.0033998502017239824,-0.0004982031242502617,0.5900481940646093,0.8022236523606352,1.1650780937503296e-11,0.26914686263868576,8.089637945318387e-06,False,False
long_form,B3_lm_linear,10,7933,803,0.08729339051016716,0.08572727198461577,1.7940860314836526,0.5905278250429469,-5.445647051102129,5.316225115980829e-08,-6.286226506178615,3.424702501495252e-10,9.565760296148781,7.277627279683307e-22,-0.002124751983446158,-0.0010099611137719816,3.868631756150098e-05,0.7085269884587463,-4.615395517081547,4.566983311300923e-06,-4.282346927124348,2.0733578761221206e-05,5.720201778276212,7.509198654272743e-09,-0.0035052145201117987,-0.001470035640192785,0.2714877342521003,1.3290562789952073e-06,3.129379730263822e-20,0.00021464821563114338,3.240135212112923e-07,True,True
long_form,B3_lm_linear,20,7902,794,0.07008297694567736,0.06764063517559431,3.484928689567737,0.5816444686551895,-9.632027221865279,7.718001654547799e-22,-8.601440072294599,9.39420960570253e-18,12.517180134839277,6.535599553871933e-36,-0.0029531247815177057,-0.0019359038615177457,-0.00020466812671208478,-1.0823712867542965,-4.69288743331623,3.1725548463252715e-06,-4.3092798385098146,1.8437431450176343e-05,6.09383467461838,8.59478471737228e-10,-0.003177145302403226,-0.0013472632131446146,-1.2585489497240971,4.090540876910333e-20,3.725291745707002e-34,0.00015228263262361303,4.383340205859863e-08,True,True
long_form,B4_lm_features,5,7951,809,0.12086879176314268,0.12073246231467775,0.11279127264883795,0.13906244006395818,-2.7966909124361963,0.00517529308463671,-6.138031761978778,8.755622005228404e-10,6.542005582964611,3.222798771049812e-11,-0.00022461443447873894,-3.857906491378377e-05,-2.3553788088437335e-06,-0.131357164352802,1.020094388471287,0.30798902639445963,-1.1890918269727917,0.23475286170544318,1.407026901114177,0.07990196967235125,-7.690628763030847e-05,0.0002656957569027844,0.42772485818947886,0.07245410318491394,1.095751582156936e-09,1.0,1.0,False,False
