model,disclosure,horizon,axis,stratum,n,rel_impr_pct,dm_q_stat,dm_q_p,ci_lo,ci_hi,placebo_rel_impr_pct
B1_bow_ridge,long_form,5,all,ALL,7951,1.6453166106838268,-6.75177697668904,1.563113570718682e-11,0.0014156091922559446,0.002560558038353998,-0.024274191021000837
B1_bow_ridge,long_form,5,vol_regime,mid,2650,1.233460428723946,-3.197654914058997,0.0014018286260626823,0.0005508138093499342,0.0022935867229523176,-0.055854881505178096
B1_bow_ridge,long_form,5,vol_regime,high,2650,3.0064434058761087,-8.225517210642845,3.009659662589373e-16,0.0031785657523635117,0.0051277997785551714,0.012592687833658831
B1_bow_ridge,long_form,5,vol_regime,low,2651,0.36428592800626874,-0.6499175399185523,0.5158018204637185,-0.0008225110202198973,0.0015555640633020072,-0.037601803792209176
B1_bow_ridge,long_form,5,period,<=2022,1977,-0.016533170146410127,0.028321136667317486,0.9774088826341705,-0.0013326041008691052,0.0012743305272955737,-0.17006943852452788
B1_bow_ridge,long_form,5,period,2023,1982,2.0201008169016106,-4.865872785554507,1.229549109114655e-06,0.0012995669203469875,0.003053740494471534,0.07587944498356786
B1_bow_ridge,long_form,5,period,2024-2025,3992,2.208434511790565,-6.739995794692052,1.8108580395449848e-11,0.0020306705678217528,0.0037134486097080764,-0.002451807771555957
B1_bow_ridge,long_form,5,form,10-Q,5960,1.8505490832447304,-8.258300252175243,1.8035153525879623e-16,0.0017026130346991175,0.002743532529717755,-0.04488699024793251
B1_bow_ridge,long_form,5,form,10-K,1991,1.0430243543521374,-1.4995283208124386,0.1338952474293035,-0.0003729652756195643,0.0029313601434295387,0.03621784126212915
B1_bow_ridge,long_form,10,all,ALL,7933,1.4430793808168227,-9.179812311390869,5.421606402945204e-20,0.0009887240657312048,0.0015341894465860052,0.011395176907981235
B1_bow_ridge,long_form,10,vol_regime,mid,2644,1.3585172234834706,-5.139591086127984,2.954387001330063e-07,0.0006739847773487353,0.0014837233579792553,0.01835289229309454
B1_bow_ridge,long_form,10,vol_regime,high,2644,2.094483606839445,-7.600937032940856,4.056491215796948e-14,0.0017153904004804093,0.0028752765630086835,0.003576185800149043
B1_bow_ridge,long_form,10,vol_regime,low,2645,0.5958171451851463,-2.003749112103064,0.04519879332670463,-2.615284693615584e-05,0.000873215197088624,0.015247878905657162
B1_bow_ridge,long_form,10,period,<=2022,1976,0.7878149111573767,-2.420545427213596,0.015586914728708734,0.00012894455729061028,0.001096706402744943,-0.04307896597068671
B1_bow_ridge,long_form,10,period,2023,1982,1.570814429575057,-3.9316368254539475,8.727011001886595e-05,0.0007614614659336779,0.0021318681566685313,-0.004492957122776318
B1_bow_ridge,long_form,10,period,2024-2025,3975,1.6565124123927375,-8.926416285670767,6.590956412670897e-19,0.0012016027988030655,0.0018753862480299173,0.04134203241372631
B1_bow_ridge,long_form,10,form,10-Q,5949,1.5482478029269828,-12.359811328397496,1.145434822628912e-34,0.0010872517671001282,0.001498528388407052,0.016998817480208234
B1_bow_ridge,long_form,10,form,10-K,1984,1.176948927952404,-2.5987227186934354,0.009426475027827948,0.00034298347050598627,0.0020939904719496135,-0.002784929375387023
B1_bow_ridge,long_form,20,all,ALL,7902,2.9855262769059867,-13.075267803903577,1.1468412495968374e-38,0.001785560503465147,0.002412650610776228,0.15645138904478742
B1_bow_ridge,long_form,20,vol_regime,mid,2634,2.8158249623734237,-6.177248409349729,7.533469247353173e-10,0.0012289014184427112,0.0024014804048558525,0.10195528556381013
B1_bow_ridge,long_form,20,vol_regime,high,2634,3.9016650587089816,-10.887383984198493,4.942392930632042e-27,0.0026760629334278154,0.0039015132392068107,0.17434957483253133
B1_bow_ridge,long_form,20,vol_regime,low,2634,1.9125701557437964,-4.722097687419778,2.4566046585697686e-06,0.0006654785490609519,0.0016896624675598164,0.18807021460322226
B1_bow_ridge,long_form,20,period,<=2022,1975,3.418422682237563,-5.957378710285076,3.0273251117221223e-09,0.0012030091612131378,0.002379310400378435,-0.014308896734923249
B1_bow_ridge,long_form,20,period,2023,1979,2.8895165474903175,-6.319774420566328,3.2277852615792464e-10,0.0015358865119513576,0.002938233383572805,0.18445781021039084
B1_bow_ridge,long_form,20,period,2024-2025,3948,2.8858242473245683,-9.780434817699394,2.4457146222209864e-22,0.0017485579099690094,0.0026565329971207858,0.20073138988213685
B1_bow_ridge,long_form,20,form,10-Q,5930,3.175469117525325,-15.13437082387576,8.464386959737024e-51,0.001918746684678138,0.002483839704516329,0.19079677479936108
B1_bow_ridge,long_form,20,form,10-K,1972,2.447615432335486,-3.7428409153066156,0.00018716229407423997,0.0008470124201892524,0.0027365201488101947,0.05918657296589461
B2_tfidf_ridge,long_form,5,all,ALL,7951,3.330501426266583,-11.338148065949502,1.4314838354283112e-29,0.003320774234738755,0.004712020766656009,-0.04983569358094363
B2_tfidf_ridge,long_form,5,vol_regime,mid,2650,2.186370385634225,-4.347791665703981,1.4270612670059751e-05,0.001452128982669366,0.003635620992009857,-0.09395885012938329
B2_tfidf_ridge,long_form,5,vol_regime,high,2650,5.34054592835058,-10.849277951835617,7.314734351488412e-27,0.00600867291771872,0.00866506513247156,0.03517058310742542
B2_tfidf_ridge,long_form,5,vol_regime,low,2651,1.9994425898887553,-3.5734492983419384,0.0003585939158512814,0.0010271777357211225,0.003408208542216495,-0.11058728151377067
B2_tfidf_ridge,long_form,5,period,<=2022,1977,0.5142043294594033,-0.7446663444605356,0.45656200117325074,-0.0009605559690892194,0.002115873476855975,-0.31692553382173505
B2_tfidf_ridge,long_form,5,period,2023,1982,3.8464714472389674,-7.078969288385739,2.00812039160272e-12,0.0029705927297971465,0.005290756439062408,0.08531131725771444
B2_tfidf_ridge,long_form,5,period,2024-2025,3992,4.333659465870968,-11.241341412291085,6.91117426969129e-29,0.004597686996663913,0.0066816074410696496,0.009955693198418323
B2_tfidf_ridge,long_form,5,form,10-Q,5960,3.629313947727742,-10.22031505221608,2.550307518666847e-24,0.003518300758587555,0.005207845470529052,-0.05667118312964776
B2_tfidf_ridge,long_form,5,form,10-K,1991,2.45358138761337,-4.907289194999983,9.98541655235395e-07,0.0018005336569680782,0.004135559742305314,-0.029775698337262266
B2_tfidf_ridge,long_form,10,all,ALL,7933,3.4823316043620336,-15.29925124265144,4.267875395131434e-52,0.0026450694577023768,0.003444607718358774,0.044996466000315025
B2_tfidf_ridge,long_form,10,vol_regime,mid,2644,2.7581657473279044,-6.57447750741729,5.862005806016058e-11,0.0015732160516083937,0.002828687809504117,0.0431822161038975
B2_tfidf_ridge,long_form,10,vol_regime,high,2644,4.463504883974424,-12.535239625471185,4.661730985375111e-35,0.004091076162082196,0.005603700171565411,0.04173798391955001
B2_tfidf_ridge,long_form,10,vol_regime,low,2645,2.840556055239349,-6.231387158114774,5.36282413982627e-10,0.001459781722586563,0.002799250019385765,0.051612930055440064
B2_tfidf_ridge,long_form,10,period,<=2022,1976,1.965782637659263,-3.3858579096574224,0.0007234559874684982,0.0006436707893455212,0.002382406221974599,-0.19137633784876126
B2_tfidf_ridge,long_form,10,period,2023,1982,2.764014888885398,-7.071410503477562,2.117770760106611e-12,0.0017292350729350425,0.003015817698327809,0.09023940488285587
B2_tfidf_ridge,long_form,10,period,2024-2025,3975,4.443109817047314,-15.223559567427289,6.565748636721938e-51,0.00357321853388298,0.004655352236359884,0.1223722404127802
B2_tfidf_ridge,long_form,10,form,10-Q,5949,4.140777027895514,-15.066470196417855,2.266573371865969e-50,0.003021776293862556,0.003909970524283718,0.07251046323315526
B2_tfidf_ridge,long_form,10,form,10-K,1984,1.8161244365115894,-4.644338459262463,3.6355356932118857e-06,0.0009955878524483689,0.0025546323930100007,-0.024628164632787997
B2_tfidf_ridge,long_form,20,all,ALL,7902,5.919859595467064,-19.616773197113712,1.0655550259870722e-83,0.0037359526186045975,0.0045637853959816016,0.43307671176787144
B2_tfidf_ridge,long_form,20,vol_regime,mid,2634,4.961488334145459,-9.113966466240186,1.5322371662376307e-19,0.002484238366192829,0.0038298838140408725,0.3244820534729425
B2_tfidf_ridge,long_form,20,vol_regime,high,2634,7.1722177114277486,-14.674858425873957,6.331622075361152e-47,0.005260543291484328,0.006892019477188744,0.4323337286419632
B2_tfidf_ridge,long_form,20,vol_regime,low,2634,5.199392082983536,-9.328920071915977,2.1969920213725794e-20,0.0025519226965697254,0.0039118582612194235,0.5456533281545164
B2_tfidf_ridge,long_form,20,period,<=2022,1975,6.014044792604051,-7.675694766514094,2.5690407524183233e-14,0.002328506463835836,0.0039247743354819675,0.04505551355034292
B2_tfidf_ridge,long_form,20,period,2023,1979,4.256910220103933,-9.099585881324673,2.1503614611320485e-19,0.0025409505657228593,0.003911015840163285,0.4073957446499225
B2_tfidf_ridge,long_form,20,period,2024-2025,3948,6.722320238102117,-16.360475791227802,2.9106983341021264e-58,0.004523990845735409,0.005725707188166553,0.5785248747057747
B2_tfidf_ridge,long_form,20,form,10-Q,5930,6.5449909930043875,-18.085157915797065,3.324725579973623e-71,0.004043065932169749,0.005003144704956288,0.5194000269426978
B2_tfidf_ridge,long_form,20,form,10-K,1972,4.14951143746124,-8.008792535323543,1.9615002626745236e-15,0.0022639577168537877,0.003800750862297613,0.18861239176291475
B3_lm_linear,long_form,5,all,ALL,7951,0.4946605450340357,-1.7001812014489934,0.0891359613734039,-8.837109238710949e-05,0.0013188755214194113,-0.07232358078676215
B3_lm_linear,long_form,5,vol_regime,mid,2650,-0.5491381484096532,1.066891889508314,0.2861178800972496,-0.0017782543047551137,0.0005323646484793229,-0.16372923824838279
B3_lm_linear,long_form,5,vol_regime,high,2650,1.4156118788042962,-3.012558005840556,0.002615070982447735,0.0006668157270899271,0.003228999469674979,-0.008609966887529161
B3_lm_linear,long_form,5,vol_regime,low,2651,0.42841618164018336,-0.753164759987549,0.45141781700812056,-0.0008414883090423964,0.001703674100120328,-0.0568258484927505
B3_lm_linear,long_form,5,period,<=2022,1977,-2.0174601019242533,3.0210129261310055,0.002551620425057828,-0.0037765553455203402,-0.0008668804239927985,-0.38527721837367396
B3_lm_linear,long_form,5,period,2023,1982,0.6243161264906514,-1.1513422143970833,0.24973041630777387,-0.00044377999204590364,0.0017994734635278522,0.12652627100551483
B3_lm_linear,long_form,5,period,2024-2025,3992,1.5250033220678874,-3.93049743475881,8.620670655337015e-05,0.001002233358139703,0.0030355013111027307,-0.018867214052488455
B3_lm_linear,long_form,5,form,10-Q,5960,0.38578314275992287,-1.0808551158406166,0.27980530728415354,-0.00035998466978532826,0.0013188656027569325,-0.0464937540690685
B3_lm_linear,long_form,5,form,10-K,1991,0.8141812108475237,-1.7750144245667687,0.07604833218806328,-0.00011725711913316287,0.0020975661748574696,-0.1481259351624306
B3_lm_linear,long_form,10,all,ALL,7933,1.79408603148366,-5.445647051102129,5.316225115980829e-08,0.0010099611137719814,0.002124751983446158,0.19701855275399716
B3_lm_linear,long_form,10,vol_regime,mid,2644,0.8229936449773241,-1.5272146260793733,0.12682730721559005,-0.0001808262544019717,0.0014846034491313945,0.21493365778352225
B3_lm_linear,long_form,10,vol_regime,high,2644,2.670663482546357,-4.8770038888149205,1.1409583029693008e-06,0.0017636721181279943,0.004055020469289245,0.19710791863438853
