arm,alignment,horizon,ref,stage,rel_pct,dm,p_raw,p_holm,placebo_ls,placebo_wd,gate,identity_share,mde_ent_pct,boot_ci
tfidf,primary,3,r_ar,row3,13.0727,-3.0909,0.002402,0.016816,"dm=+0.33,p=0.536","dm=-3.61,p=0.001",win|G4:pass|G4b:dirty,114.49,8.4388,"[5.11,19.35]"
tfidf,primary,3,r_ar,row5,3.2443,-0.7514,0.453648,1.000000,"dm=+0.14,p=0.594","dm=-0.17,p=0.047",null|G4:pass|G4b:dirty,114.49,8.4388,"[-3.65,8.27]"
tfidf,primary,3,r_har,row3,5.8637,-2.3082,0.022429,0.103512,"dm=+0.31,p=0.619","dm=-0.04,p=0.027",null|G4:pass|G4b:dirty,89.81,6.0579,"[1.05,10.70]"
tfidf,primary,3,r_har,row5,2.5916,-1.2152,0.226318,1.000000,"dm=+0.12,p=0.626","dm=-0.00,p=0.093",null|G4:pass|G4b:clean,89.81,6.0579,"[-1.67,6.45]"
tfidf,primary,7,r_ar,row3,17.5182,-4.3755,0.000023,0.000187,"dm=+0.30,p=0.549","dm=-3.62,p=0.002",win|G4:pass|G4b:dirty,118.87,5.8534,"[9.68,23.88]"
tfidf,primary,7,r_ar,row5,4.6118,-1.7161,0.088322,0.706575,"dm=+0.27,p=0.528","dm=-0.84,p=0.043",null|G4:pass|G4b:dirty,118.87,5.8534,"[-0.08,8.27]"
tfidf,primary,7,r_har,row3,7.2883,-2.7518,0.006701,0.040205,"dm=+0.45,p=0.497","dm=-1.09,p=0.024",win|G4:pass|G4b:dirty,91.00,4.1811,"[2.50,12.03]"
tfidf,primary,7,r_har,row5,3.0928,-1.6944,0.092391,0.706575,"dm=+0.44,p=0.475","dm=-0.13,p=0.074",null|G4:pass|G4b:clean,91.00,4.1811,"[-0.20,5.79]"
tfidf,primary,15,r_ar,row3,15.0920,-2.3395,0.020702,0.103512,"dm=+0.25,p=0.592","dm=-2.52,p=0.026",null|G4:pass|G4b:dirty,111.68,6.7742,"[1.85,19.25]"
tfidf,primary,15,r_ar,row5,4.1326,-1.2247,0.222706,1.000000,"dm=+0.20,p=0.552","dm=+0.14,p=0.605",null|G4:pass|G4b:clean,111.68,6.7742,"[-0.80,8.03]"
tfidf,primary,15,r_har,row3,6.5591,-1.2163,0.225873,0.338669,"dm=+0.62,p=0.489","dm=-0.39,p=0.303",null|G4:pass|G4b:clean,90.29,4.6647,"[-1.45,9.69]"
tfidf,primary,15,r_har,row5,2.7677,-1.1444,0.254397,1.000000,"dm=+0.67,p=0.439","dm=+0.16,p=0.610",null|G4:pass|G4b:clean,90.29,4.6647,"[-0.76,5.29]"
tfidf,primary,30,r_ar,row3,9.7081,-1.5952,0.112890,0.338669,"dm=+0.25,p=0.599","dm=-0.73,p=0.175",null|G4:pass|G4b:clean,118.74,5.0009,"[1.39,15.83]"
tfidf,primary,30,r_ar,row5,2.9019,-1.0456,0.297524,1.000000,"dm=+0.26,p=0.501","dm=+0.35,p=0.612",null|G4:pass|G4b:clean,118.74,5.0009,"[-0.66,5.75]"
tfidf,primary,30,r_har,row3,5.8605,-1.4632,0.145622,0.338669,"dm=+0.43,p=0.432","dm=-0.26,p=0.381",null|G4:pass|G4b:clean,89.44,3.1871,"[0.01,9.09]"
tfidf,primary,30,r_har,row5,2.4880,-1.4244,0.156527,0.939164,"dm=+0.43,p=0.373","dm=+0.27,p=0.653",null|G4:pass|G4b:clean,89.44,3.1871,"[-0.16,4.53]"
tfidf,shifted,3,r_ar,row3,11.8168,-2.6602,0.008707,0.045395,"dm=+0.50,p=0.508","dm=-2.61,p=0.021",win|G4:pass|G4b:dirty,101.08,6.8721,"[3.65,15.53]"
tfidf,shifted,3,r_ar,row5,4.8028,-1.5288,0.128531,0.714490,"dm=+0.24,p=0.480","dm=-0.63,p=0.230",null|G4:pass|G4b:clean,101.08,6.8721,"[-0.69,7.23]"
tfidf,shifted,3,r_har,row3,4.0948,-2.9260,0.003999,0.027994,"dm=+0.59,p=0.443","dm=-0.96,p=0.135",win|G4:pass|G4b:clean,80.19,3.3545,"[1.66,6.44]"
tfidf,shifted,3,r_har,row5,2.5712,-2.3198,0.021776,0.174206,"dm=+0.69,p=0.432","dm=-0.75,p=0.232",null|G4:pass|G4b:clean,80.19,3.3545,"[0.60,4.34]"
tfidf,shifted,7,r_ar,row3,8.2910,-2.7096,0.007566,0.045395,"dm=+0.55,p=0.486","dm=-2.66,p=0.020",win|G4:pass|G4b:dirty,145.41,4.7239,"[2.39,14.96]"
tfidf,shifted,7,r_ar,row5,2.1573,-1.1287,0.260926,0.994536,"dm=+0.64,p=0.504","dm=-0.82,p=0.244",null|G4:pass|G4b:clean,145.41,4.7239,"[-1.63,5.38]"
tfidf,shifted,7,r_har,row3,3.6506,-3.4434,0.000755,0.006041,"dm=+0.68,p=0.446","dm=+0.27,p=0.083",win|G4:pass|G4b:clean,100.24,2.2925,"[1.60,6.87]"
tfidf,shifted,7,r_har,row5,1.7000,-2.2155,0.028318,0.198223,"dm=+0.68,p=0.446","dm=+0.33,p=0.167",null|G4:pass|G4b:clean,100.24,2.2925,"[-0.06,3.37]"
tfidf,shifted,15,r_ar,row3,6.2889,-1.1215,0.263983,0.424432,"dm=+0.16,p=0.480","dm=-1.38,p=0.186",null|G4:pass|G4b:clean,119.11,4.4752,"[-4.32,12.48]"
tfidf,shifted,15,r_ar,row5,1.7141,-0.1991,0.842438,1.000000,"dm=+0.38,p=0.513","dm=+0.06,p=0.509",null|G4:pass|G4b:clean,119.11,4.4752,"[-3.42,3.64]"
tfidf,shifted,15,r_har,row3,2.8906,-1.3315,0.185146,0.424432,"dm=+0.49,p=0.486","dm=-0.57,p=0.555",null|G4:pass|G4b:clean,126.11,2.6916,"[-1.27,5.59]"
