panel,cell,x_entity_r2_val,y_identity_gain_relpct,n_val,n_entities,source_y,source_x,spearman_rho,p_perm_global,p_perm_within_panel,p_perm_conservative,p_fisher_onesided_greater,p_fisher_twosided,verdict_branch
SEC,long_form/h5,0.36945512860919644,0.1734419529497081,3734,526,results/tables/firm_identity_ensemble.csv,"results/runs/{A2,SHAR,GARCH,EGARCH,ARIMA}_full_long_form_seed2026/predictions.parquet (val rows, 5-model join)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
SEC,long_form/h10,0.378750225655638,1.7002821735772329,3609,527,results/tables/firm_identity_ensemble.csv,"results/runs/{A2,SHAR,GARCH,EGARCH,ARIMA}_full_long_form_seed2026/predictions.parquet (val rows, 5-model join)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
SEC,long_form/h20,0.36489606227800403,-1.390609815930442,3627,529,results/tables/firm_identity_ensemble.csv,"results/runs/{A2,SHAR,GARCH,EGARCH,ARIMA}_full_long_form_seed2026/predictions.parquet (val rows, 5-model join)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
SEC,event_driven/h5,0.30700999616753655,1.9772572469869705,13489,532,results/tables/firm_identity_ensemble.csv,"results/runs/{A2,SHAR,GARCH,EGARCH,ARIMA}_full_event_driven_seed2026/predictions.parquet (val rows, 5-model join)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
SEC,event_driven/h10,0.3079693225283859,1.5016715419139834,13131,532,results/tables/firm_identity_ensemble.csv,"results/runs/{A2,SHAR,GARCH,EGARCH,ARIMA}_full_event_driven_seed2026/predictions.parquet (val rows, 5-model join)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
SEC,event_driven/h20,0.30323935428452864,0.1243189387565543,13101,532,results/tables/firm_identity_ensemble.csv,"results/runs/{A2,SHAR,GARCH,EGARCH,ARIMA}_full_event_driven_seed2026/predictions.parquet (val rows, 5-model join)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
Yelp,chrono/h1m,0.9499158537428419,-10.58114072725136,38292,6648,results/tables/yelp_cascade.csv (row 4),"results/second_domain/preds/preds_ar_ridge.parquet (val rows, ∩ preds_tfidf_chrono)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
Yelp,chrono/h3m,0.9424048300909655,-9.483859529550516,51859,7407,results/tables/yelp_cascade.csv (row 4),"results/second_domain/preds/preds_ar_ridge.parquet (val rows, ∩ preds_tfidf_chrono)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_ar/h3,0.9801898235172541,14.966934882574028,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.3.r_ar.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_ar_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_har/h3,0.9951373822614091,5.266154432413615,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.3.r_har.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_har_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_ar/h7,0.976151840677771,20.82406555568514,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.7.r_ar.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_ar_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_har/h7,0.9948922023009672,6.63263412042505,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.7.r_har.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_har_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_ar/h15,0.9746446796514562,16.85465599485771,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.15.r_ar.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_ar_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_har/h15,0.9940360847720259,5.922150682940056,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.15.r_har.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_har_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_ar/h30,0.980892787174184,11.527414873699124,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.30.r_ar.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_ar_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
MAEC,primary/r_har/h30,0.9921331345399268,5.241333451668439,333,317,results/second_domain/maec/protocol_tfidf_primary.json horizons.30.r_har.entity.delta_rel_pct,"results/second_domain/maec/preds/preds_r_har_primary.parquet (val rows, no label col)",0.5852941176470587,0.9908009199080092,0.025897410258974102,0.9908009199080092,1.0,0.2,FALSIFIED
