panel,disclosure,horizon,challenger,n_obs,n_days,dm_qlike_var_clu,p_qlike_var_clu,holm_qlike_var_clu,better_holm,better_raw,worse_holm,is_price_arm,A_better_holm,A_better_raw,A_worse_holm,A_dm,A_n_obs,A_n_days,verdict_flip_vs_A
B,long_form,5,A3_garch,7565,801,-1.5426396103002833,0.12331368988672035,0.2466273797734407,False,False,False,True,False,False,False,-1.6854095771225224,7951,809,False
B,long_form,5,A4_egarch,7565,801,-2.710339141140408,0.006865397442034411,0.020596192326103234,True,True,False,True,True,True,False,-2.923007581788732,7951,809,False
B,long_form,5,A5_arima,7565,801,0.24080279911414496,0.809769657789584,0.809769657789584,False,False,False,True,False,False,False,-0.0984506796357827,7951,809,False
B,long_form,5,B2_tfidf_ridge,7565,801,6.829086747114533,1.6909115585379162e-11,1.352729246830333e-10,False,False,True,False,False,False,True,8.31526830588147,7951,809,False
B,long_form,5,C1_bert_s1,7565,801,9.861080947408539,1.0018653963791484e-21,2.003730792758297e-20,False,False,True,False,False,False,True,10.139872271674411,7951,809,False
B,long_form,5,C1_bert_s2,7565,801,9.240527027750257,2.1670423943844978e-19,3.582124273600121e-18,False,False,True,False,False,False,True,9.69976215608233,7951,809,False
B,long_form,5,C2_finbert_s1,7565,801,8.567354391276996,5.408935141605847e-17,6.490722169927016e-16,False,False,True,False,False,False,True,9.080359476292044,7951,809,False
B,long_form,5,C2_finbert_s2,7565,801,9.758920152262593,2.47325511211183e-21,4.503831953000041e-20,False,False,True,False,False,False,True,10.192639594206176,7951,809,False
B,long_form,5,C2_finbert_s3,7565,801,9.019132460965785,1.3808980520706294e-18,2.071347078105944e-17,False,False,True,False,False,False,True,9.266867829976164,7951,809,False
B,long_form,5,C2_finbert_s4,7565,801,9.243846436190232,2.10713192564713e-19,3.582124273600121e-18,False,False,True,False,False,False,True,9.72845021299889,7951,809,False
B,long_form,5,C3_roberta_s1,7565,801,9.763738660881778,2.3704378700000215e-21,4.503831953000041e-20,False,False,True,False,False,False,True,9.867570892527215,7951,809,False
B,long_form,5,C4_longformer,7565,801,8.581288014006294,4.841328681662082e-17,6.293727286160707e-16,False,False,True,False,False,False,True,8.885328108057763,7951,809,False
B,long_form,5,C5_qwen3,7565,801,4.3116637978700565,1.822559226846193e-05,9.112796134230966e-05,False,False,True,False,False,False,True,4.269954638602939,7951,809,False
B,long_form,5,C5_gteqwen2,7565,801,3.7374457045306895,0.0001991260620731321,0.0007965042482925284,False,False,True,False,False,False,True,3.73738944708883,7951,809,False
B,long_form,5,C5_e5mistral,7565,801,6.20399154189183,8.824116356869313e-10,6.176881449808519e-09,False,False,True,False,False,False,True,6.7900796267314,7951,809,False
B,long_form,5,D1_concat_mlp,7565,801,5.983680806962913,3.2893763604734314e-09,1.973625816284059e-08,False,False,True,False,False,False,True,6.234010143249256,7951,809,False
B,long_form,5,D2_gated_fusion,7565,801,8.716076216835,1.6442235700151244e-17,2.301912998021174e-16,False,False,True,False,False,False,True,8.688388196925892,7951,809,False
B,long_form,5,D3_qwen3,7565,801,8.38721974919904,2.238005582661788e-16,2.4618061409279666e-15,False,False,True,False,False,False,True,8.461381508449476,7951,809,False
B,long_form,5,D3_gteqwen2,7565,801,6.947572923414577,7.704471085246252e-12,6.934023976721627e-11,False,False,True,False,False,False,True,7.148862538294577,7951,809,False
B,long_form,5,D3_e5mistral,7565,801,8.255281337805767,6.235019338708519e-16,6.235019338708519e-15,False,False,True,False,False,False,True,8.345663727472997,7951,809,False
B,long_form,10,A3_garch,7548,795,-0.38951122025434726,0.6970024609218438,1.0,False,False,False,True,False,False,False,-0.7915553340097417,7933,803,False
B,long_form,10,A4_egarch,7548,795,-1.249718755458944,0.21177054288694377,0.6353116286608314,False,False,False,True,False,False,False,-1.716546899231819,7933,803,False
B,long_form,10,A5_arima,7548,795,-0.05491049374254765,0.9562235850474877,1.0,False,False,False,True,False,False,False,-0.4558345451847832,7933,803,False
B,long_form,10,B2_tfidf_ridge,7548,795,5.2652681682469185,1.8035975345716206e-07,2.525036548400269e-06,False,False,True,False,False,False,True,5.950214397786952,7933,803,False
B,long_form,10,C1_bert_s1,7548,795,4.645685464578167,3.966636287788525e-06,2.7766454014519676e-05,False,False,True,False,False,False,True,5.046675223613531,7933,803,False
B,long_form,10,C1_bert_s2,7548,795,4.5278952439108595,6.870704098520893e-06,4.122422459112536e-05,False,False,True,False,False,False,True,4.768486089886374,7933,803,False
B,long_form,10,C2_finbert_s1,7548,795,5.766416128178051,1.1594395777468326e-08,2.202935197718982e-07,False,False,True,False,False,False,True,6.082714676824636,7933,803,False
B,long_form,10,C2_finbert_s2,7548,795,5.446630254887623,6.849835182787111e-08,1.164471981073809e-06,False,False,True,False,False,False,True,5.778497591077035,7933,803,False
B,long_form,10,C2_finbert_s3,7548,795,5.694483562215481,1.7422165774482228e-08,3.135989839406801e-07,False,False,True,False,False,False,True,6.044054934857373,7933,803,False
B,long_form,10,C2_finbert_s4,7548,795,5.098894768048005,4.2748752397787035e-07,5.557337811712314e-06,False,False,True,False,False,False,True,5.481791320736491,7933,803,False
B,long_form,10,C3_roberta_s1,7548,795,6.003629147976301,2.9338154463212738e-09,5.867630892642547e-08,False,False,True,False,False,False,True,6.7553415013358284,7933,803,False
B,long_form,10,C4_longformer,7548,795,5.358039633283965,1.103092136569254e-07,1.7649474185108065e-06,False,False,True,False,False,False,True,5.785472637473291,7933,803,False
B,long_form,10,C5_qwen3,7548,795,4.834160028382854,1.6054676387608692e-06,1.4449208748847823e-05,False,False,True,False,False,False,True,5.03890869348389,7933,803,False
B,long_form,10,C5_gteqwen2,7548,795,5.005689411626053,6.859540683893996e-07,8.231448820672796e-06,False,False,True,False,False,False,True,4.92819614537612,7933,803,False
B,long_form,10,C5_e5mistral,7548,795,4.703057581807667,3.0219542788338912e-06,2.417563423067113e-05,False,False,True,False,False,False,True,4.88119278221421,7933,803,False
