disclosure,horizon,loss,n_obs,n_days,n_models,spa_p_lower,spa_p_consistent,spa_p_upper,spa_T,spa_best_challenger,spa_best_tstat,spa_textfusion_p_consistent,spa_textfusion_best,spa_textfusion_best_tstat,mcs90_n,mcs90_price,mcs90_text,mcs90_fusion,n_price,n_text,n_fusion,mcs90_members,arch_spa_consistent,arch_mcs90_textfusion,arch_note
long_form,5,qlike,7550,792,26,0.1555,0.3845,0.858,0.9974041712211699,A7_harx_vix,0.9974041712211699,1.0,D1_concat_mlp,-3.595600094290801,6,5,0,1,8,12,6,A2_har_rv; A4_egarch; A6_harq; A6_shar; A7_harx_vix; D1_concat_mlp,0.384,1,ok
long_form,5,se,7550,792,26,0.148,0.462,0.778,1.04880612590517,A7_harx_vix,1.04880612590517,1.0,D1_concat_mlp,-1.7514788541776374,6,4,0,2,8,12,6,A2_har_rv; A6_harq; A6_shar; A7_harx_vix; D1_concat_mlp; D3_gteqwen2,0.255,2,ok
long_form,10,qlike,7167,766,26,0.1845,0.35,0.744,1.0841500841769545,A7_harx_vix,1.0841500841769545,1.0,D3_gteqwen2,-2.4885108674578578,11,7,0,4,8,12,6,A2_har_rv; A3_garch; A4_egarch; A5_arima; A6_harq; A6_shar; A7_harx_vix; D2_gated_fusion; D3_e5mistral; D3_gteqwen2; D3_qwen3,0.4155,4,ok
long_form,10,se,7167,766,26,0.1165,0.3425,0.6095,1.220928076923164,A7_harx_vix,1.220928076923164,1.0,D3_gteqwen2,-1.1920460973884432,5,4,0,1,8,12,6,A2_har_rv; A6_harq; A6_shar; A7_harx_vix; D3_gteqwen2,0.273,2,ok
long_form,20,qlike,7097,765,26,0.0905,0.15,0.278,1.6095121339961054,A7_harx_vix,1.6095121339961054,1.0,D3_gteqwen2,-1.6163776035063986,11,7,0,4,8,12,6,A2_har_rv; A3_garch; A4_egarch; A5_arima; A6_harq; A6_shar; A7_harx_vix; D2_gated_fusion; D3_e5mistral; D3_gteqwen2; D3_qwen3,0.236,4,ok
long_form,20,se,7097,765,26,0.0645,0.116,0.203,1.7752543412677633,A7_harx_vix,1.7752543412677633,1.0,D3_gteqwen2,-0.507472658350306,7,4,0,3,8,12,6,A2_har_rv; A6_harq; A6_shar; A7_harx_vix; D3_e5mistral; D3_gteqwen2; D3_qwen3,0.1365,3,ok
event_driven,5,qlike,23855,996,27,0.0175,0.021,0.042,2.5800806712845543,A7_harx_vix,2.5800806712845543,1.0,D3_gteqwen2,-3.118091324668867,1,1,0,0,8,13,6,A7_harx_vix,0.068,0,ok
event_driven,5,se,23855,996,27,0.0745,0.0745,0.182,1.9439813286816676,A7_harx_vix,1.9439813286816676,1.0,D3_gteqwen2,-2.3244236688386457,2,2,0,0,8,13,6,A6_harq; A7_harx_vix,0.038,0,ok
event_driven,10,qlike,22785,991,27,0.016,0.0205,0.0375,2.5982495941327524,A6_shar,2.5982495941327524,1.0,D3_gteqwen2,-3.267372671672236,7,6,0,1,8,13,6,A2_har_rv; A3_garch; A4_egarch; A6_harq; A6_shar; A7_harx_vix; D3_gteqwen2,0.246,1,ok
event_driven,10,se,22785,991,27,0.014,0.014,0.0185,2.8368191898711905,A6_harq,2.8368191898711905,1.0,D3_gteqwen2,-2.4073320645451988,2,2,0,0,8,13,6,A6_harq; A7_harx_vix,0.0495,0,ok
event_driven,20,qlike,22318,981,27,0.0015,0.0015,0.0025,3.5786708378517407,A6_shar,3.5786708378517407,1.0,D3_gteqwen2,-2.206105585296599,8,6,0,2,8,13,6,A2_har_rv; A3_garch; A4_egarch; A6_harq; A6_shar; A7_harx_vix; D3_gteqwen2; D3_qwen3,0.291,2,ok
event_driven,20,se,22318,981,27,0.005,0.005,0.005,3.220128843332549,A6_harq,3.220128843332549,1.0,D3_gteqwen2,-1.4614601331356731,3,3,0,0,8,13,6,A6_harq; A6_shar; A7_harx_vix,0.064,0,ok
combined,5,qlike,31405,996,26,0.0305,0.0305,0.07,2.331490413477431,A7_harx_vix,2.331490413477431,1.0,D3_gteqwen2,-4.091651484748294,1,1,0,0,8,12,6,A7_harx_vix,0.018,0,ok
combined,5,se,31405,996,26,0.0795,0.0795,0.1815,1.9037173437131785,A7_harx_vix,1.9037173437131785,1.0,D3_gteqwen2,-2.732779188321232,3,3,0,0,8,12,6,A6_harq; A6_shar; A7_harx_vix,0.0395,0,ok
combined,10,qlike,29952,991,26,0.021,0.027,0.0505,2.4178549330381536,A6_shar,2.4178549330381536,1.0,D3_gteqwen2,-2.50544630319601,8,6,0,2,8,12,6,A2_har_rv; A3_garch; A4_egarch; A6_harq; A6_shar; A7_harx_vix; D3_gteqwen2; D3_qwen3,0.2115,2,ok
combined,10,se,29952,991,26,0.046,0.0525,0.082,2.182480890467068,A6_harq,2.182480890467068,1.0,D3_gteqwen2,-1.3121144879590971,4,3,0,1,8,12,6,A6_harq; A6_shar; A7_harx_vix; D3_gteqwen2,0.0575,1,ok
combined,20,qlike,29415,981,26,0.0015,0.0025,0.0025,3.5168214224450445,A6_shar,3.5168214224450445,1.0,D3_gteqwen2,-1.4082447485087,8,6,0,2,8,12,6,A2_har_rv; A3_garch; A4_egarch; A6_harq; A6_shar; A7_harx_vix; D3_gteqwen2; D3_qwen3,0.2595,2,ok
combined,20,se,29415,981,26,0.0135,0.0145,0.0195,2.6868801269964964,A6_harq,2.6868801269964964,1.0,D3_gteqwen2,-0.5199510242353003,4,3,0,1,8,12,6,A6_harq; A6_shar; A7_harx_vix; D3_gteqwen2,0.05,1,ok
