model_id,section,horizon_days,n_test,frac_nonempty_all,frac_nonempty_10K,frac_nonempty_10Q,qlike_test_var,qlike_vs_B2_pct,m1_qlike_fR,m1_qlike_fU,m1_rel_improve_pct,m1_g_text,m1_dm_stat,m1_dm_p
B2_tfidf_ridge,full text (archived B2 run),5,7951,1.0,1.0,1.0,1.2371,0.0,0.12087,0.11684,3.331,0.2368,-11.338,0.0
B2_tfidf_ridge,full text (archived B2 run),10,7933,1.0,1.0,1.0,1.0522,0.0,0.08729,0.08425,3.482,0.17,-15.299,0.0
B2_tfidf_ridge,full text (archived B2 run),20,7902,1.0,1.0,1.0,0.7083,0.0,0.07008,0.06593,5.92,0.2044,-19.617,0.0
B2sec_fullrepro,"B2 recipe re-run on full text (sanity, memory-safe vocab path)",5,7951,1.0,1.0,1.0,1.2371,-0.0,0.12087,0.11684,3.331,0.2368,-11.338,0.0
B2sec_fullrepro,"B2 recipe re-run on full text (sanity, memory-safe vocab path)",10,7933,1.0,1.0,1.0,1.0522,-0.0,0.08729,0.08425,3.484,0.1701,-15.299,0.0
B2sec_fullrepro,"B2 recipe re-run on full text (sanity, memory-safe vocab path)",20,7902,1.0,1.0,1.0,0.7084,0.01,0.07008,0.06594,5.908,0.204,-19.62,0.0
B2sec_item1a,Risk Factors only (10-K Item 1A / 10-Q Part II Item 1A),5,7951,0.9496,0.9892,0.9364,1.4123,14.16,0.12087,0.11921,1.372,0.1617,-7.772,0.0
B2sec_item1a,Risk Factors only (10-K Item 1A / 10-Q Part II Item 1A),10,7933,0.9496,0.9892,0.9364,1.179,12.05,0.08729,0.08625,1.199,0.0971,-10.755,0.0
B2sec_item1a,Risk Factors only (10-K Item 1A / 10-Q Part II Item 1A),20,7902,0.9496,0.9892,0.9364,0.7337,3.58,0.07008,0.06882,1.808,0.1002,-14.267,0.0
B2sec_item7,MD&A only (10-K Item 7 / 10-Q Part I Item 2),5,7951,0.9958,0.995,0.996,1.3922,12.53,0.12087,0.11814,2.262,0.1431,-12.336,0.0
B2sec_item7,MD&A only (10-K Item 7 / 10-Q Part I Item 2),10,7933,0.9958,0.995,0.996,1.1955,13.62,0.08729,0.08551,2.038,0.0936,-15.564,0.0
B2sec_item7,MD&A only (10-K Item 7 / 10-Q Part I Item 2),20,7902,0.9958,0.995,0.996,0.7708,8.82,0.07008,0.06784,3.205,0.1041,-20.168,0.0
B2sec_item7a,Market risk only (10-K Item 7A; empty for 10-Q),5,7951,0.2461,0.9844,0.0,1.3686,10.63,0.12087,0.12258,-1.415,-0.3173,8.41,0.0
B2sec_item7a,Market risk only (10-K Item 7A; empty for 10-Q),10,7933,0.2461,0.9844,0.0,1.1561,9.87,0.08729,0.08914,-2.112,-0.5011,7.048,0.0
B2sec_item7a,Market risk only (10-K Item 7A; empty for 10-Q),20,7902,0.2461,0.9844,0.0,0.7574,6.93,0.07008,0.07263,-3.631,-0.6866,6.459,0.0
B2sec_rest,Full text MINUS Item 1A + MD&A + Item 7A spans,5,7951,1.0,1.0,1.0,1.184,-4.29,0.12087,0.11836,2.078,0.1831,-9.147,0.0
B2sec_rest,Full text MINUS Item 1A + MD&A + Item 7A spans,10,7933,1.0,1.0,1.0,1.0255,-2.53,0.08729,0.08598,1.509,0.111,-10.319,0.0
B2sec_rest,Full text MINUS Item 1A + MD&A + Item 7A spans,20,7902,1.0,1.0,1.0,0.6947,-1.91,0.07008,0.06818,2.719,0.1798,-11.314,0.0
