disclosure,h,n_test_common,A2_qlike_full,A2_qlike_common,A6_shar_qlike,A6_shar_dq_pct,A6_shar_dm_qlike,A6_shar_p_qlike,A6_shar_dm_se,A6_shar_p_se,A6_harq_qlike,A6_harq_dq_pct,A6_harq_dm_qlike,A6_harq_p_qlike,A6_harq_dm_se,A6_harq_p_se,section,text_model,n_val,n_test,A2_qlike_R,A2_qlike_U,A2_rel_impr_pct,A2_g_log,A2_dm,A2_p,A6_shar_qlike_R,A6_shar_qlike_U,A6_shar_rel_impr_pct,A6_shar_g_log,A6_shar_dm,A6_shar_p,n_rows,drop_ret_match,drop_feat_window,n_kept,kept_pct
long_form,5.0,7550.0,0.5564483863244479,0.5634504035982472,0.5568093545686762,1.1786395017486195,-3.735,0.00019,-1.12,0.26274,0.8804051057913785,-56.25245809906762,0.957,0.33871,1.319,0.18717,baseline_qlike,,,,,,,,,,,,,,,,,,,,
long_form,10.0,7167.0,0.46177717342123126,0.4225765482423274,0.41058054149429213,2.8387772104087787,-6.485,0.0,-2.737,0.00622,0.5645507088968559,-33.597264506290855,0.89,0.3736,0.966,0.33432,baseline_qlike,,,,,,,,,,,,,,,,,,,,
long_form,20.0,7097.0,0.29702680560350897,0.30761729275367516,0.29480455728685534,4.165154485342811,-8.015,0.0,-3.156,0.00161,0.40305749654023165,-31.02563023431206,0.841,0.40012,0.514,0.60756,baseline_qlike,,,,,,,,,,,,,,,,,,,,
event_driven,5.0,23855.0,0.590179124622791,0.5992192412830604,0.5927041124621274,1.087269628889527,-5.755,0.0,-3.976,7e-05,0.6186452438174389,-3.241885639850815,0.764,0.44493,-2.157,0.03105,baseline_qlike,,,,,,,,,,,,,,,,,,,,
event_driven,10.0,22785.0,0.44084718483267366,0.45755532541593635,0.4454109007882113,2.6541980724812473,-8.374,0.0,-7.001,0.0,0.45688623935165906,0.14623063640862768,-0.062,0.95045,-5.394,0.0,baseline_qlike,,,,,,,,,,,,,,,,,,,,
event_driven,20.0,22318.0,0.31846861692949835,0.3327185697906218,0.31915709563383216,4.075959500945146,-11.725,0.0,-8.258,0.0,0.32631078813410813,1.9258863911762016,-0.887,0.37523,-5.66,0.0,baseline_qlike,,,,,,,,,,,,,,,,,,,,
combined,5.0,31405.0,0.5822552116623105,0.5907691153029428,0.5840587117303562,1.1358758267425035,-6.773,0.0,-3.818,0.00013,0.6600548351388908,-11.728053826987672,1.308,0.19095,-1.323,0.18576,baseline_qlike,,,,,,,,,,,,,,,,,,,,
combined,10.0,29952.0,0.4448163997718225,0.4496729050511516,0.43734408003558023,2.741731795952644,-9.792,0.0,-7.106,0.0,0.46997565324465224,-4.5150036761034436,0.855,0.39269,-3.576,0.00035,baseline_qlike,,,,,,,,,,,,,,,,,,,,
combined,20.0,29415.0,0.3150769495110071,0.32861079549693234,0.31505823731463833,4.1241974907731,-13.504,0.0,-8.359,0.0,0.33607600503568763,-2.2717481108513917,0.473,0.63656,-4.13,4e-05,baseline_qlike,,,,,,,,,,,,,,,,,,,,
long_form,5.0,,,,,,,,,,,,,,,,m1_incremental,B2_tfidf_ridge,3734.0,7550.0,0.12089601073739074,0.11679889573535077,3.388957978886247,0.2393,-11.179,0.0,0.1209831496009451,0.11671375355009439,3.5289179236389754,0.2487,-11.308,0.0,,,,,
long_form,10.0,,,,,,,,,,,,,,,,m1_incremental,B2_tfidf_ridge,3609.0,7167.0,0.08626101480499217,0.08312963960938856,3.63011634245507,0.1678,-15.212,0.0,0.08650428417809598,0.08323369976437248,3.780835186139442,0.1743,-15.457,0.0,,,,,
long_form,20.0,,,,,,,,,,,,,,,,m1_incremental,B2_tfidf_ridge,3627.0,7097.0,0.07117849804596708,0.06742725288633102,5.270194317971579,0.1781,-19.104,0.0,0.07135164980134474,0.06757841330483748,5.288226000397474,0.1776,-19.596,0.0,,,,,
long_form,5.0,,,,,,,,,,,,,,,,m1_incremental,C2_finbert_s1,3734.0,7550.0,0.12089601073739074,0.12030861143180703,0.4858715370349623,0.0938,-5.507,0.0,0.1209831496009451,0.12032234900294196,0.5461922591557115,0.1103,-5.339,0.0,,,,,
long_form,10.0,,,,,,,,,,,,,,,,m1_incremental,C2_finbert_s1,3609.0,7167.0,0.08626101480499217,0.08245420872454627,4.4131246184059325,0.227,-12.456,0.0,0.08650428417809598,0.08261807431373133,4.492505661758531,0.2321,-12.452,0.0,,,,,
long_form,20.0,,,,,,,,,,,,,,,,m1_incremental,C2_finbert_s1,3627.0,7097.0,0.07117849804596708,0.0714114635188841,-0.3272975397240942,-0.4199,4.963,0.0,0.07135164980134474,0.07156261970259667,-0.2956762763570318,-0.3841,4.918,0.0,,,,,
long_form,5.0,,,,,,,,,,,,,,,,m1_incremental,C5_qwen3,3734.0,7550.0,0.12089601073739074,0.12214704970418522,-1.034805829542192,0.5819,3.908,9e-05,0.1209831496009451,0.12211492504710016,-0.935481883128473,0.5642,3.663,0.00025,,,,,
long_form,10.0,,,,,,,,,,,,,,,,m1_incremental,C5_qwen3,3609.0,7167.0,0.08626101480499217,0.08891373593066074,-3.0752259658265104,1.1785,4.235,2e-05,0.08650428417809598,0.0890079365783062,-2.894252491651944,1.1603,4.094,4e-05,,,,,
long_form,20.0,,,,,,,,,,,,,,,,m1_incremental,C5_qwen3,3627.0,7097.0,0.07117849804596708,0.07554982856675399,-6.141363811812804,1.8135,4.188,3e-05,0.07135164980134474,0.07561493369464496,-5.975031979176282,1.8017,4.134,4e-05,,,,,
event_driven,5.0,,,,,,,,,,,,,,,,m1_incremental,B2_tfidf_ridge,13489.0,23855.0,0.12676625233266667,0.12527729294352888,1.1745708039316205,0.2483,-6.756,0.0,0.12676643921838593,0.1252664821605761,1.1832446087925501,0.248,-6.797,0.0,,,,,
event_driven,10.0,,,,,,,,,,,,,,,,m1_incremental,B2_tfidf_ridge,13131.0,22785.0,0.08918809567298613,0.08805911804227703,1.2658389241189407,0.2319,-6.783,0.0,0.08912618017344862,0.08798030482476701,1.2856776162196248,0.2301,-6.926,0.0,,,,,
event_driven,20.0,,,,,,,,,,,,,,,,m1_incremental,B2_tfidf_ridge,13101.0,22318.0,0.06506059639027542,0.0639701188400807,1.6760952261386106,0.2377,-7.934,0.0,0.06502063230734743,0.06392405103937562,1.6865127714974486,0.236,-8.035,0.0,,,,,
event_driven,5.0,,,,,,,,,,,,,,,,m1_incremental,C2_finbert_s1,13489.0,23855.0,0.12676625233266667,0.12421768372664217,2.0104472279707437,0.1764,-14.235,0.0,0.12676643921838593,0.12420965914632115,2.0169218981217147,0.1777,-14.152,0.0,,,,,
event_driven,10.0,,,,,,,,,,,,,,,,m1_incremental,C2_finbert_s1,13131.0,22785.0,0.08918809567298613,0.08747504201919581,1.9207200701664722,0.1641,-13.369,0.0,0.08912618017344862,0.08741908054466535,1.9153739400264609,0.1632,-13.402,0.0,,,,,
event_driven,20.0,,,,,,,,,,,,,,,,m1_incremental,C2_finbert_s1,13101.0,22318.0,0.06506059639027542,0.06457235657930319,0.7504385727475628,0.406,-1.684,0.09212,0.06502063230734743,0.06451241125174706,0.7816304418542926,0.4046,-1.764,0.07772,,,,,
event_driven,5.0,,,,,,,,,,,,,,,,m1_incremental,C5_qwen3,13489.0,23855.0,0.12676625233266667,0.12694594681479154,-0.14175261855443363,-0.237,2.67,0.00758,0.12676643921838593,0.12695725313984876,-0.15052400512261085,-0.2416,2.778,0.00548,,,,,
event_driven,10.0,,,,,,,,,,,,,,,,m1_incremental,C5_qwen3,13131.0,22785.0,0.08918809567298613,0.0893253941781173,-0.15394263561202248,-0.1678,3.408,0.00066,0.08912618017344862,0.08926984109721026,-0.16118824287326308,-0.172,3.49,0.00048,,,,,
event_driven,20.0,,,,,,,,,,,,,,,,m1_incremental,C5_qwen3,13101.0,22318.0,0.06506059639027542,0.06539666334016475,-0.5165445270027706,-0.2367,6.51,0.0,0.06502063230734743,0.06536239411085396,-0.5256205474764378,-0.2403,6.538,0.0,,,,,
long_form,,,,,,,,,,,,,,,,,drops,,,,,,,,,,,,,,,,94237.0,9042.0,0.0,85195.0,90.41
event_driven,,,,,,,,,,,,,,,,,drops,,,,,,,,,,,,,,,,333192.0,28178.0,0.0,305014.0,91.54
combined,,,,,,,,,,,,,,,,,drops,,,,,,,,,,,,,,,,427429.0,37220.0,0.0,390209.0,91.29
