panel,disc,model,h,n_obs,n_firms,n_days,df_2way,dm_day,p_day,holm_day,verdict_day,dm_2way,p_2way,holm_2way,verdict_2way,flip,se_infl_2way_vs_day,share_Vfirm,share_Vday,share_Vcell,guard_hit,placebo_dm_2way
a_m1_grid,long_form,B1_bow_ridge,5,7951,568,809,567,-3.8343062389023346,0.00013571202045885167,0.005835616879730622,genuine,-3.350578691729176,0.0008600706377215716,0.038703178697470725,genuine,False,1.1507726484535485,0.859412348985433,0.7551286325653213,0.6145409815507544,False,0.4329595617161538
a_m1_grid,long_form,B1_bow_ridge,10,7933,568,803,567,-4.14759093241594,3.718297815318565e-05,0.0016360510387401685,genuine,-3.7369778092458295,0.00020511203060502237,0.009845377469041074,genuine,False,1.1231663868625412,0.7145133530901876,0.792705377622544,0.5072187307127317,False,0.36215703987691966
a_m1_grid,long_form,B1_bow_ridge,20,7902,567,794,566,-5.446405777397618,6.860604581652476e-08,3.910544611541911e-06,genuine,-4.33991614703584,1.688419874507128e-05,0.0008948625334887779,genuine,False,1.2865534304833273,0.7593226690007913,0.6041493961101299,0.3634720651109211,False,-0.16205124039030236
a_m1_grid,long_form,B2_tfidf_ridge,5,7951,568,809,567,-5.3907848396946605,9.213613664235412e-08,5.067487515329477e-06,genuine,-4.825847363721036,1.7946852624769611e-06,0.00010588643048614071,genuine,False,1.1233134886138478,0.788780335707857,0.7924977762443552,0.5812781119522122,False,0.48979528629575186
a_m1_grid,long_form,B2_tfidf_ridge,10,7933,568,803,567,-8.89254432852136,3.901005011622187e-18,2.613673357786865e-16,genuine,-7.055352410916256,5.040417573802238e-12,3.3770797744474997e-10,genuine,False,1.275486974243793,0.7893170331330759,0.6146783890788663,0.4039954222119421,False,0.3899343031353541
a_m1_grid,long_form,B2_tfidf_ridge,20,7902,567,794,566,-9.041621963712146,1.1651051953355876e-18,7.922715328281996e-17,genuine,-6.822941882898876,2.2992067482756568e-11,1.5174764538619335e-09,genuine,False,1.3585444223059366,0.7238512644000524,0.5418166072805868,0.26566787168063905,False,0.3814257917605687
a_m1_grid,long_form,B3_lm_linear,5,7951,568,809,567,-2.583028949055883,0.009968402319951325,0.26914686263868576,ns,-1.9514133348563258,0.05149992437499873,1.0,ns,False,1.3310751088250417,0.9298981190157777,0.564410228498244,0.4943083475140218,False,0.5911281374140215
a_m1_grid,long_form,B3_lm_linear,10,7933,568,803,567,-4.615395517081547,4.566983311300923e-06,0.00021464821563114338,genuine,-3.3454471530049137,0.000875826868561536,0.038703178697470725,genuine,False,1.3961222562604596,0.9929917631964662,0.5130422116661745,0.5060339748626408,False,0.18560292618392768
a_m1_grid,long_form,B3_lm_linear,20,7902,567,794,566,-4.69288743331623,3.1725548463252715e-06,0.00015228263262361303,genuine,-2.8667469755743555,0.004301488628435062,0.1591550792520973,ns,True,1.6782240669534556,0.978434961450407,0.35505866040938033,0.3334936218597875,False,-1.2373091611746223
a_m1_grid,long_form,B4_lm_features,5,7951,568,809,567,1.020094388471287,0.30798902639445963,1.0,ns,0.7991554052365099,0.42453494204213604,1.0,ns,False,1.2836058104803743,0.9047173374932211,0.6069272699896049,0.5116446074828261,False,0.4667222239264121
a_m1_grid,long_form,B4_lm_features,10,7933,568,803,567,3.316927343955919,0.000951098609355897,0.03328845132745639,ns,2.5684647305104247,0.01046984911432578,0.34550502077275075,ns,False,1.306865979466168,0.9201216811687356,0.5855148240692973,0.505636505238033,False,-1.6697929979126769
a_m1_grid,long_form,B4_lm_features,20,7902,567,794,566,3.3821524016415694,0.0007544444710135919,0.029423334369530083,ns,2.3197412352865374,0.020709744413579572,0.6420020768209668,ns,False,1.494695756646519,0.8472430327286735,0.447604451314434,0.29484748404310757,False,-3.3093220178493725
a_m1_grid,long_form,C1_bert_s1,5,7951,568,809,567,-2.028838568980639,0.04280217882904985,0.9844501130681467,ns,-1.6262186684225783,0.10445876137759398,1.0,ns,False,1.254559048500239,0.7284195526996878,0.6353569512100611,0.36377650390974886,False,0.5663675740029867
a_m1_grid,long_form,C1_bert_s1,10,7933,568,803,567,2.3498440692856333,0.019022808121699108,0.4755702030424777,ns,1.9428525238389391,0.05252861351500309,1.0,ns,False,1.2239619276152243,0.6520096968198592,0.6675198459204448,0.31952954274030415,False,-1.7133819143351672
a_m1_grid,long_form,C1_bert_s1,20,7902,567,794,566,-7.4229470317387145,2.9567026738272123e-13,1.892289711249416e-11,genuine,-4.767886869729461,2.3706633479230297e-06,0.00013749847417953573,genuine,False,1.5960613844065752,0.8776061658979757,0.3925552766716112,0.27016144256958674,False,0.3828130411245197
a_m1_grid,long_form,C2_finbert_s1,5,7951,568,809,567,-0.8396190744222708,0.4013703528123994,1.0,ns,-0.7173278798357338,0.4734672133893249,1.0,ns,False,1.1770289445616282,0.9272551975740023,0.7218146867582169,0.6490698843322191,False,0.1837804589545776
a_m1_grid,long_form,C2_finbert_s1,10,7933,568,803,567,-6.460996408212488,1.8031652598861882e-10,1.1179624611294366e-08,genuine,-5.144966254748523,3.692640101081957e-07,2.2894368626708132e-05,genuine,False,1.2708247647396742,0.7448952785142485,0.619196740057485,0.3640920185717336,False,1.0387359235318843
a_m1_grid,long_form,C2_finbert_s1,20,7902,567,794,566,0.8841219752212075,0.3768983403218427,1.0,ns,0.41395442034451163,0.6790643018135223,1.0,ns,False,2.189569987778327,1.0845129179071542,0.20858464604962493,0.2930975639567792,False,-0.5407990752601259
a_m1_grid,long_form,C2_finbert_s2,5,7951,568,809,567,-4.2962369040736474,1.948766305402503e-05,0.0008964325004851514,genuine,-3.2008091684386817,0.00144710255579037,0.0578841022316148,ns,True,1.349742727054173,0.8937484462048968,0.5489060379074422,0.442654484112339,False,0.15379307708585346
a_m1_grid,long_form,C2_finbert_s2,10,7933,568,803,567,-6.579401721905555,8.520627599981128e-11,5.367995387988111e-09,genuine,-4.879722005363487,1.3825651888262688e-06,8.295391132957612e-05,genuine,False,1.3644575329070707,0.8658109184916443,0.5371306726986611,0.4029415911903054,False,0.21764524544475808
a_m1_grid,long_form,C2_finbert_s2,20,7902,567,794,566,-0.05823072953822928,0.9535795134121821,1.0,ns,-0.04657604902584444,0.9628675499979396,1.0,ns,False,1.281707001630964,0.7485844227753745,0.6087268895919242,0.3573113123672985,False,0.10694546420953702
a_m1_grid,long_form,C2_finbert_s3,5,7951,568,809,567,-5.4303547142255555,7.4442690765391e-08,4.168790682861896e-06,genuine,-4.236080221390632,2.6541124206205856e-05,0.0013801384587227045,genuine,False,1.2890999154908689,0.9389255455719961,0.6017648829650175,0.5406904285370137,False,0.28269932750752746
a_m1_grid,long_form,C2_finbert_s3,10,7933,568,803,567,-5.128760390344209,3.6597071824543425e-07,1.903047734876258e-05,genuine,-4.005693444725198,7.007500060257071e-05,0.0035037500301285354,genuine,False,1.295696842699558,0.7200674189811823,0.5956528156101334,0.31572023459131554,False,1.135078526283651
a_m1_grid,long_form,C2_finbert_s3,20,7902,567,794,566,-1.7673385475664474,0.07755610356914963,1.0,ns,-1.4847001729123717,0.13817995943135347,1.0,ns,False,1.2203380752316968,0.4850868802921136,0.6714901965834907,0.15657707687560427,False,0.6890025977116995
a_m1_grid,long_form,C2_finbert_s4,5,7951,568,809,567,3.357892869769075,0.0008221378383747867,0.03041910001986711,ns,3.3346889698465594,0.0009097342794230236,0.03911857401519001,ns,False,1.0125909937344182,1.04486676731496,0.9752857513351523,1.0201525186501121,False,0.011241209091268889
a_m1_grid,long_form,C2_finbert_s4,10,7933,568,803,567,-6.023678698585973,2.595676147445874e-09,1.5574056884675246e-07,genuine,-5.338535339072396,1.3575453211735134e-07,8.552535523393134e-06,genuine,False,1.1418482145130817,0.5390987642255718,0.7669785985322899,0.3060773627578617,False,-0.5564472369560508
a_m1_grid,long_form,C2_finbert_s4,20,7902,567,794,566,-8.82202362045027,7.075779844579832e-18,4.670014697422689e-16,genuine,-6.533058368686629,1.4374474222081607e-10,9.343408244353045e-09,genuine,False,1.384365758489713,0.6936195139528005,0.5217930647957388,0.2154125787485394,False,0.6365412518026708
a_m1_grid,long_form,C3_roberta_s1,5,7951,568,809,567,-5.366971802192466,1.0468311722840327e-07,5.652888330333776e-06,genuine,-3.790570321966954,0.00016640047362760906,0.008153623207752845,genuine,False,1.4237945053188725,0.9553758239737168,0.4932934794630437,0.4486693034367604,False,0.3802820450197684
a_m1_grid,long_form,C3_roberta_s1,10,7933,568,803,567,-5.184162900925232,2.748778965799333e-07,1.4568528518736466e-05,genuine,-3.5564606003565506,0.0004073025176369932,0.01914321832893868,genuine,False,1.4751267494474252,0.9401611377553639,0.4595590501546793,0.39972018791004316,False,0.5170151268874885
