disclosure,model,horizon,gamma,mu_annual,n_test,U_fR,U_fU,fee_h_ret,fee_bps_ann,fee_bps_ann_wins,sharpe_fR,sharpe_fU,mean_wR,mean_wU,n_quarters,q_frac_fee_pos
long_form,B2_tfidf_ridge,5,2,0.04,7550,0.0008486343412734111,0.0008660028912795007,1.7368550006089528e-05,8.753749203069122,10.588507830949034,0.0729997849602817,0.07372699259483734,0.34162844795428254,0.3519461545226861,16,0.6875
long_form,B2_tfidf_ridge,5,2,0.06,7550,0.0011390984945144308,0.00116237237947952,2.3273884965089144e-05,11.730038022404928,14.22076862302972,0.0729997849602817,0.07372699259483734,0.5124426719314238,0.5279192317840291,16,0.6875
long_form,B2_tfidf_ridge,5,2,0.08,7550,0.0013403273028249935,0.0013676538960530533,2.7326593228059817e-05,13.772602986942147,16.74503399951518,0.0729997849602817,0.07372699259483734,0.6832568959085651,0.7038923090453723,16,0.6875
long_form,B2_tfidf_ridge,5,10,0.04,7550,0.00016972686825468222,0.00017320057825590007,3.4737100012178514e-06,1.7507498406137971,2.117701566189845,0.0729997849602817,0.07372699259483734,0.06832568959085651,0.07038923090453722,16,0.6875
long_form,B2_tfidf_ridge,5,10,0.06,7550,0.00022781969890288612,0.00023247447589590397,4.654776993017845e-06,2.346007604480994,2.8441537246059907,0.0729997849602817,0.07372699259483734,0.10248853438628476,0.10558384635680582,16,0.6875
long_form,B2_tfidf_ridge,5,10,0.08,7550,0.0002680654605649987,0.00027353077921061055,5.465318645611866e-06,2.7545205973883804,3.3490067999030795,0.0729997849602817,0.07372699259483734,0.13665137918171302,0.14077846180907444,16,0.6875
long_form,B2_tfidf_ridge,10,2,0.04,7167,0.000605824362382015,0.0006142732601060406,8.448897724025527e-06,2.1291222264544327,2.1802897839532944,0.05890667251419219,0.05920589676984946,0.2966392666069948,0.30087896788613167,16,0.5625
long_form,B2_tfidf_ridge,10,2,0.06,7167,0.0007128926067812678,0.0007232016716664693,1.03090648852015e-05,2.5978843510707774,2.5500526297511117,0.05890667251419219,0.05920589676984946,0.4449588999104922,0.4513184518291975,16,0.5625
long_form,B2_tfidf_ridge,10,2,0.08,7167,0.000689398226652685,0.000699991270898504,1.0593044245818962e-05,2.6694471499463783,2.4395607780957755,0.05890667251419219,0.05920589676984946,0.5932785332139896,0.6017579357722633,16,0.5625
long_form,B2_tfidf_ridge,10,10,0.04,7167,0.00012116487247640298,0.0001228546520212081,1.689779544805108e-06,0.42582444529088725,0.43605795679064585,0.05890667251419219,0.05920589676984946,0.05932785332139897,0.060175793577226334,16,0.5625
long_form,B2_tfidf_ridge,10,10,0.06,7167,0.0001425785213562535,0.0001446403343332938,2.0618129770402945e-06,0.5195768702141542,0.5100105259501759,0.05890667251419219,0.05920589676984946,0.08899177998209844,0.09026369036583949,16,0.5625
long_form,B2_tfidf_ridge,10,10,0.08,7167,0.00013787964533053693,0.0001399982541797007,2.118608849163776e-06,0.5338894299892716,0.48791215561913187,0.05890667251419219,0.05920589676984946,0.11865570664279794,0.12035158715445267,16,0.5625
long_form,B2_tfidf_ridge,20,2,0.04,7097,0.0011503455559613396,0.0011860379227194278,3.569236675808824e-05,4.497238211519118,4.528314530166289,0.09233782446444294,0.09330067240901954,0.2480375430736305,0.2529485321133751,16,0.5625
long_form,B2_tfidf_ridge,20,2,0.06,7097,0.0014664844620007039,0.001518528480575686,5.204401857498205e-05,6.557546340447739,6.304217614732523,0.09233782446444294,0.09330067240901954,0.37205631461044564,0.37942279817006264,16,0.5625
long_form,B2_tfidf_ridge,20,2,0.08,7097,0.0016099341200791978,0.001677333436096305,6.739931601710712e-05,8.492313818155496,7.754617912287239,0.09233782446444294,0.09330067240901954,0.496075086147261,0.5058970642267502,16,0.5625
long_form,B2_tfidf_ridge,20,10,0.04,7097,0.0002300691111922679,0.00023720758454388576,7.138473351617843e-06,0.8994476423038482,0.9056629060332748,0.09233782446444294,0.09330067240901954,0.0496075086147261,0.05058970642267502,16,0.5625
long_form,B2_tfidf_ridge,20,10,0.06,7097,0.00029329689240014073,0.0003037056961151371,1.0408803714996356e-05,1.3115092680895408,1.260843522946513,0.09233782446444294,0.09330067240901954,0.07441126292208913,0.07588455963401254,16,0.5625
long_form,B2_tfidf_ridge,20,10,0.08,7097,0.0003219868240158396,0.00033546668721926135,1.347986320342177e-05,1.6984627636311431,1.550923582457471,0.09233782446444294,0.09330067240901954,0.0992150172294522,0.10117941284535004,16,0.5625
long_form,C2_finbert_s1,5,2,0.04,7550,0.0008486343412734111,0.0008317795568045004,-1.6854784468910687e-05,-8.494811372330986,-6.872240909289298,0.0729997849602817,0.07296309620384492,0.34162844795428254,0.3362353025723219,16,0.5
long_form,C2_finbert_s1,5,2,0.06,7550,0.0011390984945144308,0.0011188218529340648,-2.0276641580365936e-05,-10.219427356504433,-8.011719964323497,0.0729997849602817,0.07296309620384492,0.5124426719314238,0.5043529538584829,16,0.5
long_form,C2_finbert_s1,5,2,0.08,7550,0.0013403273028249935,0.001319965827548507,-2.036147527648656e-05,-10.262183539349225,-7.620104752950587,0.0729997849602817,0.07296309620384492,0.6832568959085651,0.6724706051446439,16,0.5
long_form,C2_finbert_s1,5,10,0.04,7550,0.00016972686825468222,0.00016635591136090005,-3.3709568937821644e-06,-1.6989622744662107,-1.3744481818578815,0.0729997849602817,0.07296309620384492,0.06832568959085651,0.06724706051446439,16,0.5
long_form,C2_finbert_s1,5,10,0.06,7550,0.00022781969890288612,0.0002237643705868131,-4.055328316073019e-06,-2.0438854713008014,-1.6023439928646284,0.0729997849602817,0.07296309620384492,0.10248853438628476,0.10087059077169658,16,0.5
long_form,C2_finbert_s1,5,10,0.08,7550,0.0002680654605649987,0.00026399316550970134,-4.0722950552973445e-06,-2.0524367078698615,-1.5240209505901499,0.0729997849602817,0.07296309620384492,0.13665137918171302,0.13449412102892877,16,0.5
long_form,C2_finbert_s1,10,2,0.04,7167,0.000605824362382015,0.0006383264127817708,3.2502050399755775e-05,8.190516700738455,9.005122056894452,0.05890667251419219,0.059991850224210864,0.2966392666069948,0.3072873667805682,16,0.5625
long_form,C2_finbert_s1,10,2,0.06,7167,0.0007128926067812678,0.0007517517374721848,3.885913069091699e-05,9.792500934111082,10.961619374452074,0.05890667251419219,0.059991850224210864,0.4449588999104922,0.46093105017085234,16,0.5625
