disc,model,h,window,n_fit,n_test,qlike_R,qlike_U,rel_impr_pct
long_form,B1_bow_ridge,5,committed_val,3734,7550,0.11744442357261446,0.11642237498554737,0.8702402004086356
long_form,B1_bow_ridge,5,calm_2021,1862,7550,0.12511113674185814,0.1258013841981922,-0.5517074453237897
long_form,B1_bow_ridge,5,covid_2020,1872,7550,0.12914904552629072,0.12795515591546078,0.9244277462251217
long_form,B1_bow_ridge,5,alt_2018_19,3663,7550,0.1347603875916218,0.22028717280236318,-63.46582014139197
long_form,B1_bow_ridge,10,committed_val,3609,7167,0.0856353741087057,0.08520246627667212,0.5055245411598753
long_form,B1_bow_ridge,10,calm_2021,1793,7167,0.08432720638921434,0.0846619598761062,-0.39696973399876456
long_form,B1_bow_ridge,10,covid_2020,1816,7167,0.11253393362770972,0.11270284446653199,-0.15009769353755018
long_form,B1_bow_ridge,10,alt_2018_19,3469,7167,0.09590837617663917,0.1638974376582927,-70.88959712594315
long_form,B1_bow_ridge,20,committed_val,3627,7097,0.0730509257028507,0.07187662551733713,1.6075089729735494
long_form,B1_bow_ridge,20,calm_2021,1790,7097,0.058277594256508976,0.05830162128698204,-0.04122859012901149
long_form,B1_bow_ridge,20,covid_2020,1837,7097,0.13814061777810532,0.13691079284019853,0.8902703330039111
long_form,B1_bow_ridge,20,alt_2018_19,3424,7097,0.06355696553435182,0.10997352689456333,-73.0314308903308
long_form,B2_tfidf_ridge,5,committed_val,3734,7550,0.11744442357261446,0.115480606820063,1.6721243059592819
long_form,B2_tfidf_ridge,5,calm_2021,1862,7550,0.12511113674185814,0.12531486645901052,-0.16283899455948073
long_form,B2_tfidf_ridge,5,covid_2020,1872,7550,0.12914904552629072,0.12635774315903658,2.1613031330424484
long_form,B2_tfidf_ridge,5,alt_2018_19,3663,7550,0.1347603875916218,0.16382404122639854,-21.56691157853547
long_form,B2_tfidf_ridge,10,committed_val,3609,7167,0.0856353741087057,0.0839639910956102,1.9517436929438048
