split,h,arm,kind,rel_vs_recalAR,dm_month,p_month,n_months,dm_2way,p_2way,entity_coverage_test,n_test
A: shared-entity (chronological),1,entity-mean control (zero text),identity,-57.801685251301734,27.567303174586417,1.146544470574793e-30,48,9.617404628118805,1.110745939753762e-12,0.8340797611431009,28134
A: shared-entity (chronological),1,TF-IDF (fitted),fitted,0.29146467801214665,-3.4184591717384976,0.001310247599805002,48,-3.221048858981911,0.0023201644951909707,0.8340797611431009,28134
A: shared-entity (chronological),1,70B prompted (zero-shot),zero-shot,0.1947509246398107,-1.9904922192422763,0.05236989035581917,48,-1.9922248366637132,0.05217307959731363,0.8340797611431009,28134
A: shared-entity (chronological),1,70B identity probe (zero-content),zero-shot,0.15891730192626402,-5.260297632631722,3.4708750561684798e-06,48,-5.295032987246187,3.0819451964237313e-06,0.8340797611431009,28134
B: entity-disjoint (standard fix),1,entity-mean control (zero text),identity,-40.703504248736955,19.203310803184785,4.6268435070497214e-27,60,8.63676734344124,4.625872046041622e-12,0.0,7183
B: entity-disjoint (standard fix),1,TF-IDF (fitted),fitted,0.21988655022897002,-2.1292526285861073,0.03741690668077431,60,-1.9162981159413188,0.060175532769641715,0.0,7183
B: entity-disjoint (standard fix),1,70B prompted (zero-shot),zero-shot,0.1840013367553282,-2.588787397472651,0.012110092073928054,60,-2.7215703852194344,0.008527076472049883,0.0,7183
B: entity-disjoint (standard fix),1,70B identity probe (zero-content),zero-shot,0.19660829880004538,-2.766957133414567,0.0075451628393098345,60,-2.3289020752687213,0.023309127844815657,0.0,7183
A: shared-entity (chronological),3,entity-mean control (zero text),identity,-81.82894114968163,10.39719568809943,1.5134187177069452e-13,46,7.978655722269208,3.702707794081598e-10,0.8784082918826011,38399
A: shared-entity (chronological),3,TF-IDF (fitted),fitted,0.5343760802091495,-2.622847382977581,0.01185972529849059,46,-2.5639398128361512,0.013759203193229465,0.8784082918826011,38399
A: shared-entity (chronological),3,70B prompted (zero-shot),zero-shot,0.22454942147316867,-4.46870131492693,5.267380705418985e-05,46,-4.460959652102192,5.4008222687583185e-05,0.8784082918826011,38399
A: shared-entity (chronological),3,70B identity probe (zero-content),zero-shot,0.27769271387100436,-2.945954182644719,0.005083507766271858,46,-2.8557042558267964,0.0064749835647513075,0.8784082918826011,38399
B: entity-disjoint (standard fix),3,entity-mean control (zero text),identity,-75.51712087040043,20.128573313126832,1.3980310028258194e-27,58,8.747166953046078,4.005755771137232e-12,0.0,9843
B: entity-disjoint (standard fix),3,TF-IDF (fitted),fitted,0.1519837689113218,-0.8582915992429602,0.39432632724545597,58,-0.7454917341502177,0.4590377308211209,0.0,9843
B: entity-disjoint (standard fix),3,70B prompted (zero-shot),zero-shot,0.27956951769659355,-1.5020686191508534,0.1385994506490961,58,-1.4503011931546206,0.1524553023691324,0.0,9843
B: entity-disjoint (standard fix),3,70B identity probe (zero-content),zero-shot,0.37115069372245213,-3.4258084503452726,0.0011431515217485491,58,-2.58247616110424,0.01240219591121629,0.0,9843
