condition,draw,h,arm,kind,rel_pct,ci_lo,ci_hi,dm_month,p_month,n_months,dm_2way,p_2way,entity_coverage_test,n_test,n_train
A: entity SEEN in training,0,1,entity-mean control (zero text),identity,-15.820248477765183,-23.13306126060223,-8.930213913828707,4.459737739897592,0.00012124158929859244,29,3.2653488882609625,0.0028845345767709745,0.9946236559139785,2418,2880
A: entity SEEN in training,0,1,TF-IDF (fitted),fitted,0.2928174115933108,0.13445678655023005,0.43838585951921655,-3.7778228456823775,0.0007599037206125244,29,-3.2216922370741683,0.003223049910685469,0.9946236559139785,2418,2880
A: entity SEEN in training,0,1,70B prompted (zero-shot),zero-shot,0.2644763957777308,0.06682509385729653,0.4794222317561385,-2.546432811320688,0.016667916994944267,29,-2.4666962274021382,0.020020268268516727,0.9946236559139785,2418,2880
A: entity SEEN in training,0,1,70B identity probe (zero-content),zero-shot,0.4558902343684944,-0.5358489665924334,1.5306184983239544,-0.8483203176038373,0.40345372639001875,29,-0.7819599922783632,0.44080086815938824,0.9946236559139785,2418,2880
B: entity UNSEEN (size-matched),0,1,entity-mean control (zero text),identity,-75.05273674035524,-85.73453075718555,-63.4315248019678,15.321586263661924,3.8355941553852676e-15,29,8.668389872572366,2.0426265705065077e-09,0.0,2418,2997
B: entity UNSEEN (size-matched),0,1,TF-IDF (fitted),fitted,0.47271832473822534,-0.018439429467145607,1.0059723949806318,-1.7988962481368629,0.08282353452196774,29,-1.5162999087817373,0.14065320133627998,0.0,2418,2997
B: entity UNSEEN (size-matched),0,1,70B prompted (zero-shot),zero-shot,0.5824709018524383,0.2006598820242342,1.0231116095098303,-2.724607569561919,0.010967602428385098,29,-2.632189464980385,0.01364742828678548,0.0,2418,2997
B: entity UNSEEN (size-matched),0,1,70B identity probe (zero-content),zero-shot,0.3257026128572474,0.05169211911468954,0.6111493915796208,-2.284839198941089,0.030102002530694123,29,-2.0394324781187434,0.05094481625625114,0.0,2418,2997
B: entity UNSEEN (size-matched),1,1,entity-mean control (zero text),identity,-75.43156866047286,-87.06833706515349,-64.74787366880257,14.64108693920385,1.1939712480681996e-14,29,8.342207132384152,4.473475088684161e-09,0.0,2418,3018
B: entity UNSEEN (size-matched),1,1,TF-IDF (fitted),fitted,0.21868252073024044,0.038343051537428,0.4065318401533529,-2.1867261108276335,0.03727892777571264,29,-2.000322502228707,0.05524845983616321,0.0,2418,3018
B: entity UNSEEN (size-matched),1,1,70B prompted (zero-shot),zero-shot,0.26597141974468724,0.116244724166936,0.43044311891626486,-3.233575022316801,0.003127309384005819,29,-3.109215614752901,0.004279808781816627,0.0,2418,3018
B: entity UNSEEN (size-matched),1,1,70B identity probe (zero-content),zero-shot,-0.15005442738476554,-0.22789221096739032,-0.06867488731917491,3.613122472240149,0.0011732095893896225,29,3.1595513790808534,0.0037713084913664372,0.0,2418,3018
B: entity UNSEEN (size-matched),2,1,entity-mean control (zero text),identity,-74.20632286426337,-84.65739146161368,-63.25062897231378,15.295824484715254,4.0011465368541385e-15,29,8.569646386061628,2.5858935886763163e-09,0.0,2418,2930
B: entity UNSEEN (size-matched),2,1,TF-IDF (fitted),fitted,0.07689506631595928,-0.8758639935428593,1.025951274731508,-0.15608068578200426,0.8770893071640369,29,-0.12497648979495869,0.9014351401759265,0.0,2418,2930
B: entity UNSEEN (size-matched),2,1,70B prompted (zero-shot),zero-shot,1.0943402642097153,0.21516259806807955,2.0261763169818154,-2.33128743646327,0.027161757327280517,29,-2.251980174141919,0.032353044234427995,0.0,2418,2930
B: entity UNSEEN (size-matched),2,1,70B identity probe (zero-content),zero-shot,0.6050693207451573,0.15642208907055205,1.0737335462836062,-2.605874482983369,0.014515359298305597,29,-2.1461978025933175,0.040667389222161,0.0,2418,2930
B: entity UNSEEN (size-matched),3,1,entity-mean control (zero text),identity,-51.57451114475033,-61.519765514648746,-41.747057574333304,10.728363366458067,1.9937064477141923e-11,29,6.855918640179581,1.8913113236411938e-07,0.0,2418,2977
B: entity UNSEEN (size-matched),3,1,TF-IDF (fitted),fitted,0.8125214496769402,0.04554033429396547,1.5988586369410709,-1.9285550596651122,0.06398110665730354,29,-1.608384462327187,0.11897005759447277,0.0,2418,2977
B: entity UNSEEN (size-matched),3,1,70B prompted (zero-shot),zero-shot,1.4058199227531794,0.5708806210929928,2.401772773745953,-2.9604808543960766,0.006192871750185464,29,-2.887089705727013,0.0074128990112670105,0.0,2418,2977
B: entity UNSEEN (size-matched),3,1,70B identity probe (zero-content),zero-shot,0.334750307426911,0.09511683321892984,0.5820460922102412,-2.6420903787954773,0.013333564309702835,29,-2.3537814991157595,0.025833869191891037,0.0,2418,2977
B: entity UNSEEN (size-matched),4,1,entity-mean control (zero text),identity,-81.39471131122286,-93.9958081042634,-68.84594269768688,14.453113452609477,1.645781186915297e-14,29,8.167989967490184,6.838684427123618e-09,0.0,2418,3093
B: entity UNSEEN (size-matched),4,1,TF-IDF (fitted),fitted,0.17749088616137515,-0.7062383732369906,1.1514396877028,-0.3650768739818562,0.7177972526792995,29,-0.29257064352764567,0.7720074987896453,0.0,2418,3093
B: entity UNSEEN (size-matched),4,1,70B prompted (zero-shot),zero-shot,0.5159332143014851,0.17586443730274504,0.8887345335693724,-2.9327410685134123,0.006629760006924054,29,-2.8737433129596686,0.007657886273403258,0.0,2418,3093
B: entity UNSEEN (size-matched),4,1,70B identity probe (zero-content),zero-shot,0.17244953990676043,0.07484344180662286,0.27284855857796264,-3.3143995665073187,0.002544977958437711,29,-2.9142735497276178,0.00693663523091848,0.0,2418,3093
B: entity UNSEEN (size-matched),5,1,entity-mean control (zero text),identity,-65.70762570661712,-75.80416270385238,-54.80323361698635,13.734759266790629,5.783376928122527e-14,29,8.082575578560276,8.43281103291802e-09,0.0,2418,2960
B: entity UNSEEN (size-matched),5,1,TF-IDF (fitted),fitted,0.2828338447270125,-0.2680339324317352,0.8794146148567499,-0.9338805094845641,0.3583497362427856,29,-0.7970991700674868,0.4321011052475662,0.0,2418,2960
B: entity UNSEEN (size-matched),5,1,70B prompted (zero-shot),zero-shot,0.9673754734813296,0.532496808066351,1.4927621811135703,-4.100813657654735,0.00032049341789163317,29,-3.9256404853102422,0.0005127437632983855,0.0,2418,2960
B: entity UNSEEN (size-matched),5,1,70B identity probe (zero-content),zero-shot,0.21749546731637032,0.03834642457557928,0.40452848767727945,-2.321930336686286,0.027732192964642598,29,-2.013512878388063,0.053762547832738004,0.0,2418,2960
B: entity UNSEEN (size-matched),6,1,entity-mean control (zero text),identity,-77.92498277511986,-89.09854186563088,-66.30477095839245,15.45715829905395,3.073677445720994e-15,29,8.711539438723737,1.84334921883042e-09,0.0,2418,2839
B: entity UNSEEN (size-matched),6,1,TF-IDF (fitted),fitted,0.6928946379426719,-0.08325431937836963,1.6938601219377476,-1.5288983149070619,0.13750942139374905,29,-1.4031690110397037,0.1715591208481192,0.0,2418,2839
B: entity UNSEEN (size-matched),6,1,70B prompted (zero-shot),zero-shot,1.1358597629277196,0.35119760259638483,1.9528565334353825,-2.7464790543365307,0.010409848869667091,29,-2.6399603328387014,0.013400514892540485,0.0,2418,2839
B: entity UNSEEN (size-matched),6,1,70B identity probe (zero-content),zero-shot,0.019663861576404682,0.008481231767151659,0.03102315027075055,-3.415880762005272,0.0019605035539232373,29,-2.86969638175117,0.007733670023869276,0.0,2418,2839
B: entity UNSEEN (size-matched),7,1,entity-mean control (zero text),identity,-90.58979585113833,-104.25782774460278,-76.41803521420482,14.51713511898572,1.4748388461268892e-14,29,7.958110637838653,1.146336786015711e-08,0.0,2418,3033
B: entity UNSEEN (size-matched),7,1,TF-IDF (fitted),fitted,0.33837583770561425,-0.38093606203155017,1.066222325849463,-0.8840137087074055,0.38421680641722034,29,-0.6845883353358531,0.4992316490539341,0.0,2418,3033
B: entity UNSEEN (size-matched),7,1,70B prompted (zero-shot),zero-shot,0.9427604614694542,0.32637495396227983,1.6539770738583455,-2.7616357678471606,0.010039050879415302,29,-2.69204998608972,0.011849890815049202,0.0,2418,3033
B: entity UNSEEN (size-matched),7,1,70B identity probe (zero-content),zero-shot,-0.002276191836031137,-0.0035180051651839857,-0.0011008736626835901,3.590546876584872,0.0012447087848688363,29,3.1383727258968106,0.0039777880277566315,0.0,2418,3033
B: entity UNSEEN (size-matched),8,1,entity-mean control (zero text),identity,-74.50943605115664,-85.5416045545796,-63.243741316753514,14.7388877149585,1.0116392289018658e-14,29,8.358717037224826,4.298001534628256e-09,0.0,2418,2782
B: entity UNSEEN (size-matched),8,1,TF-IDF (fitted),fitted,0.012494878426460725,-1.1814791162777525,1.2860125464445908,-0.020293370562316428,0.9839532691295597,29,-0.016318538076617116,0.9870959944433204,0.0,2418,2782
B: entity UNSEEN (size-matched),8,1,70B prompted (zero-shot),zero-shot,1.0538071633638357,0.3193917956496132,1.87883268534399,-2.61749560166274,0.014125925795471823,29,-2.5399425984022557,0.01692004401166983,0.0,2418,2782
B: entity UNSEEN (size-matched),8,1,70B identity probe (zero-content),zero-shot,0.6088245905906738,-0.04234638475444986,1.2967430295830225,-1.7354228918756844,0.09366126117447282,29,-1.6204284050990176,0.11634965059592725,0.0,2418,2782
B: entity UNSEEN (size-matched),9,1,entity-mean control (zero text),identity,-79.94451079117631,-91.12675197580359,-68.4602649119201,15.802106100016609,1.761811454624301e-15,29,8.814927375515717,1.4428581632316044e-09,0.0,2418,2953
B: entity UNSEEN (size-matched),9,1,TF-IDF (fitted),fitted,0.31600447927976966,-0.30633878153675065,0.95696793031609,-0.9886144315666265,0.3313185347169002,29,-0.9282231483741484,0.3612249868076837,0.0,2418,2953
B: entity UNSEEN (size-matched),9,1,70B prompted (zero-shot),zero-shot,0.5338156705045226,0.2105517676149046,0.8728810962137594,-3.1251208401705486,0.0041124400378744425,29,-2.9875665171978314,0.00579273941584274,0.0,2418,2953
B: entity UNSEEN (size-matched),9,1,70B identity probe (zero-content),zero-shot,0.25818436320040794,-0.029517697558500946,0.5341354811798613,-1.8005288329262883,0.08255951911038859,29,-1.6351205207488049,0.11321798569401295,0.0,2418,2953
B: entity UNSEEN (size-matched),10,1,entity-mean control (zero text),identity,-71.75264258207508,-82.60719725968846,-60.4437428081984,14.37261572109663,1.8901156577491183e-14,29,8.274031998803212,5.279236750242519e-09,0.0,2418,2975
B: entity UNSEEN (size-matched),10,1,TF-IDF (fitted),fitted,0.8515568827066069,-0.15241398840917025,1.9772065312097877,-1.562742313691963,0.1293462156213016,29,-1.3125347698276728,0.19999734222657853,0.0,2418,2975
B: entity UNSEEN (size-matched),10,1,70B prompted (zero-shot),zero-shot,1.0155787947744521,0.31673262832883425,1.7793039098546903,-2.74060103879049,0.010557075843361977,29,-2.654993469538208,0.01293461551789903,0.0,2418,2975
B: entity UNSEEN (size-matched),10,1,70B identity probe (zero-content),zero-shot,0.3487977182377705,0.06749200720481678,0.6477063278987274,-2.3602461058739856,0.02546333949360135,29,-2.0567631397115163,0.049134267284440744,0.0,2418,2975
B: entity UNSEEN (size-matched),11,1,entity-mean control (zero text),identity,-76.21699078554693,-87.8761458505021,-65.34730162528835,14.841949849411876,8.503306324517301e-15,29,8.252807643248563,5.559263123122523e-09,0.0,2418,3001
B: entity UNSEEN (size-matched),11,1,TF-IDF (fitted),fitted,0.004146371032250855,-0.9681131228208469,1.043650213634102,-0.008059837298111567,0.9936264021124553,29,-0.006919342823610053,0.9945282718218347,0.0,2418,3001
B: entity UNSEEN (size-matched),11,1,70B prompted (zero-shot),zero-shot,0.6212760391988331,0.028095138037712773,1.2234095757306476,-2.0177316069837827,0.05329478109512096,29,-1.9544774932014763,0.060697035324538455,0.0,2418,3001
B: entity UNSEEN (size-matched),11,1,70B identity probe (zero-content),zero-shot,0.4441552457065642,0.0859610771357844,0.8235609436608077,-2.264521422947069,0.0314765345699727,29,-2.008443674630419,0.05432938926967447,0.0,2418,3001
A: entity SEEN in training,0,3,entity-mean control (zero text),identity,-5.761859399569571,-11.782190602862082,0.05547214689924585,1.2823409021303551,0.2110389839289356,27,1.048263152298637,0.3041646227628676,1.0,3408,3871
A: entity SEEN in training,0,3,TF-IDF (fitted),fitted,0.9079102697554208,0.495447302420812,1.316170566744305,-3.4777784706793624,0.0017946406534004183,27,-3.3689336064669417,0.002362606615473366,1.0,3408,3871
A: entity SEEN in training,0,3,70B prompted (zero-shot),zero-shot,0.34294275902417415,-0.15439547147403512,0.8554834422792392,-0.9460882717361195,0.35281391181005706,27,-1.0117015256905904,0.32100383926595827,1.0,3408,3871
A: entity SEEN in training,0,3,70B identity probe (zero-content),zero-shot,0.6655769573774082,-0.06409667087065282,1.39652963860365,-1.4815969255268762,0.15046655811996135,27,-1.3490515020121001,0.18895298131723196,1.0,3408,3871
B: entity UNSEEN (size-matched),0,3,entity-mean control (zero text),identity,-152.04610619764136,-173.53097359475913,-132.18072087325416,14.98791500308901,2.62624149110679e-14,27,8.51588871127031,5.3730610190478e-09,0.0,3408,4082
B: entity UNSEEN (size-matched),0,3,TF-IDF (fitted),fitted,0.6180101947758582,0.061354461539498445,1.184310254215627,-1.5009864468338512,0.14540667571971455,27,-1.5422623479718733,0.13509455373940724,0.0,3408,4082
B: entity UNSEEN (size-matched),0,3,70B prompted (zero-shot),zero-shot,0.39704076675923045,0.04909426134649164,0.7790219760397981,-1.5617677255028808,0.1304337001746322,27,-1.6604619855049296,0.1088358416111739,0.0,3408,4082
B: entity UNSEEN (size-matched),0,3,70B identity probe (zero-content),zero-shot,0.5111164433037279,0.26420241178511955,0.7583005991119567,-3.495375319563751,0.0017162541950206467,27,-2.8329174461807525,0.008794366183591577,0.0,3408,4082
